Pransa_no	Adhyaya_no	Kandika_no	Text_no	Hymn
1	7	15	25	(That) of the Âgnîdhra priest near the Utkara,
1	7	15	26	(That) of the (sacrificer's) wife behind the Gârhapatya fire.
1	7	15	27	He scatters Darbha grass on these (seats) as often as (they are used).
1	7	15	28	A vessel filled with water, for the purpose of sipping, shall be appropriated to (the use of) each (person).
1	7	15	29	He who has been initiated (to the performance of a sacrifice shall) keep the (following) vows:
1	7	15	30	Let him not proclaim the guilt of other men; let him not become angry; let him not weep; let him not look at urine and ordure.
1	7	15	31	If he has looked at any unclean (substance), he mutters (the verse), 'Unrestrained is the internal organ, wretched (my) eye-sight; the sun is the chief of the (heavenly) lights; O Dîkshâ, do not forsake me!'
1	8	16	1	There are four castes (varna, viz.) Brâhmanas, Kshatriyas, Vaisyas, and Sûdras.
1	8	16	2	(Males) belonging to them (may take) wives according to the order of the castes, (viz.) a Brâhmana four,
1	8	16	3	A Kshatriya three,
1	8	16	4	A Vaisya two,
1	8	16	5	A Sûdra one.
1	8	16	6	Sons begotten on (wives) of equal or of the next lower castes (are called) Savarnas (of equal caste).
1	8	16	7	(Those born) of (wives) of the second or third lower castes (become) Ambashthas, Ugras, and Nishâdas.
1	8	16	8	Of females wedded in the inverse order of the castes (are born) Âyogavas, Mâgadhas, Vainas, Kshattris, Pulkasas, Kukkutakas, Vaidehakas, and Kandâlas.
1	8	16	9	An Ambashtha (begets) on a female of the first (caste) a Svapâka,
1	8	16	10	An Ugra on a female of the second (caste) a Vaina,
1	8	16	11	A Nishâda on a female of the third (caste) a Pulkasa.
1	8	16	12	In the contrary case a Kukkutaka (is produced).
1	8	16	13	.      .      .      .      .      .      .      .      .      .      .      .      .      .      .      .      .
1	8	16	14	.      .      .      .      .      .      .      .      .      .      .      .      .      .      .      .      .
1	8	16	16	Now they quote also (the following verse).: But those sons whom an uninitiated man begets, the wise call Vrâtyas, who are excluded from the Sâvitrî; (that is a rule which refers) in an equal manner to the three (highest) castes.'
1	9	17	1	The Rathakâra (carpenter), the Ambashtha, the Sûta (charioteer), the Ugra, the Mâgadha, the Âyogava, the Vaina, the Kshattri, the Pulkasa, the Kukkuta, the Vaidehaka, the Kandâla, and so forth,
1	9	17	2	Among these, sons of equal caste (spring) from women of equal caste.
1	9	17	3	A Brâhmana (begets) on a female of the Kshatriya caste a Brâhmana, on a female of the Vaisya caste an Ambashtha, on a female of the Sûdra caste a Nishâda,
1	9	17	4	(According to) some a Pârasava.
1	9	17	5	A Kshatriya (begets) on a female of the Vaisya caste a Kshatriya, on a female of the Sûdra caste an Ugra.
1	9	17	6	A Vaisya (begets) on a female of the Sûdra caste a Rathakâra.
1	9	17	7	A Sûdra begets on a female of the Vaisya caste a Mâgadha, on a female of the Kshatriya caste a Kshattri, but on a female of the Brâhmana caste a Kandâla.
1	9	17	8	A Vaisya begets on a female of the Kshatriya caste an Âyogava, on a female of the Brâhmana caste a Sûta.
1	9	17	9	If among these an Ambashtha (male) and an Ugra (female) unite, (their son) will be born in the direct order of the castes (Anuloma).
1	9	17	10	If a Kshattri (male) and a Vaidehaka (female) unite, (their son will be) born against the order of the castes (Pratiloma).
1	9	17	11	An Ugra (begets) on a female of the Kshattri caste a Svapâka,
1	9	17	12	A Vaidehaka on a female of the Ambashtha caste a Vaina,
1	9	17	13	A Nishâda on a female of the Sûdra caste a Pulkasa,
1	9	17	14	A Sûdra on a female of the Nishâda caste a Kukkutaka.
1	9	17	15	The wise declare those sprung from an inter-mixture of the castes to be Vrâtyas.
1	10	18	1	Let the king protect (his) subjects, receiving as his pay a sixth part (of their incomes or spiritual merit).
1	10	18	2	Brahman, forsooth, placed its majesty in the Brâhmanas, together with (the duties and privileges of) studying, teaching, sacrificing for themselves, sacrificing for others, liberality, and accepting (gifts), for the protection of the Vedas;
1	10	18	3	In the Kshatriyas (it placed) strength, together with (the duties and privileges of) studying, sacrificing, liberality, (using) weapons, and protecting the treasure (and the life of) created beings, for the growth of (good) government;
1	10	18	4	In the Vaisyas (it placed the power of work), together with (the duties of) studying, sacrificing, liberality, cultivating (the soil), trading, and tending cattle, for the growth of (productive) labour.
1	10	18	5	On the Sûdras (it imposed the duty of) serving the three higher (castes).
1	10	18	6	For (the Veda states), 'they were created from the feet (of Brahman).'
1	10	18	7	Let (the king) choose a domestic priest (who shall be) foremost in all (transactions).
1	10	18	8	Let him act according to his instructions.
1	10	18	9	Let him not turn back in battle.
1	10	18	10	Let him not strike with barbed or poisoned (weapons).
1	10	18	11	Let him not fight with those who are in fear, intoxicated, insane or out of their minds, (nor with those) who have lost their armour, (nor with) women, infants, aged men, and Brâhmanas,
1	10	18	12	Excepting assassins (âtatâyin).
1	10	18	13	Now they quote also (the following verse): 'He who slays an assassin, able to teach (the Veda) and born in a (noble) family, does not (incur) by that (act the guilt of) the murderer of a learned Brâhmana; (in) that (case) fury recoils upon fury.'
1	10	18	14	The duty on goods imported by sea is, after deducting a choice article, ten Panas in the hundred.
1	10	18	15	Let him also lay just (duties) on other (marketable goods) according to their intrinsic value without oppressing (the traders).
1	10	18	16	Let the king guard the property of men belonging to a non-Brâhmanical caste, the owner of which has disappeared, during a year, and afterwards take it (for himself).
1	10	18	17	A Brâhmana, forsooth, shall not suffer corporal punishment for any offence.
1	10	18	18	In case (a Brâhmana) has slain a Brâhmana, has violated his Guru's bed, has stolen the gold (of a Brâhmana), or has drunk (the spirituous liquor called) Surâ, (the king) shall cause to be impressed with a heated iron the mark of a headless trunk, a female part, a jackal, (or) the sign of a tavern on the forehead (of the offender) and banish him from his realm.
1	10	18	19	If a Kshatriya or (a man of any) other (lower caste) has murdered a Brâhmana, death and the confiscation of all his property (shall be his punishment).
1	10	18	20	If those same (persons) slay men of equal or lower castes, (the king) shall fix suitable punishments in accordance with their ability.
1	10	19	1	For slaying a Kshatriya (the offender) shall give to the king one thousand cows and besides a bull in expiation of his sin,
1	10	19	2	For (slaying) a Vaisya one hundred cows, for (slaying) a Sûdra ten; and a bull (must be) added (in each case).
1	10	19	3	(The punishment for) the murder of a woman--excepting a (Brâhmanî) who had bathed after temporary uncleanness--and for the destruction of a cow have been explained by the (rule regarding the) murder of a Sûdra.
1	10	19	4	If he has slain a milch-cow or a draught-ox, he shall perform a Kândrâyana (lunar penance) after (paying the prescribed fine).
1	10	19	5	The (punishment for the) murder of a (Brâhmanî) who had bathed after temporary uncleanness has been explained by (the rule regarding) the murder of a Kshatriya.
1	10	19	6	For killing a flamingo, a Bhâsa, a peacock, a Brâhmanî duck, a Prakalâka, a crow, an owl, a frog, a musk-rat, a dog, (the large ichneumon called) Babhru, a common ichneumon, and so forth, (the offender shall pay) the same (fine) as (for the murder of) a Sûdra.
1	10	19	7	In order to gain the good opinion of men, a witness shall give evidence in accordance with what he has seen or heard.
1	10	19	8	Of injustice (in decisions) one quarter falls on the party in the cause, one quarter on his witnesses, one quarter on all the judges, and one quarter on the king. But where he who deserves condemnation is condemned, the king is guiltless and the judges free from blame; the guilt falls on the offender (alone).
1	10	19	9	(Therefore) a wise man should ask an appointed witness in the following manner:
1	10	19	10	'The merit which thou hast acquired in the interval between the night in which thou wast born and that in which thou wilt die, all that will go to the king, if thou speakest an untruth.'
1	10	19	11	'A witness who speaks falsely, slays three fathers and three grandfathers and seven (descendants), both the born and the unborn.'
1	10	19	12	'By false testimony concerning gold he kills three ancestors; by false testimony regarding (small) cattle he kills five; by false testimony concerning kine he kills ten.' 'He kills a hundred by false evidence regarding horses, (and) a thousand by false evidence concerning a man. A witness Who speaks falsely, destroys the whole (world) by false evidence concerning land.'
1	10	19	13	(Men of) the four castes (varna) who have sons may be witnesses excepting Srotriyas, the king, ascetics, and those who are destitute of human (intellect).
1	10	19	14	If (the witness rightly) recollects (the facts of) the case (he will receive) commendation from the most eminent men.
1	10	19	15	In the contrary case (he will) fall into hell.
1	10	19	16	Let him (who has given false evidence), drink hot milk during twelve (days and) nights or offer burnt oblations (reciting) the Kûshmânda (texts).
1	11	21	1	The Veda declares, The quality of the offspring depends on the quality of the marriage rite.'
1	11	21	2	Now they quote also (the following verses): 'It is declared that a female who has been purchased for money is not a wife. She cannot (assist) at sacrifices offered to the gods or the manes. Kâsyapa has stated that she is a slave.'
1	11	21	3	'Those wicked men who, seduced by greed, give away a daughter for a fee, who (thus) sell themselves and commit a great crime, fall (after death) into a dreadful place of punishment and destroy their family down to the seventh (generation). Moreover they will repeatedly die and be born again. All (this) is declared (to happen), if a fee (is taken).'
1	11	21	4	On the day of the full moon, on the eighth day (of each half month), on the day of the new moon, on the appearance of a meteor, on the occasion of an earthquake, on visiting a burial-ground, and on the death of the king of the country, of a Srotriya or of one who has the same Guru (satîrthya), the study of the Veda must be discontinued for a day and a night.
1	11	21	5	(The study of the Veda must be interrupted) while (a strong) wind (blows), a foul smell (is perceptible), or hoar-frost (lies on the ground), when dancing (is going on), and while the sounds of singing, musical instruments, weeping, or of the Sâman (melodies are audible).
1	11	21	6	When thunder, lightning, and rain come together, (the interruption shall last) three days except in the rainy season.
1	11	21	7	In the rainy season, too, (the reading must be interrupted) until the same hour of the (next) day or night, (if thunder and lightning come together), not on account of rain.
1	11	21	8	If (he has) received anything or dined on the occasion of a sacrifice in honour of the manes, (he shall not read) during the remainder of the day,
1	11	21	9	(Nor) after meals until (the food) has been digested.
1	11	21	10	For the hand of a Brâhmana is his mouth.
1	11	21	11	Now they quote also (the following verse): According to the revealed texts there is no difference whether one has eaten or received (a present at a Srâddha).'
1	11	21	12	(A student shall discontinue the study of the Veda) during three days in case his father has died.
1	11	21	13	'Of two kinds, forsooth, is the virile energy of a famous Brâhmana who is learned in the Vedas, (that which resides) above the navel and the other (that resides) below the' navel. Through that which (resides) above the navel, his offspring is produced when he initiates Brâhmanas, when he teaches them, when he causes them to offer sacrifices, when he makes them holy. All these are his children. But through that which resides below the navel the children of his body are produced. Therefore they never say to a Srotriya who is versed in the Vedas, 'Thou art destitute of offspring.'
1	11	21	14	'Therefore a Brâhmana has two names, two mouths, two kinds of virile energy, and two births.'
1	11	21	15	(Let him discontinue the recitation of the Veda) as long as he is within hearing or sight of Sûdras and Apapâtras.
1	11	21	16	When at night the howl of a solitary jackal is heard, he shall not study until he has slept.
1	11	21	17	Let him not study in the evening and morning twilights nor on the Parva-days.
1	11	21	18	He shall not eat meat nor approach his wife (on those days).
1	11	21	19	It is declared in the Veda, 'For on the Parva-days the Râkshasas and the Pisâkas roam about (in order to injure men).'
1	11	21	20	And on (the appearance of) other omens and portents (he shall not repeat the Veda), except mentally, during a day and a night.
1	11	21	21	The mental recitation of the Veda must also be interrupted on births and deaths (occurring in the family).
1	11	21	22	Now they quote also (the following verse): 'The eighth day destroys the teacher, the fourteenth destroys the pupil, the fifteenth destroys learning; therefore let him avoid (studying the Veda) on the Parva-days.'
2	1	1	1	Now, therefore, the penances (will be described).
2	1	1	2	The murderer of a learned Brâhmana (shall practise the following vow) during twelve years:
2	1	1	3	Carrying a skull (instead of a dish) and the foot of a bedstead (instead of a staff), dressed in the hide of an ass, staying in the forest, making a dead man's skull his flag, he shall cause a hut to be built in a burial-ground and reside there; going to seven houses in order to beg food, while proclaiming his deed, he shall support life with what (he gets there), and shall fast if he obtains nothing;
2	1	1	4	Or he may offer a horse-sacrifice, a Gosava, or an Agnishtut
2	1	1	5	Or he may bathe (with the priests) on the completion of a horse-sacrifice (offered by somebody else).
2	1	1	6	Now they quote also (the following verses): 'He who unintentionally slays a Brâhmana becomes sinful according to the sacred law. The sages declare that he may be purified (if he did it) unintentionally. But no expiation is found for a wilful murderer.'
2	1	1	7	He who has raised his hand (against a Brâhmana), shall perform a Krikkhra penance, an Atikrikkhra penance if he strikes, a Krikkhra and a Kândrâyana if blood flows. Therefore let him neither raise his hand nor cause blood to flow.'
2	1	1	8	(For killing) a Kshatriya (he shall keep the normal vow of continence) during nine years,
2	1	1	9	(For killing) a Vaisya during three (years),
2	1	1	10	(For killing) a Sûdra during one year,
2	1	1	11	Likewise for killing a woman.
2	1	1	12	(The penance for killing) a woman who has bathed after temporary uncleanness (is) the same (as that) for (the murder of) a Brâhmana.
2	1	1	13	He who has defiled the bed of a Guru shall place himself on a heated iron bed,
2	1	1	14	Or embrace a red hot image (of a woman),
2	1	1	15	Or cutting off his organ together with the testicles and holding them in his joined hands, he shall walk towards the south-west until he falls down (dead).
2	1	1	16	A thief shall go to the king with flying hair, carrying on his shoulder a club of Sindhraka wood (and say), 'Strike me with that.' (Then the king) shall strike him.
2	1	1	17	Now they quote also (the following verses): 'A thief shall go to the king carrying a club on his shoulder (and say to him), 'Punish me with that, O king, remembering the duty of Kshatriyas.' 'Whether he be punished or be pardoned, the thief is freed from his guilt. But if the king does not punish him, that guilt of the thief falls on him.'
2	1	1	18	If he has drunk (the spirituous liquor called) Surâ, he shall scald himself to death with hot (liquor of the) same (kind).
2	1	1	19	For unintentionally drinking (Surâ), he shall perform Krikkhra penances during three months and be initiated again,
2	1	1	20	And (on this second initiation) the cutting (of the hair and nails), the vows, and (the observance of the) restrictive rules may be omitted.
2	1	1	21	Now they quote also (the following verses): 'A Brâhmana, Kshatriya, or Vaisya who has unintentionally drunk (the spirituous liquor called) Vârunî or has swallowed urine or faeces must be initiated a second time.'
2	1	1	22	'But he who drinks water which has stood in a vessel, used for keeping Surâ, shall live six days on milk in which (leaves of) the Saṅkhapushpî plant have been boiled.'
2	1	1	23	If (a pupil) who is employed by his teacher (on some errand) meets with his death, (the teacher) shall perform three Krikkhra penances.
2	1	1	24	The same (penance) is prescribed for not finishing (the education of the pupil).
2	1	1	25	If a student assists at the burial of anybody except (at that of his) mother, of his father, or of his teacher, he must begin his vow afresh.
2	1	1	26	If a (student) is sick, he may, at his pleasure, eat all the fragments of his teacher's meal as medicine.
2	1	1	27	He may physic himself with any (medicine) which he may desire.
2	1	1	28	When he is unable to move, he may worship the sun, after he has risen, reciting this (Rik verse): A swan, dwelling in purity.'
2	1	1	29	When he has spent his manly strength in the day-time, let him thrice drink water that reaches his heart, reciting the verses which contain the word retas.
2	1	1	30	A student who approaches a woman (is called) an Avakîrnin,
2	1	1	31	Let him offer an ass (in the place of) a sacrificial animal.
2	1	1	32	The sacrificial meat-cake (purodâsa shall be offered) to Nirriti, or to the Râkshasas, or to Yama.
2	1	1	33	It is declared in the Veda, 'The piece to be eaten by the sacrificer (prâsitra, shall be taken) from the organ (of the animal); and the (other) portions shall be offered in water.'
2	1	1	34	'Or he may also heap (fuel) on the fire in the night of the new moon, perform the preparatory rites required for the Darvîhoma, and offer two oblations of clarified butter (reciting these two sacred texts): "O Lust, I have broken my vow; my vow have I broken, O Lust; to Lust Svâhâ;" "O Lust, I have done evil; evil have I done, O Lust; to Lust Svâhâ."'
2	1	1	35	'After he has made the offering, he shall address the fire, closely joining his hands, turning sideways (with the following texts): "May the Maruts grant me, may Indra, may Brihaspati, may this fire grant me long life and strength, may it make me long-lived! "'
2	1	1	36	Now the relatives shall empty (the water-pot) of a (grievous offender) at a (solemn) meeting (and he shall confess), 'I N. N. am (the perpetrator of) such and such (a deed).' After (the outcast) has performed (his penance) the Brâhmanas shall ask him who has touched water, milk, clarified butter, honey, and salt, 'Hast thou performed (thy penance)?' The other (person) shall answer, 'Om' (yes)! They shall admit him who has performed (a penance) to all sacrificial rites, making no difference (between him and others).
2	1	1	37	If he unintentionally marries a female who belongs to his own family (gotra), he shall support her, (treating her) like his mother.
2	1	1	38	If (such a woman) has borne a child; he shall perform Krikkhra penances during three months and offer (two burnt oblations reciting) the two (Mantras), 'That which is the blemish of my soul' (and) 'Fire restored my sight.'
2	1	1	39	'An elder brother whose younger brother marries first, the younger brother who marries first, the damsel wedded (by the latter), he who gives her away, and fifthly, he who sacrifices for them (at the wedding), all sink to a region of torment.'
2	1	1	40	The unmarried elder brother and the married younger brother, the giver (of the maiden) and the performer of the sacrifices become pure by undergoing a Krikkhra penance of twelve days, the female (who has been wedded to the younger brother) by (fasting during) three days.'
2	1	2	1	Now (follow the offences) causing loss of caste (patanîya),
2	1	2	2	(Viz.) making voyages by sea,
2	1	2	3	Stealing the property of a Brâhmana or a deposit,
2	1	2	4	Giving false evidence regarding land,
2	1	2	5	Trading with merchandise of any description (whether forbidden or not),
2	1	2	6	Serving Sûdras,
2	1	2	7	Begetting a son on a female of the Sûdra caste,
2	1	2	8	And becoming thereby her son.
2	1	2	9	(For those who have) committed one of these (offences the following penance is prescribed);
2	1	2	10	'They shall eat every fourth meal-time a little food, bathe at the time of the three libations (morning, noon, and evening), passing (the day) standing and (the night) sitting. After the lapse of three years they throw off their guilt.'
2	1	2	11	'A Brâhmana removes the sin which he committed by serving the black race during one day and one night, if he bathes during three years at every fourth meal-time.'
2	1	2	12	Now (follow) the minor offences, entailing loss of caste (upapâtaka),
2	1	2	13	(Viz.) intercourse with females who must not be approached (agamyâ, e.g.) cohabitation with the female friend of a female Guru, with the female friend of a male Guru, with an Apapâtra woman, and a female outcast, following the profession of medicine, sacrificing for many, living by (performances on) the stage, following the profession of a teacher of dancing, singing and acting, tending cows and buffalos, and similar (low occupations, as well as) fornication.
2	1	2	14	The expiation (prescribed) for these (offences is) to live as an outcast during two years.
2	1	2	15	Now (follow the offences) which make men impure (asukikara),
2	1	2	16	(Viz.) gambling, performing incantations, subsisting by gleaning corn though one does not perform an Agnihotra, subsisting by alms after one has finished one's studentship, living, after that has been finished, longer than four months in the house of one's teacher, and teaching such a (person who has finished his studentship), gaining one's livelihood by astrology and so forth.
2	1	2	17	But the expiation of these (offences is to perform penances) during twelve months, during twelve fortnights, during twelve times ten days, during twelve se’nnights, during twelve times three days, during twelve days, during six days, during three days, during a day and a night, during one day, in proportion to the offence committed.
2	1	2	18	Now outcasts shall live together and (together) fulfil their duties, sacrificing for each other, teaching each other, and marrying amongst each other. If they have begot sons, they shall say to them, 'Depart from among us; thus you will again reach the Âryas.'
2	1	2	19	For the organs do not become impure together with the man.
2	1	2	20	(The truth of) that may be learned from this (parallel case); a man deficient in limbs begets a son who has the full number of limbs.
2	1	2	21	Hârîta declares that this is wrong.
2	1	2	22	For wives may be (considered) similar to thevessel which contains the curds (for the sacrifice). If one makes impure milk curdle in a milk-vessel and stirs it, the Sishtas do not use the (curds thus produced) for sacred rites.
2	1	2	23	In like manner no intercourse can be held with that (offspring) which is produced from impure seed.
2	1	2	24	If they desire it, (they may perform) a penance,
2	1	2	25	(Viz. in the case of males) the third part (of the penance prescribed) for crimes causing loss of caste (patanîya); for females the third part (of that).
2	1	2	26	Now they quote also (the following verse): 'If he applies sesamum to any other purpose, but food, anointing, and charitable gifts, he will be born again as a worm and, together with his ancestors, be plunged into the ordure of dogs.'
2	1	2	27	He who sells sesamum, forsooth, sells his ancestors; he who sells rice, forsooth, sells his life; he who gives away his daughter, making a bargain, forsooth, sells portions of his spiritual merit.
2	1	2	28	Grass and wood, in its natural state, may be sold.
2	1	2	29	Now they quote also (the following verse): 'Animals that have teeth in one jaw only, as well as minerals excepting salt, and undyed thread, these, O Brâhmana, are the goods which thou art permitted to sell.'
2	1	2	30	(If he has committed) any offence excepting a mortal sin (pâtaka) he may either give to a learned Brâhmana (anûkâna) a hairy cow of brown or red-dish colour, after sprinkling her with clarified butter and scattering black sesamum seeds over her;
2	1	2	31	Or (he may offer burnt oblations), reciting the Kûshmândas, during twelve days,
2	1	2	32	'(Thus) he will be freed. from the guilt (of any crime that is) less (heinous) than the murder of a learned Brâhmana.'
2	1	2	33	If one is accused of a mortal sin (pâtaka), a Krikkhra (penance must be performed by the accused).
2	1	2	34	The accuser (shall perform) that (Krikkhra penance during) a year.
2	1	2	35	'He who during a year associates with an outcast, becomes (likewise) an outcast; not by sacrificing for him, by teaching him or by (forming) a matrimonial (alliance with him), but by using the same carriage or seat.'
2	1	2	36	The penance for eating impure substances is to fast until the entrails are empty. That is attained in seven (days and) nights.
2	1	2	37	(Subsisting on) water, milk, clarified butter, (and) fasting,--each for three days,--(and taking the three fluids) hot, that is a Taptakrikkhra penance.
2	1	2	38	(Eating) during three days in the morning only, during the (next) three days in the evening only, (subsisting) during (another) three days (on) food given unasked, and fasting during three days, (that is) a Krikkhra penance.
2	1	2	39	(If the period of twelve days is divided into) three (periods of) four days, that is the Krikkhra penance of, women, children, and aged men.
2	1	2	40	If (observing the rule given) above one eats (at each meal) so much only as one can take at one (mouthful), that is an Atikrikkhra penance.
2	1	2	41	(If one) subsists on water only, that is a Krikkhrâtikrikkhra, the third (in the order of the Krikkhra penances).
2	1	2	42	During a Krikkhra penance (the following rules must be followed, viz.) to bathe at morn, noon, and evening,
2	1	2	43	To sleep on the ground,
2	1	2	44	To wear one garment only, to shave the hair of the head, of the beard, and of the body, and to clip the nails.
2	1	2	45	The same (rules apply) to women except (that referring to) shaving the head.
2	2	3	1	A Brâhmana who always carries water (in his pot), who always wears the sacred thread, who daily recites the Veda, who avoids the food of Sûdras, who approaches (his wife) in the proper season, and offers sacrifices in accordance with the rules (of the Veda, after death) never falls from Brahman's heaven.
2	2	3	2	The Veda (says), 'Manu divided his estate among his sons.'
2	2	3	3	(A father may, therefore, divide his property) equally among all, without (making any) difference;
2	2	3	4	Or the eldest may receive the most excellent chattel.
2	2	3	5	(For) the Veda says, 'Therefore, they distinguish the eldest by (an additional share of the) property.
2	2	3	6	Or the eldest may receive (in excess) one part out of ten;
2	2	3	7	(And) the other (sons) shall receive equal shares.
2	2	3	8	While the father lives, the division of the estate takes place (only) with the permission of the father.
2	2	3	9	The (additional) share of the eldest is, (according to the order) of the four castes, a cow, a horse, a goat, and a sheep.
2	2	3	10	If there are sons born of wives of different castes (varna), they should make ten portions of the ancestral property and take four (shares), three, two, (and) one, according to the order (of the castes).
2	2	3	11	But if a legitimate son of the body (aurasa) is born, the (other) sons of equal caste shall obtain one third share (of the estate).
2	2	3	12	If there is a son of equal caste and a son of a wife of the next lower caste, the son born of the wife of the next lower caste may take the share of the eldest, provided he be endowed with good qualities.
2	2	3	13	(A son) who possesses good qualities becomes the protector of the rest.
2	2	3	14	One must know a son begotten by (the husband) himself on a wedded wife of equal caste (to be) a legitimate son of the body (aurasa). Now they quote also (the following verse): 'From the several limbs (of my body) art thou produced, from my heart art thou born; thou art "self" called a son; mayest thou live a hundred autumns.'
2	2	3	15	The (male child) born of a daughter, after an agreement has been made, (one must know to be) the son of an appointed daughter (putrikâputra); any other (male offspring of a daughter they call) a daughter's son (dauhitra).
2	2	3	16	Now they quote also (the following verse): 'The son of an appointed daughter should offer the first funeral cake to his mother, the second to her father, and the third to his father's father.'
2	2	3	17	He who is begotten, by another man, on the wife of a deceased man, of a eunuch, or of one (incurably) diseased, after permission (has been given), is called the son begotten on a wife (kshetraga).
2	2	3	18	Such a (son begotten on a wife) has two fathers and belongs to two families; he has a right to perform the funeral oblations, and to inherit the property of (his) two (fathers).
2	2	3	19	Now they quote also (the following verse): The son of two fathers shall give the funeral cakes (to his two fathers, and pronounce) two names with each oblation, and three cakes shall serve for six persons; he who acts thus will not err.'
2	2	3	20	He (is called) an adopted son (datta) who, being given by his father and his mother, or by either of the two, is received in the place of a child.
2	2	3	21	He (is called) a son made (kritrima) whom (a mail) himself makes (his son), with the (adoptee's) consent (only), and who belongs to the same caste (as the adopter).
2	2	3	22	He is called a son born secretly (gûdhagga) who is secretly born in the house and whose (origin is) afterwards (only) recognised.
2	2	3	23	He is called a son cast off (apaviddha) who, being, cast off by his father and his mother, or by either (of them), is received in the place of a child.
2	2	3	24	If anybody approaches an unmarried girl without the permission (of her father or guardian), the son born by such (a woman is called) the son of an unmarried damsel (kânîna).
2	2	3	25	If one marries either knowingly or unknowingly a pregnant bride, the child which is born of her is called (a son) taken with the bride (sahodha).
2	2	3	26	He (is called a son) bought (krîta) who, being purchased from his father and his mother, or from either of them, is received in the place of a child.
2	2	3	27	He (is called the son) of a twice-married woman (paunarbhava) who is born of a re-married female, (i.e.) of one who, having left an impotent man, has taken a second husband.
2	2	3	28	He (is called) a self-given (son, svayamdatta) who, abandoned by his father and his mother, gives himself (to a stranger).
2	2	3	29	He who is begotten by (a man of) the first twice-born (caste) on a female of the Sûdra caste (is called) a Nishâda.
2	2	3	30	(He who was begotten by the same parents) through lust (is called) a Pârasava. Thus (the various kinds of) sons (have been enumerated).
2	2	3	31	Now they quote also (the following verses): 'They declare the legitimate son, the son of an appointed daughter, the son begotten on a wife, the adopted son and the son made, the son born secretly and the son cast off, (to be entitled) to share the inheritance.'
2	2	3	32	'They declare the son of an unmarried damsel and the son received with the bride, the son bought, likewise the son of a twice-married female, the son self-given and the Nishâda, to be members of the family.'
2	2	3	33	Aupagandhani (declares that) the first among them alone (is entitled to inherit, and a member of his father's family).
2	2	3	34	'Now, O Ganaka, I jealously watch my wives, (though I did) not (do it) formerly; for they have declared in Yama's court that the son belongs to the begetter. The giver of the seed carries off the son, after death, in Yama's hall, Therefore they carefully protect their wives, fearing the seed of strangers.'
2	2	3	35	'Carefully watch (the procreation of your) offspring, lest strange seed fall on your soil. After death the son belongs to the begetter; through carelessness a husband makes (the procreation of) a son useless.'
2	2	3	36	Let them carefully protect the shares of those who are minors, as well as the increments (thereon).
2	2	3	37	Granting food, clothes, (and shelter), they shall support those who are incapable of transacting legal business,
2	2	3	38	(Viz.) the blind, idiots, those immersed in vice, the incurably diseased, and so forth,
2	2	3	39	Those who neglect their duties and occupations;
2	2	3	40	But not the outcast nor his offspring.
2	2	3	41	Intercourse with outcasts shall not take place.
2	2	3	42	But he shall support an outcast mother, without speaking to her.
2	2	3	43	The daughters shall obtain the ornaments of their mother, (as many as are) presented according to the custom (of the caste), or anything else (that may be given according to custom).
2	2	3	44	Women do not possess independence.
2	2	3	45	Now they quote also (the following verse): Their father protects (them) in childhood, their husband protects (them) in youth, and their sons protect (them) in old age a woman is never fit for independence.'
2	2	3	46	The Veda declares, 'Therefore women are considered to be destitute of strength and of a portion.'
2	2	3	47	Those (women) who strive (to do what is) agreeable to their husbands will gain heaven.
2	2	3	48	But for a violation (of their duty towards the husband) a Krikkhra penance (must be performed).
2	2	3	49	(For violating it) with a Sûdra (a woman) shall perform a lunar penance (kândrâyana);
2	2	3	50	(For violating it) against the order of the castes with a Vaisya and so forth, she shall perform a Krikkhra or an (Atikrikkhra) penance.
2	2	3	51	For male (offenders, i.e.) Brâhmanas and so forth, a year's chastity (is prescribed).
2	2	3	52	Let him burn a Sûdra (who commits adultery with an Âryan) in a straw-fire.
2	2	3	53	Now they quote also (the following verses):
2	2	4	1	'Anybody but a Brâhmana shall suffer corporal punishment for adultery.'
2	2	4	2	'The wives (of men) of all castes must be guarded more carefully than wealth.'
2	2	4	3	'But corporal punishment (shall) not (be inflicted) for (adultery with) the wives of minstrels and with those who appear on the stage. For (the husbands) carry them (to other men), or, lying concealed (at home), permit them to hold culpable intercourse.'
2	2	4	4	'Women (possess) an unrivalled means of purification; they never become (entirely) foul. For month by month their temporary uncleanness removes their sins.'
2	2	4	5	'Soma gave them cleanliness, the Gandharva their melodious voice, and Fire purity of all (limbs); therefore women are free from stains.'
2	2	4	6	'Let him abandon a barren (wife) in the tenth year, one who bears daughters (only) in the twelfth, one whose children (all) die in the fifteenth, but her who is quarrelsome without delay.'
2	2	4	7	A widow shall avoid during a year (the use of) honey, meat, spirituous liquor, and salt, and sleep on the ground.
2	2	4	8	Maudgalya (declares that she shall do so) during six months.
2	2	4	9	After (the expiration of) that (time) she may, with the permission of her Gurus, bear a son to her brother-in-law, in case she has no son.
2	2	4	10	Now they quote also (the following verse): One whose appointment can have no result, (viz.) a barren woman, one who has borne sons, one who is past child-bearing, one whose children are (all) dead, and one who is unwilling must not be appointed.'
2	2	4	11	The sister of a maternal uncle and of the father, a sister, a sister's daughter, a daughter-in-law, a maternal uncle's wife, and the wife of a friend are females who must never be approached (agamyâ).
