Prapathaka	Kandika_no	Text_no	Hymn
2	3	20	The deities to whom it belongs, are, Agni, Pragâpati, the Visve devâs, and Anumati.
2	3	21	Having taken that food out (of the vessel in which it is), and having spread it out, he should touch one part of it with his hand, with (the verses), 'With the tie of food, with the jewel' .
2	3	22	After he has eaten, and has given the rest to the wife, (they may do) what they like.
2	3	23	A cow is the sacrificial fee.
2	4	1	When she mounts the chariot, let him murmur the verse, 'Adorned with Kimsuka flowers, of Salmali wood' .
2	4	2	On the way he should address crossways, rivers and unevennesses (of the soil), big trees, and burial grounds, with (the verse), 'May no waylayers meet us' .
2	4	3	If the axle breaks, or something that is bound gets loose, or if the chariot is overturned, or if some other accident happens, they should put wood on the fire which they carry with themselves, shouldmake oblations (of Âgya) with the Vyâhritis, should procure a new piece (instead of that which has been damaged), and should besmear it with the remnants of the Âgya (that has been offered), with (the verse), 'He who without binding' .
2	4	4	Having sung the Vâmadevya, he should mount (again).
2	4	5	When they have arrived, the Vâmadevya (is sung).
2	4	6	When (the bride) has reached the house, Brâhmana women of good character, whose husbands and sons are living, make her descend (from the chariot), and make her sit down on a bull's hide with (the verse which the husband recites), 'Here, ye cows, bring forth calves' .
2	4	7	They should place a boy in her lap.
2	4	8	Into the joined hands of that (boy) they should throw lotus-roots (?),
2	4	9	Or fruits.
2	4	10	After she has made that boy rise, she sacrifices the eight 'firm' Âgya oblations with (the formula), 'Here is steadiness' .
2	4	11	When she has finished, she puts a piece of wood (on the fire) and respectfully salutes the Gurus, according to seniority, with their Gotra names. Then they may do what they like.
2	5	1	Now (follow) the ceremonies of the fourth day.
2	5	2	Having put wood on the fire, he four times sacrifices expiatory Âgya oblations with (the formula), 'Agni! Thou art expiation' —
2	5	3	(And with the same formula), putting instead of Agni, Vâyu, Kandra, and Sûrya;
2	5	4	A fifth oblation (with the names of the four gods) together, changing (in the Mantra the singular) into the plural.
2	5	5	The remnants of each oblation he should pour into a water-pot.
2	5	6	With that (Âgya) they besmear her body, including her hair and nails, remove (that water and Âgya by rubbing her), and wash her.
2	5	7	After three nights have passed, they should cohabit, according to some (teachers).
2	5	8	When she has had her monthly illness and the blood has ceased to flow, that is the time for cohabiting.
2	5	9	With his right hand he should touch her secret parts with the verse, 'May Vishnu make thy wombready' , and with that, 'Give conception, Sinîvâlî' .
2	5	10	When those two verses are finished, they cohabit.
2	6	1	The beginning of the third month of pregnancy is the time for the Pumsavana (i.e. the ceremony to secure the birth of a son).
2	6	2	In the morning, after she has been washed, sitting on northward-pointed Darbha grass, (all over her body) including her head, she sits down to the west of the fire on northward-pointed Darbha grass, facing the east.
2	6	3	Her husband, standing behind her, should grasp down with his right hand over her right shoulder, and should touch the uncovered place of her navel with the verse, 'The two men, Mitra and Varuna' .
2	6	4	Then they may do what they like.
2	6	5	Then afterwards (the following ceremony should be performed).
2	6	6	In a north-easterly direction, having bought for three times seven barley corns or beans a Nyagrodha shoot which. has fruits on both sides, which is not dry and not touched by worms, he should set that up.
2	6	7	(He buys it with the Mantras):'If thou belongest to Soma, I buy thee for the king Soma.'If thou belongest to Varuna, I buy thee for the king Varuna.'If thou belongest to the Vasus, I buy thee for the Vasus.'If thou belongest to the Rudras, I buy thee for the Rudras.'If thou belongest to the Âdityas, I buy thee for the Âdityas.'If thou belongest to the Maruts, I buy thee for the Maruts.'If thou belongest to the Visve devâs, I buy thee for the Visve devâs.'
2	6	8	He should set it up with (the Mantra), 'Ye herbs, being well-minded, bestow strength on this (shoot); for it will do its work.' Then he should put grass around it, should take it, and place it in the open air.
2	6	9	Having washed a nether mill-stone, a student or a (wife) addicted (to her husband), a person who is a Brâhmana by birth (only and not by learning), or a girl, pounds (that Nyagrodha shoot) without moving backward (the stone with which she pounds it).
2	6	10	In the morning, after she has been washed, sitting on northward-pointed Darbha grass, (all over her body), including her head, she lies down to the west of the fire on northward-pointed Darbha grass, with her head to the east.
2	6	11	Her husband, standing behind her, should seize (the pounded Nyagrodha shoot) with thethumb and the fourth finger of his right hand, and should insert it into her right nostril with the verse, 'A man is Agni, a man is Indra' .
2	6	12	Then they should do what they like.
2	7	1	Now (follows) the Sîmantakarana (or parting of the hair), in her first pregnancy,—
2	7	2	In the fourth, or sixth, or eighth month (of her pregnancy).
2	7	3	In the morning, after she has been washed, sitting on northward-pointed Darbha grass, (all over her body), including her head, she sits down to the west of the fire on northward-pointed Darbha grass, facing the east.
2	7	4	Her husband, standing behind her, ties (to her neck) an Udumbara branch with an even number of unripe fruits on it, with (the verse), 'Rich in sap is this tree' .
2	7	5	He then parts her hair upwards (i.e. beginning from the front), the first time with Darbha blades, with (the word), 'Bhûh!' the second time with (the word), 'Bhuvah!' the third time with (the word), 'Svah!'—
2	7	6	Then with (a splint of) Vîratara (wood) with this verse, 'With which Aditi's' ;
2	7	7	Then with a full spindle, with this verse, 'I invoke Râkâ'
2	7	8	And with a porcupine's quill that has three white spots, with (the verse), 'Which are thy blessings, O Râkâ' .
2	7	9	(There should be prepared) a mess of boiled rice with sesamum seeds, covered with ghee; at that he should make her look.
2	7	10	Let him say to her, 'What dost thou see?' and make her answer, 'Offspring!'
2	7	11	That (food) she should eat herself.
2	7	12	Brâhmana women should sit by her side, pronouncing auspicious words (such as), 'A mother of valiant sons! A mother of living sons! A living husband's wife!'
2	7	13	Now (follows) the sacrifice for the woman in labour.
2	7	14	When the child is appearing, he strews (Darbha grass) round the fire and sacrifices two Âgya oblations with this verse, 'She who athwart' , and with (the verse), 'Vipaskit has taken away' .
2	7	15	'A male he will be born, N.N. by name'—(in this passage of the last verse) he pronounces a name.
2	7	16	What that (name is), is kept secret.
2	7	17	When they announce to him that a son has been born, he should say, 'Delay still cutting off the navel-string and giving him the breast.'
2	7	18	Let him have rice and barley-grains pounded in the same way as the (Nyagrodha) shoot.
2	7	19	Seizing (that pounded substance) with the thumb and the fourth finger of his right hand, he smears it on the tongue of the boy, with the formula, 'This order' .
2	7	20	In the same way the production of intelligence (is performed). He should give to eat (to the child) clarified butter.
2	7	21	Or he takes it with gold (i.e. with a golden spoon) and sacrifices it on the face of the boy with this verse, 'May Mitra and Varuna bestow intelligence on thee' , and with (the verse), 'The lord of the seat, the wonderful' .
2	7	22	Let him say, 'Cut off the navel-string,' and, 'Give the breast (to the child).'
2	7	23	From that time let him not touch (his wife) until ten nights have passed.
2	8	1	On the third (Tithi) of the third bright fortnight after his birth, in the morning the father has the child washed, including his head, and after sunset, when the evening-red has disappeared, he worships (the moon), holding up his joined hands.
2	8	2	Then the mother, having dressed the son in a clean garment, hands him, from south to north, with his face turned to the north, to the father.
2	8	3	She then passes behind his back and stations herself to the north (of her husband).
2	8	4	He then murmurs (the three verses), 'Thy heart, O thou whose hair is well parted' , and after he has, with the words , 'That this son may not come to harm (and thus be torn) from his mother'—
2	8	5	Handed him, from south to north, to his mother, they may do what they like.
2	8	6	Then in the following bright fortnights (at the time) stated above (Sûtra I), the father, filling his joined hands with water and turning his face towards the moon, worships it—
2	8	7	Letting (the water) flow (out of his joined hands) once with the Yagus, 'What in the moon' , and twice silently. Then they may do what they like.
2	8	8	When ten nights have elapsed after (the child's) birth, or a hundred nights, or one year, the Nâmadheyakarana (or giving a name to the child, is performed).
2	8	9	He who is going to perform (that ceremony—the father or a representative of the father), sits down to the west of the fire on northward-pointed Darbha grass, facing the east.
2	8	10	Then the mother, having dressed the son in a clean garment, hands him, from south to north,with his face turned to the north, to the performer (of the ceremony).
2	8	11	She then passes behind his back and sits down to the north (of him), on northward-pointed Darbha grass.
2	8	12	He then sacrifices to Pragâpati, to the Tithi (of the child's birth), to the Nakshatra (of the child's birth), and to the (presiding) deity (of that Tithi and of that Nakshatra).
2	8	13	He then murmurs the Mantra, 'Who art thou? What person art thou?' , touching the sense-organs at (the boy's) head.
2	8	14	In (the passage of the Mantra), 'Enter upon the month, that belongs to Ahaspati (i.e. the lord of days), N.N.!' and at the end of the Mantra he should give him a name beginning with a sonant, with a semivowel in it, with a long vowel or the Visarga at the end, (and formed with) a Krit (suffix).
2	8	15	It should not contain a Taddhita (suffix).
2	8	16	(He should give a name with) an odd (number of syllables), ending in -dâ, to girls.
2	8	17	And after he has told the name to the mother first, they may do what they like.
2	8	18	A cow constitutes the sacrificial fee.
2	8	19	Every month (after the birth) of the boy, (or)after one year, or on the Parvan days of the year (i.e. on the last Tithi of each of the three seasons) he should sacrifice to Agni and Indra, to Heaven and Earth, and to the Visve devâs.
2	8	20	Having sacrificed to the deity (of the Tithi and of the Nakshatra respectively), he should sacrifice to the Tithi and to the Nakshatra.
2	8	21	When (the father) returns from a journey, or when (the son) begins to know, 'This is my father,' or when (the son) has been initiated, (the father) should grasp with his two hands his son round the head, and should murmur, 'From limb by limb thou art produced' .
2	8	22	With (the formula), 'With the cattle's himkâra I kiss thee'  he should kiss him. Then he may do what he likes.
2	8	23	In the same way (he should do) to his younger sons—
2	8	24	According to their age or in the order in which he meets them.
2	8	25	Girls he should silently kiss on their head; he should silently kiss them on their head.
2	9	1	Now follows the tonsure of the child's head, in the third year.
2	9	2	To the east of the house on a surface besmeared (with cow-dung) wood has been put on the fire.
2	9	3	There the following things have been placed:
2	9	4	To the south (of the fire) twenty-one Darbha blades, a brass vessel with hot water, a razor of Udumbara wood or a mirror, and a barber with a razor in his hand;
2	9	5	To the north, bull's dung and a mess of boiled rice with sesamum seeds which may be more or less cooked.
2	9	6	Let them fill vessels separately with rice and barley, with sesamum seeds and beans, and let them place (those vessels) to the east (of the fire).
2	9	7	The boiled rice with sesamum seeds  and all seeds  are given to the barber.
2	9	8	Then the mother, having dressed the son in a clean garment, sits down to the west of the fire on northward-pointed Darbha grass, facing the east.
2	9	9	To the west (of her), facing the east, the person stations himself who is going to perform that (ceremony).
2	9	10	He then murmurs, fixing his thoughts on Savitri, looking at the barber, (the Mantra), 'Hither has come Savitri with his razor' .
2	9	11	And fixing his thoughts on Vâyu, looking at the brass vessel with warm water, (he murmurs the Mantra), 'With warm water, O Vâyu, come hither' .
2	9	12	Drawing water (out of that vessel) with his right hand he moistens the patch of hair on the right side (of the boy's head) with (the Mantra), 'May the waters moisten thee for life' .
2	9	13	With (the Mantra), 'Vishnu's tusk art thou'  he looks at the razor of Udumbara wood or at the mirror.
2	9	14	With (tile Mantra), 'Herb! Protect him!'  he puts seven Darbha blades, with their points turned towards (the boy's) head, into the patch of hair on the right side of his head.
2	9	15	Pressing them down with his left hand, and seizing with his right hand the razor of Udumbara wood or the mirror, he touches with it (the Darbha blades), with the (Mantra), 'Axe! Do no harm to him!' .
2	9	16	With (the Mantra), 'With which Pûshan has shaven Brihaspati's head' , he moves forward (that razor or the mirror) three times towards the east without cutting (the hair); once with the Yagus, twice silently.
2	9	17	Then (the barber) with the razor of metal cuts the hair and throws (the cut off hair ends) on the bull's dung.
2	9	18	In the same way (after the same rites have been performed), he cuts the patch of hair on the back-side;
2	9	19	And that on the left side.
2	9	20	He should repeat (when going to cut the hair on the back-side, and then again on the left side, the rites stated above), beginning from the moistening of the hair .
2	9	21	Grasping with his two hands (the boy) round his head he should murmur (the verse), 'The threefold age of Gamadagni' .
2	9	22	In the same way (the rites are performed) for a girl,
2	9	23	(But) silently.
2	9	24	The sacrifice, however, (is performed) with the Mantra.
2	9	25	Walking away from the fire in a northerly direction they have the arrangement of (the boy's) hair made according to the custom of his Gotra and of his family.
2	9	26	They throw the hair on the bull's dung (mentioned above), take it to the forest, and bury it.
2	9	27	Some throw them on a bunch (of grass or the like).
2	9	28	Then they may do what they like.
2	9	29	A cow constitutes the sacrificial fee.
2	10	1	In the eighth year after the conception let him initiate a Brâhmana,
2	10	2	In the eleventh year after the conception a Kshatriya,
2	10	3	In the twelfth year after the conception a Vaisya.
2	10	4	Until the sixteenth year the time has not passed for a Brâhmana, until the twenty-second for a Kshatriya, until the twenty-fourth for a Vaisya.
2	10	5	After that (time has passed), they become patitasâvitrîka (i.e. they have lost their right of being taught the Sâvitrî).
2	10	6	Let them not initiate such men, nor teach them, nor perform sacrifices for them, nor form matrimonial alliances with them.
2	10	7	On the day on which the youth is going to receive the initiation, on that day, early in the morning, they give him to eat, and have his hair arranged, and wash him, and deck him with ornaments, and put on him a (new) garment which has not yet been washed.
2	10	8	Their garments are made of linen, of hempen cloth, of cotton, or of wool (according to the caste to which the student belongs).
2	10	9	The skins (which they wear), are an antelope-skin, or the skin of a spotted deer, or a goat's skin.
2	10	10	Their girdles are made of Muñga grass, of Kâsa grass, of Tâmbala.
2	10	11	Their staffs are of Parna wood, of Bilva wood, of Asvattha wood.
2	10	12	The garment of a Brâhmana is made of linen, or of hempen cloth, that of a Kshatriya, of cotton, that of a Vaisya, of wool.
2	10	13	Thereby also the other articles have been explained.
2	10	14	Or if (the proper articles prescribed) cannot be got, all (of them may be used) by (persons of) all castes.
2	10	15	To the east of the house on a surface besmeared (with cow-dung) wood has been put on the fire.
2	10	16	Having sacrificed with (the Mantras which the student recites) 'Agni! Lord of the vow' , the teacher stations himself to the westof the fire, on northward-pointed Darbha grass, facing the east.
2	10	17	Between the fire and the teacher the student (stands), raising his joined hands, turning his face towards the teacher, on northward-pointed Darbha grass.
2	10	18	Standing on his south side a Brâhmana versed in the Mantras fills (the student's) joined hands with water,
2	10	19	And afterwards (those) of the teacher.
2	10	20	Looking (at the student the teacher) murmurs (the verse), 'With him who comes to us, we have come together' .
2	10	21	He causes (the student) to say, 'I have come hither to studentship' .
2	10	22	In (the words), 'What is thy name' , he asks after his name.
2	10	23	The teacher chooses for him a name which he is to use at respectful salutations,
2	10	24	(A name) derived from (the name of) a deity or a Nakshatra,
2	10	25	Or also of his Gotra, according to some (teachers).
2	10	26	Having let the water run out of his joinedhands (over the student's hands), the teacher with his right hand seizes (the student's) right hand together with the thumb, with (the formula), 'By the impulse of the god Savitri, with the arms of the two Asvins, with Pûshan's hands I seize thy hand, N.N.!' .
2	10	27	He then makes him turn round from left to right with (the formula), 'Move in the sun's course after him, N.N.!' .
2	10	28	Grasping down with his right hand over his right shoulder he should touch his uncovered navel with (the formula), 'Thou art the knot of all breath' .
2	10	29	Raising himself  the place near the navel with (the formula), 'Ahura' .
2	10	30	Raising himself (still more, he should touch) the place of the heart with (the formula), 'Krisana' .
2	10	31	Having touched from behind with his right hand (the student's) right shoulder with (the formula), 'I give thee in charge to Pragâpati, N.N.!' —
2	10	32	And with his left (hand) the left (shoulder) with (the formula), 'I give thee in charge to the god Savitri, N.N.!' —
2	10	33	He then directs him (to observe the duties of Brahmakarya, by the formula), 'A student art thou, N.N.!' .
2	10	34	'Put on fuel. Eat water. Do the service. Do not sleep in the day-time' .
2	10	35	Having gone in a northerly direction fromthe fire, the teacher sits down to the east, on northward-pointed Darbha grass,
2	10	36	The student to the west, bending his right knee, turning his face towards the teacher, also on northward-pointed Darbha grass.
2	10	37	(The teacher) then ties round (the student) thrice from left to right the girdle made of Muñga grass and causes him to repeat (the verse), 'Protecting us from evil word' , and (the verse), 'The protectress of right' .
2	10	38	Then (the student) respectfully sits down near (the teacher) with (the words), 'Recite, sir! May the reverend one recite the Sâvitrî to me.'
2	10	39	He then recites  to him, Pâda by Pâda, hemistich by hemistich, and the whole verse,
2	10	40	And the Mahâvyâhritis one by one, with the word Om at the end .
2	10	41	And handing over to him the staff, which should be made of (the wood of) a tree, he causes him to repeat (the formula), 'O glorious one, make me glorious' .
2	10	42	Then (the student) goes to beg food,
2	10	43	First of his mother, and of two other women friends, or of as many as there are in the neighbourhood.
2	10	44	He announces the alms (received) to his teacher.
2	10	45	The rest of the day he stands silently.
2	10	46	After sunset he puts a piece of wood on the fire with (the Mantra), 'To Agni I have brought a piece of wood' .
2	10	47	Through a period of three nights he avoids eating pungent or saline food.
2	10	48	At the end of that (period) a mess of boiled rice-grains (is offered) to Savitri.
2	10	49	Then he may do what he likes.
2	10	50	A cow constitutes the sacrificial fee.End of the Second Prapâthaka.
3	1	1	Now (follows) the Godâna ceremony (or cutting of the beard), in the sixteenth year.
3	1	2	The cutting of the hair (and the beard) has been explained by the (description of the) Kûdâkarana .
3	1	3	The student has his hair (and beard) cut himself.
3	1	4	He has all the hair of his body shaven.
3	1	5	The sacrificial fee given by a Brâhmana consists of an ox and a cow,
3	1	6	That given by a Kshatriya, of a pair of horses,
3	1	7	That given by a Vaisya, of a pair of sheep.
3	1	8	Or a cow (is given by persons) of all (castes).
3	1	9	A goat (is given) to the person who catches up the hair.
3	1	10	The Upanayana .(connected with the Godânavrata and the other Vratas) has been declared by the Upanayana .
3	1	11	(The use of) a garment, however, which has not yet been washed, is not required (here),
3	1	12	Nor the adornment.
3	1	13	(One should) not initiate one who does not intend to keep the vow through one year.
3	1	14	Handing over to him (i.e. to the student) a staff, which should be made of (the wood of) a tree, he directs him (to observe the duties connected with his vow, in the following words):
3	1	15	'Obey thy teacher, except in sinful conduct.
3	1	16	'Avoid anger and falsehood,
3	1	17	'Sexual intercourse,
3	1	18	'Sleeping on high (bedsteads),
3	1	19	'Performances of singing, dancing, &c., the use of perfumes and of collyrium,
3	1	20	'Bathing,
3	1	21	'Combing the head, cleansing the teeth, washing the feet,
3	1	22	'Shaving,
3	1	23	'Eating honey and flesh,
3	1	24	'Mounting a chariot yoked with cattle,
3	1	25	'Wearing shoes in the village,
3	1	26	'Svayam-indriya-mokanam.'
3	1	27	Wearing the girdle, going the rounds for alms, carrying a staff, putting fuel (on the fire), touching water, reverentially saluting (the teacher) in the morning: these are his standing duties.
3	1	28	The Godâna-vrata, the Vrâtika-vrata, the Âditya-vrata, the Aupanishada-vrata, the Gyaishthasâmika-vrata (last) one year (each).
3	1	29	Touching water in the evening and in the morning (is prescribed) for these (Vratas).
3	1	30	The Âditya-vrata, however, some do not undergo.
3	1	31	They who undergo it, wear one garment.
3	1	32	They allow nothing to be between (themselves and) the sun, except trees and (the roofs of) houses.
3	1	33	They do not descend into water deeper than knee-deep, except on the injunction of their teacher.
3	2	1	For the Mahânâmnî verses (the Vrata is to be kept) twelve years,
3	2	2	(Or) nine, six, three (years).
3	2	3	These are the various possibilities.
3	2	4	Or also one year, according to some (teachers).
3	2	5	(In this case), however, the observances are enhanced.
3	2	6	(Keeping the Vrata through one year is allowed only) if (the student's) ancestors have learnt the Mahânâmnî verses.
3	2	7	There is also a Brâhmana of the Rauruki (Sâkhâ, in which it is said):
3	2	8	'The mothers forsooth say to their sons, when they suckle them:
3	2	9	'"Become men, my little sons, who endeavour to accomplish the Sakvarî-vrata!"'
3	2	10	During (the Vrata preparatory to the study of) these (i.e. the Mahânâmnî verses), touching water at the time of each Savana (is prescribed).
3	2	11	Let him not eat in the morning before he has touched water.
3	2	12	In the evening, after he has touched water, he should not eat, before he has put the piece of wood on the fire.
3	2	13	He should wear dark clothes.
3	2	14	He should eat dark food.
3	2	15	Let him be devoted to his teacher.
3	2	16	Let him make way for nobody.
3	2	17	He should be addicted to austerities.
3	2	18	He should stand in day-time.
3	2	19	He should sit at night.
3	2	20	And when it is raining, he should not retire to a covered place.
3	2	21	He should say to (the god) when he sends rain, 'The Sakvarîs are water.'
3	2	22	When (the god) sends lightning, he should say to him, 'Such forsooth is the nature of the Sakvarîs.'
3	2	23	When (the god) thunders, he should say to him, 'The great voice of the great (cow)!'
3	2	24	Let him not cross a river without touching water.
3	2	25	Let him not ascend a ship.
3	2	26	If his life is in danger, however, he may ascend (a ship), after having touched water.
3	2	27	In the same way (he should touch water) having disembarked.
3	2	28	For in water the virtue of the Mahânâmnîs is contained.
3	2	29	If he practises these duties, (the god) Parganya will send rain according to his wish.
3	2	30	The rules about dark (clothes), standing, sitting, (making) way, and (dark) food may be considered as optional.
3	2	31	After he has kept his vow through one third (of the prescribed time, the teacher) shouldsing to him the (first) Stotriya verse (of the Mahânâmnîs).
3	2	32	In the same way the two other Stotriya verses (after two-thirds of the time and at the end of the whole time).
3	2	33	Or all (the three verses) at the end of the whole (time).
3	2	34	He should sing them to (the student) who has fasted and shuts his eyes.
3	2	35	Having filled a brass vessel with water, having thrown into it all sorts of herbs, and dipped (the student's) hands into it, the teacher should veil (the student's eyes) from left to right with a (new) garment that has not yet been washed.
3	2	36	Or he should sing (the Mahânâmnîs to him) immediately after he has veiled (his eyes).
3	2	37	With veiled eyes, keeping silence, he should abstain from food through a period of three nights, or through one day and one night.
3	2	38	Or he should stand in the forest till sunset (and spend the night in the village).
3	2	39	On the next morning he should put wood on the fire in the forest, should sacrifice with the Mahâvyâhritis, and should cause the student to look at (the following objects, viz.)
3	2	40	Fire, Âgya, the sun, a Brahman, a bull, food, water, curds,
3	2	41	With (the words), 'The sky have I beheld! Light have I beheld!'
3	2	42	In that way all  three times.
3	2	43	After the ceremony for averting evil has been performed, the student respectfully salutes the teacher.
3	2	44	Thus he has to break the silence (enjoined upon him).
3	2	45	A bull, a brass vessel, a garment, an optional gift (of a cow): this is the sacrificial fee.
3	2	46	The first time he may choose (either a bull or a brass vessel).
3	2	47	Let him provide his teacher with clothes, according to some (teachers).
3	2	48	A mess of cooked food, sacred to Indra, (is prepared). Let him sacrifice of that (food) with this verse, 'To the Rik, to the Sâman we sacrifice' , or (with the verse), 'The lord of the seat, the wonderful' , or with both (verses).
3	2	49	This (he should do) at (all) the Anupravakanîya ceremonies.
3	2	50	The Mantra has to be altered everywhere (so that he has to say), 'I have kept (the vow),' 'I have been able,' 'Thereby I have prospered,' 'I have undergone.'
3	2	51	The fee to be given after the study of the Parvans is, a goat for the Agni-Parvan, a ram for the Indra-Parvan, a cow for the Pavamâna-Parvan.
3	2	52	After (the student) has returned (from the forest), he should entertain his teacher and his retinue with food,
3	2	53	And his fellow-students who have come together.
3	2	54	The way to sing the Gyeshthasâmans has been explained by (the statements given with regard to) the Mahânâmnî-(vrata).
3	2	55	Here the following standing duties are to be observed:
3	2	56	He should not have intercourse with a Sûdrâ woman.
3	2	57	He should not eat bird's flesh.
3	2	58	He should avoid (constantly living on) the same grain, and in the same place, and wearing one garment.
3	2	59	He should perform the rite of 'touching water' with water drawn out (of a pond, &c.).
3	2	60	From (the time of) his being directed (to observe the duties of his Vrata) he should not eat from an earthen vessel,
3	2	61	Nor drink (from such a vessel),
3	2	62	(Or rather) from (the time of) his being taught (the Gyeshthasâmans, after the whole preparatory time, or after one third of that time), according to some (teachers).
3	3	1	On the full-moon day of Praushthapada (or) under (the Nakshatra) Hasta the Upâkarana (or opening ceremony of the annual term of Veda-study, is performed).
3	3	2	After (the teacher) has sacrificed with the Vyâhritis, he recites the Sâvitrî to the students as at the Upanayana;
3	3	3	And (he chants) the Sâvitrî with its Sâman melody,
3	3	4	And (the Bârhaspatya Sâman, with the text), 'Soma, the king, Varuna' .
3	3	5	After they have recited (the first verses) of the Khandas book, from its beginning, they may do what they like.
3	3	6	They eat fried barley-grains with (the verse), 'That which is accompanied by grains and by a karambha (i.e. curds with flour)' .
3	3	7	They partake of curds with (the verse), 'I have praised Dadhikrâvan' .
3	3	8	After they have sipped water, (the teacher) should cause them to repeat the first (?) verses, and to sing the first (?) Sâmans, of the different sections (?).
3	3	9	On the day sacred to Savitri they wait.
3	3	10	And at (the beginning of) the northerlycourse of the sun (they wait) one night with one day before and one day after it,
3	3	11	(Or they interrupt their study for) a period of three nights before and afterwards, according to some (teachers).
3	3	12	And both times water libations are offered to the Âkâryas.
3	3	13	Some perform the Upâkarana on the full-moon day of Srâvana and wait (with studying) the time (from that day) till the day sacred to Savitri .
3	3	14	On the full-moon day of Taisha they leave off (studying the Veda).
3	3	15	They should go out of the village in an easterly or northerly direction, should go to water which reaches higher than to their secret parts, should touch water , and should satiate the metres, the Rishis, and teachers (by libations of water).
3	3	16	After this second Upâkarana, until the (chief) Upâkarana (has been performed) again for the Vedic texts, an interruption of the study (of the Veda takes place), if clouds rise.
3	3	17	If lightning (is observed), or if it thunders, or if it is drizzling, (he shall not study) until the same time next day.
3	3	18	On the falling of a meteor, or after an earthquake, or an eclipse of the sun or of the moon (the study is interrupted until the same time next day),
3	3	19	And if a whirlwind occurs.
3	3	20	Let them not study on the Ashtakâ days, and on the days of the new moon,
3	3	21	And on the days of the full moon—
3	3	22	In the three months Kârttika, Phâlguna, and Âshâdha.
3	3	23	And (the study is interrupted) for one day and one night,
3	3	24	If a fellow-pupil has died,
3	3	25	Or the sovereign of his country;
3	3	26	Three days, if his teacher (has died);
3	3	27	One day and one night, if somebody (has died) who has reverentially approached.
3	3	28	If singing, or the sound of a musical instrument, or weeping is heard, or if it is storming, (thestudy of the Veda is discontinued) as long as that (reason of the interruption) lasts.
3	3	29	As regards other (cases in which the reading of the Veda should ne discontinued), the practice of the Sishtas (should be followed).
3	3	30	In the case of a prodigy an expiation (has to be performed) by the householder (or) by his wife.
3	3	31	If a spar of the roof or the middle (post of the house) breaks, or if the water-barrel bursts, let him sacrifice (Âgya oblations) with the Vyâhritis.
3	3	32	If he has seen bad dreams, let him murmur this verse, 'To-day, O god Savitri' .
3	3	33	Now (follows) another (expiation).
3	3	34	If he has touched a piled-up (fire-altar) or a sacrificial post, or if he has humming in his ears, or if his eye palpitates, or if the sun rises or sets while he is sleeping, or if his organs of sense have been defiled by something bad, let him sacrifice two Âgya oblations with the two verses, 'May my strength return to me' .
3	3	35	Or (let him sacrifice) two pieces of wood anointed with Âgya.
3	3	36	Or let him murmur (those two verses) at light offences.
3	5	1	From that time he shall assume a dignified demeanour: this is in short the rule (for his behaviour).
3	5	2	Here the teachers enumerate the following (regulations).
3	5	3	Nâgâtalomnyopahâsam ikkhet.
3	5	4	Nor (should he wish for sport) with a girl who is the only child of her mother,
3	5	5	Nor with a woman during her courses,
3	5	6	Nor with one who descends from the same Rishis.
3	5	7	Let him not eat food which has been brought by another door (than the usual),
3	5	8	Or which has been cooked twice,
3	5	9	Or which has stood over night—
3	5	10	Except such as is prepared of vegetables, flesh, barley, or flour.
3	5	11	Let him not run while it is raining.
3	5	12	Let him not take himself his shoes in his hands (when putting them on or pulling them off).
3	5	13	Let him not look into a well.
3	5	14	Let him not gather fruits himself.
3	5	15	He should not wear a scentless wreath,
3	5	16	If it is not a wreath of gold.
3	5	17	(He should not wear a wreath) of which the expression mâlâ (garland) has been used.
3	5	18	He should cause the people to call it srag (wreath). (Then he may wear it.)
3	5	19	He should avoid using the word bhadra ('blessed') without a reason.
3	5	20	He should say (instead of it), mandra ('lovely').
3	5	21	There are three (kinds of) Snâtakas:
3	5	22	A Vidyâsnâtaka (or a Snâtaka by knowledge), a Vratasnâtaka (or a Snâtaka by the completion of his vow), and a Vidyâvratasnâtaka (i.e. Snâtaka by both).
3	5	23	Of these the last ranks foremost; the two others are equal (to each other).
3	5	24	(A Snâtaka) should not put on a wet garment.
3	5	25	He should not wear one garment.
3	5	26	He should not praise any person (excessively).
3	5	27	He should not speak of what he has not seen, as if he had seen it,
3	5	28	Nor of what he has not heard, as if he had heard it.
3	5	29	He should give up everything that forms an impediment for his Veda-recitation.
3	5	30	He should endeavour to keep himself (pure from every defilement) like a pot of oil.
3	5	31	He should not climb a tree.
3	5	32	He should not go toward evening to another village,
3	5	33	Nor alone,
3	5	34	Nor together with Vrishalas (or Sûdras).
3	5	35	He should not enter the village by a by-path.
3	5	36	And he should not walk without a companion.
3	5	37	These are the. observances for those who have performed the Samâvartana,
3	5	38	And what (besides) is prescribed by Sishtas.
3	6	1	When his cows are driven out, he should repeat (the verse), 'May (Bhava), the all-valiant one, (and Indra protect) these (cows) for me' .
3	6	2	When they have come back, (he should repeat the verse), 'These which are rich in sweet' .
3	6	3	If he is desirous of thriving (in his cattle), he should lick with his tongue the forehead of the firstborn calf, before it is licked by its mother, and should gulp with (the formula), 'Thou art the phlegm of the cows' .
3	6	4	If he is desirous of thriving (in his cattle), he should, when the cows have calved, at night put wood on the fire in the cow-stable and should sacrifice churned curds with drops of ghee, with (the verse), 'Seizer, seize' .
