Adhyaya_no	Khanda_no	Text_no	Hymn
1	25	8	Having pronounced aloud (the child's) name,
1	25	9	And caused the Brâhmanas to say auspicious words,
1	25	10	And having sacrificed in the same way every month to the Tithi of (the child's) birth,
1	25	11	. He sacrifices, when one year has expired, on the (ordinary) domestic fire.
1	26	1	. To Agni, to the Krittikâs.
1	26	2	To Pragâpati, to Rohinî.
1	26	3	To Soma, to Mrigasiras.
1	26	4	To Rudra, to the Ârdrâs.
1	26	5	To Aditi, to the two Punarvasus.
1	26	6	To Brihaspati, to Pushya.
1	26	7	To the Serpents, to the Asleshâs.
1	26	8	To the Manes, to the Maghâs.
1	26	9	To Bhaga, to the two Phalgunîs.
1	26	10	To Aryaman, to the two Phalgunîs.
1	26	11	To Savitar, to Hasta.
1	26	12	To Tvashtar, to Kitrâ.
1	26	13	To Vâyu, to Svâti.
1	26	14	To Indra and Agni, to the two Visâkhâs.
1	26	15	To Mitra, to Anurâdhâ.
1	26	16	To Indra, to Gyeshtha.
1	26	17	To Nirriti, to Mûla.
1	26	18	To the Waters, to the Ashâdhâs.
1	26	19	To the Visve devâs, to the Ashâdhâs.
1	26	20	To Brahman, to Abhigit.
1	26	21	To Vishnu, to Sravana.
1	26	22	To the Vasus, to the Dhanishthâs.
1	26	23	To Varuna, to Satabhishag.
1	26	24	To Aga ekapad, to the Proshthapadâs.
1	26	25	To Ahi budhnya, to the Proshthapadâs.
1	26	26	To Pûshan, to Revatî.
1	26	27	To the two Asvins, to the two Asvinîs.
1	26	28	To Yama, to the Bharanîs.
1	27	1	In the sixth month the Annaprâsana (i.e. the first feeding with solid food).
1	27	2	. Goat's flesh, if he is desirous of nourishment,
1	27	3	. Flesh of partridge, if desirous of holy lustre,
1	27	4	Fish, if desirous of swiftness,
1	27	5	Boiled rice with ghee, if desirous of splendour—
1	27	6	(Such) food, prepared with milk curds, honey, and ghee, he should give (to the child) to eat.
1	27	7	. After he has made oblations with (the verses), 'Lord of food, give us food, painless and strong; bring forward the giver; bestow power on us, on men and animals;' 'Whatsoever' ; 'Even of great' , 'Him, Agni, (lead) to long life and splendour; sharp strength (mayst thou), Varuna, king Soma, protection may Aditi, like amother, afford to him, and all the gods that he may reach old age'—
1	27	8	And has recited over (the child) the verse, 'Powers of life, Agni' ,
1	27	9	And has set him down on northward pointed Kusa grass with (the verse), 'Be soft, O earth' —
1	27	10	The act of feeding is performed with the Mahâvyâhritis.
1	27	11	Let the mother eat the remnant.
1	28	1	. After one year the Kûdâkarman (i.e. the tonsure of the child's head);
1	28	2	Or in the third year;
1	28	3	In the fifth for a Kshatriya;
1	28	4	In the seventh for a Vaisya.
1	28	5	Having placed the fire —
1	28	6	And having filled vessels with rice and barley, sesamum seeds and beans,
1	28	7	And having put down northwards bull-dung and a layer of Kusa grass for receiving the hair, a mirror, fresh butter, and a razor of copper,
1	28	8	He pours cold water into warm with (the verse), 'Mix yourselves, ye holy ones, with your waves, ye honied ones, mixing milk with honey, ye lovely ones, for the obtaining of wealth.'
1	28	9	'May the waters moisten thee for life, for old age and splendour. The threefold age of Gamadagni, Kasyapa's threefold age, the threefold age of[paragraph continues] Agastya, the threefold age that belongs to the gods, that threefold age I produce for thee! N.N.!'—with these words he sprinkles the right part of his hair three times with lukewarm water.
1	28	10	Having loosened the tangled locks, according to some (teachers), with a porcupine's quill,
1	28	11	And having anointed (his hair)with fresh butter,
1	28	12	He puts a young Kusa shoot among (the hairs) with the words, 'Herb, protect him!'
1	28	13	Having touched the hair and the Kusa shoot with the mirror,
1	28	14	He takes up the copper razor with the words, Sharpness art thou; the axe is thy father. Do no harm to him!'
1	28	15	. With (the words), 'The razor with which in the beginning Savitar, the knowing one, has shaven the beard of king Varuna, and with which Dhâtar Brihaspati has shaven Indra's head, with that, ye Brâhmanas, shave this (head) to-day; blessed with long life, with old age be this man N.N.!' he cuts the tips of the hairs and the Kusa shoot.
1	28	16	In the same way a second time; in the same way a third time.
1	28	17	In the same way twice on the left side.
1	28	18	Under the armpits a sixth and a seventh time at the Godânakarman (ceremony of shaving the beard).
1	28	19	The Godânakarman is identical with the Kûdâkarman,
1	28	20	(It is to be performed) in the sixteenth or in the eighteenth year.
1	28	21	At the third turn of shaving, however, he gives a cow and a garment that has not yet been washed.
1	28	22	Silently the rites (are performed) for girls.
1	28	23	To the north-east, in a place covered with herbs, or in the neighbourhood of water they bury the hairs in the earth.
1	28	24	. To the barber the vessels of grain. To the barber the vessels of grain.
2	1	1	. In the eighth year after the conception let him initiate a Brâhmana,
2	1	2	With an antelope-skin,
2	1	3	Or in the tenth year after the conception.
2	1	4	In the eleventh year after the conception a Kshatriya with the skin of a spotted deer,
2	1	5	In the twelfth year after the conception a Vaisya with a cow-hide.
2	1	6	Until the sixteenth year the time has not passed for a Brâhmana,
2	1	7	Until the twenty-second for a Kshatriya,
2	1	8	Until the twenty-fourth for a Vaisya.
2	1	9	. After that (time has passed), they become patitasâvitrîka (men who have lost their right of learning the Sâvitrî).
2	1	10	Let them not initiate such men,
2	1	11	Nor teach them,
2	1	12	Nor perform sacrifices for them,
2	1	13	Nor have intercourse with them.
2	1	14	. Or (let them initiate students of) all (castes) wearing a (new) garment that has not yet been washed.And wearing a girdle.
2	1	15	The girdle of a Brâhmana (shall be) made of Muñga grass,
2	1	16	That of a Kshatriya (shall be) a bowstring,
2	1	17	That of a Vaisya a woollen thread.
2	1	18	The staff of a Brâhmana (shall be) made of Palâsa or of Bilva wood,
2	1	19	That of a Kshatriya of Nyagrodha wood,
2	1	20	That of a Vaisya of Udumbara wood.
2	1	21	. That of the Brâhmana shall reach the tip of the nose,
2	1	22	That of the Kshatriya the forehead,
2	1	23	That of the Vaisya the hair.
2	1	24	Or all (sorts of staffs are to be used) by (men of) all (castes).
2	1	25	Whatsoever (the student) wears at his initiation, is at the disposal of the teacher.
2	1	26	. Having had him shaved all round (his head) he should initiate him.
2	1	27	After (the student) has washed and adorned himself,
2	1	28	. (And) after (the teacher) has sacrificed, both station themselves behind the fire, the teacher with his face turned to the east, the other with his face to the west.
2	1	29	Let him initiate him standing while (the other also) stands.
2	1	30	. ['The firm, powerful eye of Mitra, glorious splendour, strong and prosperous, a chaste, flowing vesture, this skin I put on, a valiant (man).']
2	2	1	'Here has come to us, protecting (us) from evil words, purifying our kin as a purifier, clothing herself, by (the power of) inhalation and exhalation, with strength, this friendly goddess, this blessed girdle'—with these words, three times repeated, he ties the girdle from left to right thrice round.
2	2	2	. (There should be) one knot, or also three, or also five.
2	2	3	. He adjusts the sacrificial cord with (the words), 'The sacrificial cord art thou. With the cord of the sacrifice I invest thee.'
2	2	4	. He fills the two hollows of (his own and the student's) joined hands (with water), and then says to him: 'What is thy name?'
2	2	5	'I am N.N., sir,' says the other.
2	2	6	. 'Descending from the same Rishis?' says the teacher.
2	2	7	'Descending from the same Rishis, sir,' says the other.
2	2	8	'Declare (that thou art) a student, sir.'
2	2	9	'I am a student, sir,' says the other.
2	2	10	With the words, 'Bhûr bhuvah svah' (the teacher) sprinkles thrice with his joined hands (water) on the joined hands (of the student),
2	2	11	. And seizing (the student's) hands with (his own) hands, holding the right uppermost, he murmurs,
2	2	12	'By the impulse of the god Savitar, with the arms of the two Asvins, with Pûshan's hands I initiate thee, N.N.'
2	2	13	Those who are desirous of a host (of adherents, he should initiate) with (the verse), 'Thee, (the lord) of hosts' .
2	2	14	Warriors with (the verse), 'Come here, do not come to harm' .
2	2	15	Sick persons with the Mahâvyâhritis.
2	3	1	. 'Bhaga has seized thy hand, Savitar has seized thy hand, Pûshan has seized thy hand, Aryaman has seized thy hand. Mitra art thou by right, Agni is thy teacher, and I, N.N., both of us. Agni, I give this student in charge to thee. Indra, I give this student in charge to thee. Sun, I give this student in charge to thee. Visve devâs, I give this student in charge to you, for the sake of long life, of blessed offspring and strength, of increase of wealth, of mastership of all Vedas, of renown, of bliss.'
2	3	2	. 'In Indra's course I move; in the sun's course I move after him'—with these words he turns round from left to right,
2	3	3	And grasping down with the span of his right hand over (the student's) right shoulder he touches the place of his heart with the words, 'May I be dear to thy inviolate heart.'
2	3	4	Having silently turned round from right to left,
2	3	5	. And then laying his hand with the fingers upwards on his (i.e. the student's) heart, he murmurs:
2	4	1	. 'Under my will I take thy heart; my mind shall thy mind follow; in my word thou shalt rejoice with all thy heart; may Brihaspati join thee to me.'
2	4	2	. 'Thou art the Brahmakârin of Kâma, N.N.!'
2	4	3	. With the same text  he turns round as before,
2	4	4	And touching with the span of his right hand (the student's) right shoulder, he murmurs:
2	4	5	. 'A student art thou. Put on fuel. Eat water. Do the service. Do not sleep in the day-time. Keep silence till the putting on of fuel.'
2	4	6	With (the words), 'Thine, Agni, is this piece of wood,' he puts the fuel on (the fire), or silently.
2	5	1	. After one year (the teacher) recites the Sâvitrî (to the student),
2	5	2	(Or) after three nights,
2	5	3	Or immediately.
2	5	4	. Let him recite a Gâyatrî to a Brâhmana,
2	5	5	A Trishtubh to a Kshatriya,
2	5	6	A Gagatî to a Vaisya.
2	5	7	But let it be anyhow a verse sacred to Savitar.
2	5	8	They seat themselves to the north of the fire,
2	5	9	. The teacher with his face turned eastward, the other westward.
2	5	10	. After (the student) has said, 'Recite, sir!'—
2	5	11	The teacher, having pronounced the word OM, then causes the other one to say, 'Recite the Sâvitrî, sir!'
2	5	12	He then recites the Sâvitrî to him, the verse 'That glorious (splendour) of Savitar' ; (firstly) pâda by pâda, (then) hemistich by hemistich, (and finally) without a stop.
2	6	1	. 'Waters are ye by name; happy ones are ye by name; sappy ones are ye by name; undecaying ones are ye by name; fearless ones are ye by name; immortal ones are ye by name. Of you, being such, may I partake; receive me into your favour'—with these words (the teacher) makes the student sip water three times,
2	6	2	. And hands over to him the staff with the fiveverses, 'Blessing may give us' .
2	6	3	. An optional gift is the fee for the sacrifice.
2	6	4	. After (the teacher) has led him round the fire, turning his right side towards it, (the student) goes through the village to beg food.
2	6	5	(Let him beg,) however, of his mother first,
2	6	6	Or of a woman who will not refuse.
2	6	7	. Having announced the alms to his teacher, he may eat (the food himself) with the master's permission.
2	6	8	The daily putting on of fuel, the going for alms, the sleeping on the ground, and obedience to the teacher: these are the standing duties of a student.
2	7	1	. Now (follows the exposition) of the study of the Veda.
2	7	2	. Both sit down to the north of the fire,
2	7	3	The teacher with his face to the east, the other one to the west.
2	7	4	. After (the student) has reverentially saluted the teacher's feet and has sprinkled his (own) hands (with water),
2	7	5	And has kneeled down with his right knee on young Kusa shoots at their roots,
2	7	6	. And has grasped round (those Kusa shoots) in 'heir middle with his hands, holding the right uppermost,
2	7	7	The teacher, having seized them at their topswith his left hand, and with his right hand sprinkling them with water, then makes the other say:
2	7	8	. 'Recite the Sâvitrî, sir!' says the other.
2	7	9	'I recite the Sâvitrî to thee!' says the teacher.
2	7	10	. 'Recite the Gâyatrî, sir!' says the other.'I recite the Gâyatrî to thee!' says the teacher.
2	7	11	'Recite the verse of Visvâmitra, sir!' says the other.'I recite the verse of Visvâmitra to thee!' says the teacher.
2	7	12	'Recite the Rishis, sir!' says the other.I recite the Rishis to thee!' says the teacher.
2	7	13	'Recite the deities, sir!' says the other.'I recite the deities to thee!' says the teacher.
2	7	14	'Recite the metres, sir!' says the other.'I recite the metres to thee!' says the teacher.
2	7	15	'Recite the Sruti, sir!' says the other.'I recite the Sruti to thee!' says the teacher.
2	7	16	'Recite the Smriti, sir!' says the other.'I recite the Smriti to thee!' says the teacher.
2	7	17	. 'Recite faith and insight, sir!' says the other.'I recite faith and insight to thee!' says the teacher.
2	7	18	. In that way, according to what Rishi each hymn belongs to and what its deity and its metre is, thus (with the corresponding indications of Rishi, &c.) let him recite each hymn;
2	7	19	. Or also, if he does not know the Rishis, deities, and metres, the teacher recites this verse, 'That glorious (splendour) of Savitar' , pâda by pâda, hemistich by hemistich, (and finally) without a stop, and says, when he has finished, 'This (verse belongs to Savitar; it is a Gâyatrî; Visvâmitra is its Rishi).'
2	7	20	Let him thus recite (the hymns belonging to) each Rishi, or (each) Anuvâka;
2	7	21	. Of the short hymns (in the tenth Mandala) an Anuvâka,
2	7	22	Or as much as the master may think fit.
2	7	23	Or optionally he may recite the first and last hymn of (each) Rishi,
2	7	24	. Or of (each) Anuvâka,
2	7	25	(Or) one (verse) of the beginning of each hymn.
2	7	26	The teacher may optionally say at the beginning of the hymn, 'This is the commencement.'
2	7	27	. This has been (further) explained in (the treatise about) the Rishisvâdhyâya.
2	7	28	. When (the lesson) is finished, he takes the young Kusa shoots, makes of cow-dung a pit at their roots, and sprinkles water on the Kusa (shoots) for each hymn.
2	7	29	. For the rest of the day standing and fasting.
2	8	1	. In the afternoon, having obtained by begging fried barley grains, he shall sacrifice them with his hand on the fire according to the rites of the Âgya oblations with the text, 'The lord of the seat, thewonderful' , verse by verse, down to the end of the hymn,
2	8	2	. Causing the teacher by (the gift of) food to pronounce auspicious wishes.
2	9	1	. In the forest, with a piece of wood in his hand, seated, he performs the Sandhyâ (or twilight devotion) constantly, observing silence, turning his face north-west, to the region between the chief (west) point and the intermediate (north-western) point (of the horizon), until the stars appear,
2	9	2	. Murmuring, when (the twilight) has passed, the Mahâvyâhritis, the Sâvitrî, and the auspicious hymns.
2	9	3	In the same way in the morning, turning his face to the east, standing, until the disk of the sun appears. . When (the sun) has risen, the study (of the Veda) goes on.
2	10	2	Every day in the evening and in the morning,
2	10	3	He establishes the fire (in its proper place), wipes (with his hand the ground) round (it), sprinkles (water) round (it), bends his right knee,
2	10	4	. (And puts fuel on the fire with the texts,) 'To Agni I have brought a piece of wood, to the great Gâtavedas; may he, Gâtavedas, give faith and insight to me. Svâhâ!'Firewood art thou; may we prosper. Fuel art thou; splendour art thou; put splendour into me. Svâhâ!'Being inflamed make me prosperous in offspring and wealth. Svâhâ!Thine is this fuel, Agni; thereby thou shalt grow and gain vigour. And may we grow and gain vigour. Svâhâ!'
2	10	5	Having then sprinkled (water) round (the fire),
2	10	6	He approaches the fire with the verse, 'May Agni (vouchsafe) to me faith and insight, not-forgetting (what I have learned) and memory; may this praiseful Gâtavedas give blessing to us.'[
2	10	7	. He makes with ashes the tripundhra sign (the sign of three strokes) which is set forth in the (treatise on the) Sauparnavrata, which is revealed, which agrees with the tradition handed down by the ancients, with the five formulas 'The threefold age' , one by one, on five (places), viz. the forehead, the heart, the right shoulder and the left, and then on the back.]
2	10	8	He who approaches the fire after having sacrificed thus, studies of these Vedas, one, two, three, or all.
2	11	1	. Now (follows) the directing to the (special) observances.
2	11	2	. The rules for it have been explained by the initiation.
2	11	3	He does not recite the Sâvitrî.
2	11	4	. Some say that the handing over of the staff forms the end (of this ceremony).
2	11	5	During the northern course of the sun, in the time of the increasing moon—
2	11	6	. The teacher having abstained through one day and one night, from sexual intercourse and from eating flesh—
2	11	7	. With the exclusion of the fourteenth day and of the eighth (of the half-month),
2	11	8	And of the first and last, according to some (teachers),
2	11	9	. Or on what day else the constellation seems lucky to him, on that day he shall direct (the student) to the duties of holiness according to the Sukriya rite.
2	11	10	. Let him observe (those) duties through three days, or twelve days, or one year, or as long as the master may think fit.
2	11	11	The Sâkvara (observance), however, (is to be kept) one year.
2	11	12	(So also) the Vrâtika and Aupanishada (observances).
2	11	13	. When the time has elapsed, when the dutieshave been observed, when the Veda has been studied down to the Samyu-Bârhaspatya-(hymn), let (the teacher then), should he intend to instruct (the student) in the secret (part of the Veda), ascertain the time (through which the student has to observe the special rites) and the rules to be observed, from the (special) directions (that are handed down on this subject).
2	12	1	. After (the student) has eaten something in the morning, in the afternoon, to the north-east—
2	12	2	Having sacrificed, the teacher then asks him with regard to those deities to whom he has been given in charge , 'Hast thou fulfilled the duties of holiness before Agni, Indra, the Sun, and the Visve devâs?'
2	12	3	If he answers, 'I have fulfilled them, sir!'—
2	12	4	The teacher three times envelops, from the left to the right, with a fresh garment the face (of the student) who is standing behind the fire, in front of the teacher, with his face to the east.
2	12	5	. He turns the skirt (of that garment) upwards so that it cannot slip down,
2	12	6	. (And says) 'Leaving off for three days the putting on of fuel, the going for alms, the sleeping on the ground, and the obedience to the teacher, fast in the forest, in a god's house or in a place where Agnihotra is performed, keeping silence, with earnest care.'
2	12	7	Here some (teachers) prescribe the same observances only for one night, during which he is to stand.
2	12	8	. The teacher refrains from eating flesh and from sexual intercourse.
2	12	9	When those three days or that night has elapsed, going out from the village he shall avoid to look at the following (persons or things) that form impediments for the study (of the Veda):
2	12	10	. Raw flesh, a Kandâla, a woman that has lately been confined, or that has her courses, blood, persons whose hands have been cut off, cemeteries, and all sorts of corpse-like (animals?) which enter (their dens?) with the mouth first (?), keeping them away from the place where he dwells.
2	12	11	Going out (from the village) in a north-eastern direction the teacher sits down on a clean spot. turning his face to the east.
2	12	12	. When the sun has risen, he recites, in the way prescribed for the Veda-study, (the Âranyaka texts to the student) who is to keep silence and who wears a turban.
2	12	13	. This rule is to be observed only for the Mahânâmnî verses.
2	12	14	At the sections however that follow (after the Mahânâmnîs) the other one hears while the teacher recites them for himself.
2	12	15	He gives (to the teacher) the turban, a vessel, a good cow.
2	12	16	(The teacher accepts the gifts) with the verses,[paragraph continues] 'Thou him' , and, 'High in the sky' , or (he accepts them) all with the Pranava (i.e. the syllable Om).
2	12	17	Here some prepare a mess of rice for the Visve devâs at all sections (of the Âranyaka);
2	12	18	. For the gods to whom he has been given in charge, according to Mândûkeya.
2	13	1	Now (follow) the rules regarding the staff.
2	13	2	Let him not leave a passage between himself and the staff.
2	13	3	. Now should any one of these things, viz. staff, girdle, or sacrificial cord, break or rend, the same penance (takes place) therefore which (has been prescribed) at the wedding with regard to the chariot.
2	13	4	If the girdle cannot be repaired, he makes another and speaks over it (the following verses):
2	13	5	'Thou who knowest the distinction of pure and impure, divine protectress Sarasvatî, O girdle, prolong my vow unimpaired, unbroken.'Thou, Agni, art the pure bearer of vows. Agni, carry hither the gods to our sacrifice and our oblation.'Bearing the vows, the infallible protector of vows, be our messenger, undecaying and mighty. Giving treasures, merciful, Agni, protect us, that we may live, Gâtavedas!
2	13	6	And he ties the sacrificial cord to the staff.
2	13	7	Here it is said also:
2	13	8	. 'Let him sacrifice the sacrificial cord and the staff, the girdle and also the skin in water after the completion of his vow with a Varuna-verse or with the essence (of the Vedas, i.e. the syllable Om).
2	14	1	. Now (follows) the Vaisvadeva (sacrifice).
2	14	2	. The rite of the sacrifice has been explained.
2	14	3	Let him pour oblations of prepared Vaisvadeva food in the evening and in the morning into the (sacred) domestic fire.
2	14	4	'To Agni svâhâ! To Soma svâhâ! To Indra and Agni svâhâ! To Vishnu svâhâ! To Bharadvâga Dhanvantari svâhâ! To the Visve devâs svâhâ! To Pragâpati svâhâ! To Aditi svâhâ! To Anumati svâhâ! To Agni Svishtakritsvâhâ!'—having thus offered the oblations belonging to those deities,
2	14	5	He then shall offer Balis (i.e. portions of food) in the centre of the floor to the same deities; (then another Bali with the words,) 'Adoration to Brahman and to the Brâhmanas!' and (with the verse), 'Vâstoshpati, accept us'  in the centre of the floor to Vâstoshpati.
2	14	6	. He then distributes Balis, from the left to the right, through the different quarters (of the horizon, to the presiding deities) in due order (with the words),
2	14	7	'Adoration to Indra and to those belonging to Indra! Adoration to Yama and to those belonging to Yama! Adoration to Varuna and to those belonging to Varuna! Adoration to Soma and to those belonging to Soma! Adoration to Brihaspati and to those belonging to Brihaspati!'
2	14	8	. Then (turned) towards the disk of the sun, 'Adoration to Aditi and to the Âdityas! Adoration
2	14	5	'He shall offer a Bali to those deities, i.e. to those ten deities to whom he has sacrificed, to Agni, &c. , addressing them with the word, "Adoration (to such and such a deity")—because in the other cases the word "adoration" (namah) has been prescribed for the Bali.' Nârâyana.to the Nakshatras, to seasons, to months, to half-months, to days and nights, to years!'
2	14	9	'To Pûshan, the path-maker; to Dhâtar, to Vidhâtar, and to the Maruts'—(thus) on the thresholds.
2	14	10	To Vishnu on the grindstone.
2	14	11	'To the tree'—(thus) in the mortar.
2	14	12	'To the herbs'—(thus) where the herbs are kept.
2	14	13	'To Parganya, to the waters'—(thus) near the water-pot.
2	14	14	'Adoration to Srî'—(thus) in the bed at the head, 'to Bhadrakâlî at the foot.
2	14	15	In the privy, 'Adoration to Sarvânnabhûti!'
2	14	16	Then (he throws a Bali) into the air, in the evening with the words, 'To the night-walkers,' in the morning with the words, 'To the day-walkers,' and with the Verse,' Which gods' .
2	14	17	To the unknown deities to the north, and to Dhanapati (i.e. the Lord of treasures).I
2	14	8	With the sacrificial cord suspended over the right shoulder he pours out the remnant to the south with the verse, 'They whom the fire has burnt' .
2	14	19	When he has made his offerings to gods, fathers (i.e. Manes), and men, let him give food to a Srotriya (i.e. to a learned Brâhmana).
2	14	20	Or let him give alms (of food) to a student.
2	14	21	. Let him immediately afterwards offer food to a female under his protection, to a pregnant woman, to boys, and to old people.
2	14	22	. Let him throw (some food) on the ground for the dogs, for the dog-butchers, and for the birds.
2	14	23	. Let him eat nothing without having cut off (and offered as a Bali) a portion thereof.
2	14	24	(Let him) not (eat) alone,
2	14	25	Nor before (the others).
2	14	26	With regard thereto it has been said also in the Rik,' In vain the fool gains food' .
2	15	1	. Should any one of the six persons  to whom the Arghya reception is due, visit (him), let him make (ready) a cow, a goat, or what (sort of food) he thinks most like (thereto).
2	15	2	. Let the Argha not be without flesh.
2	15	3	On the occasion of a sacrifice and of a wedding let (the guest) say, 'Make it (ready).'
2	15	4	The animal (offered) to the teacher is sacred to Agni;
2	15	5	If offered to an officiating priest, to Brihaspati;
2	15	6	. If to the father-in-law, to Pragâpati;
2	15	7	If to a king, to Indra;
2	15	8	. If to a friend, to Mitra;
2	15	9	If to a Snâtaka, to Indra and Agni;
2	15	10	Even if he performs more than one Soma sacrifice during a year, let only priests who have received (from him) the Arghya reception officiate for him, not such who have not received it.
2	15	11	. Here it is said also:
2	16	1	'At the Madhuparka and at the Soma sacrifice, at the sacred rites for fathers (Manes) and gods only animals may be killed, not elsewhere: thus has Manu said.
2	16	2	'Both his teacher and his father, and also a friend who does not stay in his house as a guest: whatever these dispose, that let him do; such is the established custom.
2	16	3	. 'Let him not consider as a guest a person living in the same village, or one that comes in returning from a journey; (but let him consider as a guest only) one who has arrived at his house where the wife or the fires (of the host) are.
2	16	4	. '(The fire of) the Agnihotra, bulls, and a guest that has come in at the right time, children and persons of noble families: these burn up him who neglects them.
2	16	5	'A bull, the Agnihotra, and a student, these three prosper only if they eat; there is no prosperity for them, if they do not eat.
2	16	6	'Day by day the domestic deities approach the man who performs the domestic rites, in order to receive their share; (that) let him pour out to them.
2	17	1	'Even if a man constantly gather grass and perform the Agnihotra, a Brâhmana who stays (in hishouse) without receiving honour takes away all his good works.
2	17	2	'One should give (even) if it were only a water-pot; one should sacrifice (even) if it were a piece of wood; (even) down to one hymn or to one Anuvâka the Brahmayagña is enjoined.
2	17	3	'When on a journey let him not fast; (during that time) the wife keeps the vow. Let his son, his brother, or his wife, or his pupil offer the Bali oblation.
2	17	4	'Those who perform this Vaisvadeva sacrifice in the evening and in the morning, they will prosper in wealth and (long) life, in fame and offspring.'
2	18	1	A student who is going to set out on a journey, speaks thus to his teacher:
2	18	2	. 'Of inhalation and exhalation'—(this he says) in a low voice; 'Om, I will dwell'—this aloud.
2	18	3	(The teacher) in a low voice (replies), 'To inhalation and exhalation I, the wide-extended one, resort with thee. To the protecting god I give thee in charge. God Savitar; this student belongs to thee; I give him in charge to thee; protect him; do not forsake him.'
2	18	4	'Om, hail!' the teacher aloud. 'Hail!' the teacher aloud.Here ends the Second Adhyâya.
3	1	1	A bath (shall be taken by the student) when he is going to return home (from his teacher).
3	1	2	. 'A bull's hide'—this has been declared. On that hide he makes him sit down and have his hair and beard cut and the hair of the body and the nails.
3	1	3	Having had (the cut-off hair-ends, &c.) thrown away together with rice and barley, with sesamum-seed and mustard-seed, with Apâmârga and Sadâpushpî flowers,
3	1	4	. Having sprinkled him (with water) with the Âpohishthîyâ-hymn ,
3	1	5	Having adorned him,
3	1	6	Having dressed him with two garments with (the verse), 'The garments both of you' ,
3	1	7	He then puts on him a golden ornament (with the words), 'Giving life and vigour' .
3	1	8	With (the verse), 'Mine, Agni, be vigour' , the veiling (of the head is done).
3	1	9	With (the verse), 'House by house the shining one'  (he takes) the parasol,
3	1	10	With (the verse), 'Rise up' , the shoes,
3	1	11	With (the verse), 'Long be thy hook'  he takes a bamboo staff.
3	1	12	. Let him sit that day in solitude.
3	1	13	With (the verses), 'O tree! with strong limbs,' and, 'A ruler indeed'  let him mount the chariot.
3	1	14	(Before returning home) let him first approach a place where they will perform Argha for him with a cow or a goat.
3	1	15	Or let him return (making his start) from cows or from a fruit-bearing tree.
3	1	16	With (the verses), 'Indra, give us best goods,' and, 'Be friendly, O earth'  he descends (from the chariot).
3	1	17	Let him eat that day his favourite food.
3	1	18	. To his teacher he shall give (that) pair of garments, the turban, ear-rings and jewel, staff and shoes, and the parasol.
3	2	1	. If he wishes to have a house built, he draws with an Udumbara branch three times a line round (the building-ground) with (the words), 'Here I include the dwellings for the sake of food,' and sacrifices in (its) centre on an elevated spot,
3	2	2	(With the texts,) 'Who art thou? Whose artthou? To whom do I sacrifice thee, desirous of (dwelling in the) village? Svâhâ!'Thou art the gods' share on this (earth). From here have sprung the fathers who have passed away. The ruler has sacrificed, desirous of (dwelling in the) village, not omitting anything that belongs to the gods. Svâhâ!'
3	2	3	Having had the pits for the posts dug,
3	2	4	He pours water-gruel into them,
3	2	5	And with (the verse), 'This branch of the immortal one I erect, a stream of honey, promoting wealth. The child, the young one, cries to it; the cow shall low to it, the unceasingly fertile one'—he puts an Udumbara branch which has been besmeared with ghee into the pit for the right door-post.
3	2	6	'This branch of the world I establish, a stream of honey, promoting wealth. The child, the young one, cries to it; the cow shall low to it that has a young calf'—thus to the left.
3	2	7	In the same way at the two (pits) to the south, to the west, and to the north.
3	2	8	With (the verse), 'This branch of this tree, that drops ghee, I erect in the immortal. The child, the young one, cries to it; cows shall flock to it, unceasingly fertile ones'—he erects the chief post.
3	2	9	. 'May the young child come to it, may the calf . . . .; may they come to it with a cup of Parisrut, with pots of curds.
3	3	1	. 'Stand here, O post, firm, rich in horses and cows, . . . .; stand safely, dropping ghee; stand here, fixed in the ground, prosperous, long-lasting(?), amid the prosperity of people who satiate themselves. May the malevolent ones not reach thee!'Hither are called the cows; hither are called goats and sheep; and the sweet essence (?) of food is called hither to our house.'Stand fast in the Rathantara; recline on the Vâmadevya; establish thyself on the Brihat'—with (these texts) he touches the chief post.
3	3	2	When the house has been built conformably (to its proper dimensions), he touches the posts.
3	3	3	The two (posts) to the east with (the words), 'Truth and faith!'
3	3	4	Those to the south with (the words), 'Sacrifice and gift!'
3	3	5	Those to the west with (the words), 'Strength and power!'
3	3	6	Those to the north with (the words), 'The Brahman and the Kshatra!
3	3	7	. 'Fortune the pinnacle, law the chief post!
3	3	8	'Day and night the two door jambs!'
3	3	9	'The year the roof!'
3	3	10	With (the verse), 'A bull, an ocean' ' let him bury an anointed stone under the pinnacle.
3	4	1	. At the sacrifice to Vâstoshpati—
3	4	2	. Having established the (sacred) domestic fire outside with (the words), 'I place (here) Agni with genial mind; may he be the assembler of goods. Do no harm to us, to the old nor to the young; be a saviour to us, to men and animals!'—
3	4	3	Having put a new water-pot on fresh eastward-pointed Kusa-grass,
3	4	4	And spoken over it (the words), 'Unhurt be our men, may our riches not be squandered!'—
3	4	5	. He sacrifices three oblations in the forenoon with the Stotriya text of the Rathantara with repetition and Kakubh-forming;
3	4	6	(Three oblations with the Stotriya) of the Vâmadevya at midday;
3	4	7	Of the Brihat in the afternoon;
3	4	8	The four Mahâvyâhritis, the three verses, 'Vâstoshpati!' , (the single verses,) 'Driving away calamity,' (and) 'Vâstoshpati,a firm post' , and to (Agni) Svishtakrit a tenth oblation of cooked food at night.
