Pransa_no	Patala_no	Khanda_no	Text_no	Hymn
1	3	10	24	A foul smell (is a reason for the discontinuance of study).
1	3	10	25	Food turned sour (by fermentation), which he has in his stomach, (is a reason for the discontinuance of the recitation, until the sour rising ceases).
1	3	10	26	(Nor shall he study) after having eaten in the evening,
1	3	10	27	Nor as long as his hands are wet.
1	3	10	28	(And he shall discontinue studying) for, a day and an evening, after having eaten food prepared in honour of a dead person (for whom the Sapindî-karana has not yet been performed),
1	3	10	29	Or until the food (eaten on that occasion) is digested.
1	3	10	30	But he shall (always) eat in addition (to the meal given in honour of a dead person), food which has not been given at a sacrifice to the Manes.
1	3	11	1	(The recitation of the Veda shall be interrupted for a day and evening if he has eaten), on beginning a fresh Kânda (of his Veda), food given by a motherless person,
1	3	11	2	And also if he has eaten, on the day of the completion of a Kânda, food given by a fatherless person.
1	3	11	3	Some declare, that (the recitation shall be interrupted for the same space of time), if he has eaten at a sacrifice offered in honour of gods who were formerly men.
1	3	11	4	Nor is the recitation interrupted, if he has eaten rice received the day before, or raw meat (though these things may have been offered in honour of the dead),
1	3	11	5	Nor (if he has eaten at a funeral dinner) roots or fruits of herbs and trees.
1	3	11	6	When he performs the ceremony for beginning of a Kânda, or when he studies the index of the Anuvâkas of a (Kânda), he shall not study that (Kânda) on that day (nor in that night).
1	3	11	7	And if he performs the ceremonies prescribed on beginning or ending the recitation of one entire Veda, he shall not study that Veda (during that day).
1	3	11	8	If the wind roars, or if it whirls up the grass on the ground, or if it drives the rain-drops forward during a rain-shower, (then the recitation shall be interrupted for so long a time as the storm lasts).
1	3	11	9	(Nor shall he study) on the boundary between a village and forest,
1	3	11	10	Nor on a highway.
1	3	11	11	If (some of his) fellow-students are on a journey, he shall not study during that day, (the passage) which they learn together.
1	3	11	12	And whilst performing acts for his pleasure,
1	3	11	13	Such as washing his feet, shampooing or anointing himself,
1	3	11	14	He shall neither study nor teach, as long as he is thus occupied.
1	3	11	15	(He shall not study or teach) in the twilight,
1	3	11	16	Nor whilst sitting on a tree,
1	3	11	17	Nor whilst immersed in water,
1	3	11	18	Nor at night with open doors,
1	3	11	19	Nor in the day-time with shut doors.
1	3	11	20	During the spring festival and the festival (of Indra), in the month of Âshâdha (June-July), the study of an Anuvâka is forbidden.
1	3	11	21	(The recitation) of the daily portion of the Veda (at the Brahmayagña is likewise forbidden if done) in a manner differing from the rule (of the Veda).
1	3	11	22	(Now follows) the rule (for the daily recitation) of that (Brahmayagña).
1	3	11	23	Before taking his morning-meal, he shall go to the water-side, and having purified himself, he shall recite aloud (a portion of the Veda) in a pure place, leaving out according to (the order of the) texts (what he has read the day before).
1	3	11	24	If a stoppage of study is enjoined (for the day, he shall recite the daily portion) mentally.
1	3	11	25	If lightning flashes without interruption, or, thunder rolls continually, if a man has neglected to purify himself, if he has partaken of a meal in honour of a dead person, or if hoarfrost lies on the ground, (in these cases) they forbid the mental recitation (of the daily portion of the Veda).
1	3	11	26	Some forbid it only in case one has eaten a funeral dinner.
1	3	11	27	Where lightning, thunder, and rain happen together out of season, the recitation shall be interrupted for three days.
1	3	11	28	Some (declare, that the recitation shall stop) until the ground is dry.
1	3	11	29	If one or two  from that hour until the same hour next day.
1	3	11	30	In the case of an eclipse of the sun or of the moon, of an earthquake, of a whirlwind, of the fall of a meteor, or of a fire (in the village), at whatever time these events happen, the recitation of all the sacred sciences (Vedas and Aṅgas) must be interrupted from that hour until the same hour next day.
1	3	11	31	If a cloud appears out of season, if the sun or the moon is surrounded by a halo, if a rainbow, a parhelion or a comet appears, if a (high) wind (blows), a foul smell (is observed), or hoarfrost (lies on the ground, at all these occasions (the recitation of all the sacred sciences must be interrupted) during the duration (of these phenomena).
1	3	11	32	After the wind has ceased, (the interruption of the recitation continues) for one muhûrta.
1	3	11	33	If (the howl of) a wolf or of a solitary jackal (has been heard, he shall stop the reading) until he has slept.
1	3	11	34	At night (he shall not study) in a wood, where there is no fire nor gold.
1	3	11	35	Out of term he shall not study any part of the Veda which he has not learnt before.
1	3	11	36	Nor (shall he study during term some new part of the Veda) in the evening.
1	3	11	37	That which has been studied before, must never be studied (during the vacation or in the evening).
1	3	11	38	Further particulars (regarding the interruption of the Veda-study may be learnt) from the (teaching and works of other) Vedic schools.
1	4	12	1	A Brâhmana declares, 'The daily recitation (of the Veda) is austerity.'
1	4	12	2	In the same (sacred text) it is also declared, Whether he recites the daily portion of the Veda standing, or sitting, or lying down, he performs austerity thereby; for the daily recitation is austerity.'
1	4	12	3	Now the Vâgasaneyi-brâhmana declares also, 'The daily recitation is a sacrifice at which the Veda is offered. When it thunders, when lightning flashes or thunderbolts fall, and when the wind blows violently, these sounds take the place of the exclamations Vashat (Vaushat and Svâhâ). Therefore he shall recite the Veda whilst it thunders, whilst lightning flashes and thunderbolts fall, and whilst the wind blows violently, lest the Vashat (should be heard) in vain.
1	4	12	4	The conclusion of the passage from that (Vâgasaneyi-brâhmana is found) in another Sâkhâ (of the Veda).
1	4	12	5	'Now, if the wind blows, or if it thunders, or if lightning flashes, or thunderbolts fall, then he shall recite one Rik-verse (in case he studies the Rig-Veda), or one Yagus (in case he studies the Yagur-veda), or one Sâman (in case he studies the Sâma-veda), or (without having a regard to his particular Veda, the following Yagus), "Bhûh Bhuvah, Suvah, in faith I offer true devotion." Then, indeed, his daily recitation is accomplished thereby for that day.'
1	4	12	6	If that is done,  not in contradiction with the decision of the Âryas.
1	4	12	7	For they (who know the law) teach both the continuance and the interruption (of the daily recitation of the Veda). That would be meaningless, if one paid attention to the (passage of the) Vâgasaneyi-brâhmana (alone).
1	4	12	8	For no (worldly) motive for the decision of those Âryas is perceptible; (and hence it must have a religious motive and be founded on a passage of the Veda).
1	4	12	9	(The proper interpretation therefore is, that) the prohibition to study (given above and by theÂryas generally) refers only to the repetition of the sacred texts in order to learn them, not to their application at sacrifices.
1	4	12	10	(But if you ask, why the decision of the Âryas presupposes the existence of a Vedic passage, then I answer): All precepts were (originally) taught in the Brâhmanas, (but) these texts have been lost. Their (former existence) may, however, be inferred from usage.
1	4	12	11	But it is not (permissible to infer the former existence of) a (Vedic) passage in cases where pleasure is obtained (by following a rule of the Smriti or a custom).
1	4	12	12	He who follows such (usages) becomes fit for hell.
1	4	12	13	Now follow (some rites and) rules that have been declared in the Brâhmanas.
1	4	12	14	By way of laudation they are called 'great sacrifices ' or 'great sacrificial sessions.'
1	4	12	15	(These rites include): The daily Bali-offeringto the (seven classes of) beings; the (daily) gift of (food) to men according to one's power;
1	4	13	1	The oblation to the gods accompanied by the exclamation Svâhâ, which may consist even of a piece of wood only; the offering to the Manes accompanied by the exclamation Svadhâ, which may consist even of a vessel with water only; the daily recitation.
1	4	13	2	Respect must be shown to those who are superior by caste,
1	4	13	3	And also to (persons of the same caste who are) venerable (on account of learning, virtue, and the like).
1	4	13	4	A man elated (with success) becomes proud, a proud man transgresses the law, but through the transgression of the law hell indeed (becomes his portion).
1	4	13	5	It has not been declared, that orders (may be addressed by the teacher) to a pupil who has returned home.
1	4	13	6	The syllable 'Om' is the door of heaven. [paragraph continues] Therefore he who is about to study the Veda, shall begin (his lesson) by (pronouncing) it.
1	4	13	7	If he has spoken anything else (than what refers to the lesson, he shall resume his reading by repeating the word 'Om'). Thus the Veda is separated from profane speech.
1	4	13	8	And at sacrifices the orders (given to the priests) are headed by this word.
1	4	13	9	And in common life, at the occasion of ceremonies performed for the sake of welfare, the sentences shall be headed by this word, as, for instance, '(Om) an auspicious day,' '(Om) welfare,' '(Om) prosperity.'
1	4	13	10	Without a vow of obedience (a pupil) shall not study (nor a teacher teach) a difficult (new book) with the exception of (the texts called) Trihsrâvana and Tr.ihsahavakana.
1	4	13	11	Hârita declares, that the (whole) Veda must be studied under a vow of obedience until there is no doubt (regarding it in the mind of the pupil).
1	4	13	12	No obedience is due (to the teacher for teaching) works which do not belong to the Veda.
1	4	13	13	(A student) shall embrace the feet of a person, who teaches him at the request of his (regular teacher), as long as the instruction lasts.
1	4	13	14	Some (declare, that he shall also) always, (if the substitute is) a worthy person.
1	4	13	15	But obedience (as towards the teacher) is not required (to be shown towards such a person).
1	4	13	16	And (pupils) older (than their teacher need not show him obedience).
1	4	13	17	If (two persons) teach each other mutually (different redactions of) the Veda, obedience (towards each other) is not ordained for them.
1	4	13	18	(For) the (wise) say, 'The Veda-knowledge (of either of them) grows.'
1	4	13	19	Svetaketu declares, 'He who desires to study more, after having settled (as a householder), shall dwell two months every year, with collected mind, in the house of his teacher,'
1	4	13	20	(And he adds), 'For by this means I studied a larger part of the Veda than before, (during my studentship.)'
1	4	13	21	That is forbidden by the Sâstras.
1	4	13	22	For after the student has settled as a householder, he is ordered by the Veda, to perform the daily rites,
1	4	14	1	(That is to say) the Agnihotra, hospitality,
1	4	14	2	And what else of this kind (is ordained).
1	4	14	3	He whom (a student) asks for instruction, shall certainly not refuse it;
1	4	14	4	Provided he does not see in him a fault, (which disqualifies him from being taught).
1	4	14	5	If by chance (through the pupil's stupidity the teaching) is not completed, obedience towards the (teacher is the pupil's only refuge).
1	4	14	6	Towards a mother (grandmother and great-grandmother) and a father (grandfather and great-grandfather) the same obedience must be shown as towards a teacher.
1	4	14	7	The feet of all Gurus must be embraced (every day) by a student who has returned home;
1	4	14	8	And also on meeting them, after returning from a journey.
1	4	14	9	The feet of (elder) brothers and sisters must be embraced, according to the order of their seniority.
1	4	14	10	And respect (must) always (be shown to one's elders and betters), according to the injunction [paragraph continues] (given above and according to the order of their seniority).
1	4	14	11	He shall salute an officiating priest, a father-in-law, a father's brother, and a mother's. brother, (though they may be) younger than he himself, and (when saluting) rise to meet them.
1	4	14	12	Or he may silently embrace their feet.
1	4	14	13	A friendship kept for ten years with fellow citizens (is a reason for giving a salutation, and so is) a friendship, contracted at school, which has lasted for five years. But a learned Brâhmana (known) for less than three years, must be saluted.
1	4	14	14	If the age (of several persons whom one meets) is exactly known, one must salute the eldest (first).
1	4	14	15	He need not salute a person, who is not a Guru, and who stands in a lower or higher place than he himself.
1	4	14	16	Or he may descend or ascend (to the place where such a person stands) and salute him.
1	4	14	17	But every one (Gurus and others) he shall salute, after having risen (from his seat).
1	4	14	18	If he is impure, he shall not salute (anybody);
1	4	14	19	(Nor shall he salute) a person who is impure.
1	4	14	20	Nor shall he, being impure, return a salutation.
1	4	14	21	Married women (must be saluted) according to the (respective) ages of their husbands.
1	4	14	22	He shall not salute with his shoes on, or his head wrapped up, or his hands full.
1	4	14	23	In saluting women, a Kshatriya or a Vaisya he shall use a pronoun, not his name.
1	4	14	24	Some (declare, that he shall salute in this manner even) his mother and the wife of his teacher.
1	4	14	25	Know that a Brâhmana of ten years and a Kshatriya of a hundred years stand to each other in the relation of father and son. But between those two the Brâhmana is the father.
1	4	14	26	A younger person or one of equal age he shall ask, about his well-being (employing the word kusala).
1	4	14	27	(He shall ask under the same conditions) a Kshatriya, about his health (employing the word anâmaya);
1	4	14	28	A Vaisya if he has lost anything (employing the word anashta).
1	4	14	29	A Sûdra, about his health (employing the word ârogya).
1	4	14	30	He shall not pass a learned Brâhmana without addressing him;
1	4	14	31	Nor an (unprotected) woman in a forest (or any other lonely place).
1	5	15	1	When he shows his respect to Gurus or aged persons or guests, when he offers a burnt-oblation (or other sacrifice), when he murmurs prayers at dinner, when sipping water and during the (daily) recitation of the Veda, his garment (or his sacrificial thread) shall pass over his left shoulder and under his right arm.
1	5	15	2	By sipping (pure) water, that has been collected on the ground, he becomes pure.
1	5	15	3	Or he, whom a pure person causes to sip water, (becomes also pure).
1	5	15	4	He shall not sip rain-drops.
1	5	15	5	(He shall not sip water) from a (natural) cleft in the ground.
1	5	15	6	He shall not sip water heated (at the fire) except for a particular reason (as sickness).
1	5	15	7	He who raises his empty hands (in order to scare) birds, (becomes impure and) shall wash (his hands).
1	5	15	8	If he can (find water to sip) he shall not remain impure (even) for a muhûrta.
1	5	15	9	Nor (shall he remain) naked (for a muhûrta if he can help it).
1	5	15	10	Purification (by sipping water) shall not take place whilst he is (standing) in the water.
1	5	15	11	Also, when he has crossed a river, he shall purify himself by sipping water.
1	5	15	12	He shall not place fuel on the fire, without having sprinkled it (with water).
1	5	15	13	(If he is seated in company with) other unclean persons on a seat consisting of a confused heap of straw, and does not touch them, he may consider himself pure.
1	5	15	14	(The same rule applies, if he is seated) on grass or wood fixed in the ground.
1	5	15	15	He shall put on a dress, (even if it is clean,) only after having sprinkled it with water.
1	5	15	16	If he has been touched by a dog, he shall bathe, with his clothes on;
1	5	15	17	Or he becomes pure, after having washed that part (of his body) and having touched it with fire and again washed it, as well as his feet, and having sipped water.
1	5	15	18	Unpurified, he shall not approach fire, (so near that he can feel the heat).
1	5	15	19	Some declare, that (he shall not approach nearer) than the length of an arrow.
1	5	15	20	Nor shall he blow on fire with his breath.
1	5	15	21	Nor shall he place fire under his bedstead.
1	5	15	22	It is lawful for a Brâhmana to dwell in a village, where there is plenty of fuel and water, (and) where he may perform the rites of purification by himself.
1	5	15	23	When he has washed away the stains of urine and fæces after voiding urine or fæces, the stains of food (after dinner), the stains of the food eaten the day before (from his vessels), and the stains of semen, and has also washed his feet and afterwards has sipped water, he becomes pure.
1	5	16	1	He shall not drink water standing or bent forwards.
1	5	16	2	Sitting he shall sip water (for purification) thrice, the water penetrating to his heart.
1	5	16	3	He shall wipe his lips three times.
1	5	16	4	Some (declare, that he shall do so) twice.
1	5	16	5	He shall then touch (his lips) once (with the three middle fingers).
1	5	16	6	Some (declare, that he shall do so) twice.
1	5	16	7	Having sprinkled water on his left hand with his right, he shall touch both his feet, and his head and (the following three) organs, the eyes, the nose, and the ears.
1	5	16	8	Then he shall wash (his hands).
1	5	16	9	But if he is going to eat he shall, though pure, twice sip water, twice wipe (his mouth), and once touch (his lips).
1	5	16	10	He shall rub the gums and the inner part of his lips (with his finger or with a piece of wood) and then sip water.
1	5	16	11	He does not become impure by the hair (of his moustaches) getting into his mouth, as long as he does not touch them with his hand.
1	5	16	12	If (in talking), drops (of saliva) are perceived to fall from his mouth, then he shall sip water.
1	5	16	13	Some declare, that if (the saliva falls) on the ground, he need not sip water.
1	5	16	14	On touching during sleep or in sternutation the effluvia of the nose or of the eyes, on touching blood, hair, fire, kine, a Brâhmana, or a woman, and after having walked on the high road, and after having touched an (thing or man), and after having put on his lower garment, he shall either bathe or sip or merely touch water (until he considers himself clean).
1	5	16	15	(Or he may touch) moist cowdung, wet herbs, or moist earth.
1	5	16	16	He shall not eat meat which has been cut with a sword (or knife) used for killing.
1	5	16	17	He shall not bite off with his teeth (pieces from) cakes (roots or fruits).
1	5	16	18	He shall not eat in the house of a (relation within six degrees) where a person has died, before the ten days (of impurity) have elapsed.
1	5	16	19	(Nor shall he eat in a house) where a lying-in woman has not (yet) come out (of the lying-in chamber),
1	5	16	20	(Nor in a house) where a corpse lies.
1	5	16	21	Food touched by a (Brâhmana or other high-caste person) who is impure, becomes impure, but not unfit for eating.
1	5	16	22	But what has been brought (be it touched or not) by an impure Sûdra, must not be eaten,
1	5	16	23	Nor that food in which there is a hair,
1	5	16	24	Or any other unclean substance.
1	5	16	25	(Nor must that food be eaten) which has been touched with an unclean substance (such as garlic),
1	5	16	26	Nor (that in which) an insect living on impure substances (is found),
1	5	16	27	Nor (that in which) excrements or limbs of a mouse (are found),
1	5	16	28	Nor that which has been touched by the foot (even of a pure person),
1	5	16	29	Nor what has been (touched) with the hem of a garment,
1	5	16	30	Nor that which has been looked at by a dog or an Apapâtra,
1	5	16	31	Nor what has been brought in the hem of a garment, (even though the garment may be clean),
1	5	16	32	Nor what has been brought at night by a female slave.
1	5	16	33	If during his meal,
1	5	17	1	A Sûdra touches him, (then he shall leave off eating).
1	5	17	2	Nor shall he eat sitting in the same row with unworthy people.
1	5	17	3	Nor shall he eat (sitting in the same row with persons) amongst whom one, whilst they eat, rises and gives his leavings to his pupils or sips water;
1	5	17	4	Nor (shall he eat) where they give him food, reviling him.
1	5	17	5	Nor (shall he eat) what has been smelt at by men or other (beings, as cats).
1	5	17	6	He shall not eat in a ship,
1	5	17	7	Nor on a wooden platform.
1	5	17	8	He may eat sitting on ground which has been purified (by the application of cowdung and the like).
1	5	17	9	(If he eats) out of an earthen vessel, he shall eat out of one that has not been used (for cooking).
1	5	17	10	(If he can get) a used vessel (only, he shall eat from it), after having heated it thoroughly.
1	5	17	11	A vessel made of metal becomes pure by being scoured with ashes and the like.
1	5	17	12	A wooden vessel becomes pure by being scraped.
1	5	17	13	At a sacrifice (the vessels must be cleaned) according to the precepts of the Veda.
1	5	17	14	He shall not eat food which has been bought or obtained ready-prepared in the market.
1	5	17	15	Nor (shall he eat) flavoured food (bought in the market) excepting raw meat, honey, and salt.
1	5	17	16	Oil and clarified butter (bought in the market) he may use, after having sprinkled them with water.
1	5	17	17	Prepared food which has stood for a night, must neither be eaten nor drunk.
1	5	17	18	Nor (should prepared food) that has turned sour (be used in any way).
1	5	17	19	(The preceding two rules do) not (hold good in regard to) the juice of sugar-cane, roasted rice-grains, porridge prepared with whey, roasted yava, gruel, vegetables, meat, flour, milk and preparations from it, roots and fruits of herbs and trees.
1	5	17	20	(Substances which have turned) sour without being mixed with anything else (are to be avoided).
1	5	17	21	All intoxicating drinks are forbidden.
1	5	17	22	Likewise sheep's milk,
1	5	17	23	Likewise the milk of camels, of does, of animals that give milk while big with young, of those that bear twins, and of (one-hoofed animals),
1	5	17	24	Likewise the milk of a cow (buffalo-cow or she-goat) during the (first) ten days (after their giving birth to young ones),
1	5	17	25	Likewise (food mixed) with herbs which serve for preparing intoxicating liquors,
1	5	17	26	(Likewise) red garlic, onions, and leeks,
1	5	17	27	Likewise anything else which (those who are learned in the law) forbid.
1	5	17	28	Mushrooms ought not to be eaten; that has been declared in a Brâhmana;
1	5	17	29	(Nor the meat) of one-hoofed animals, of camels, of the Gayal, of village pigs, of Sarabhas, and of cattle.
1	5	17	30	(But the meat) of milch-cows and oxen may be eaten.
1	5	17	31	The Vâgasaneyaka declares 'bull's flesh is fit for offerings.'
1	5	17	32	Amongst birds that scratch with their feet for, food, the (tame) cock (must not be eaten).
1	5	17	33	Amongst birds that feed thrusting forward their beak, the (heron, called) Plava (or Sakatabila, must not be eaten).
1	5	17	34	Carnivorous (birds are forbidden),
1	5	17	35	Likewise the swan, the Bhâsa, the Brâhmanî duck, and the falcon.
1	5	17	36	Common cranes and Sâras-cranes (are not to be eaten) with the exception of the leather-nosed Lakshmana.
1	5	17	37	Five-toed animals (ought not to be eaten) with the exception of the iguana, the tortoise, the porcupine, the hedgehog, the rhinoceros, the hare, and the Pûtikhasha.
1	5	17	38	Amongst fishes, the Keta ought not to be eaten,
1	5	17	39	Nor the snake-headed fish, nor the alligator, nor those which live on flesh only, nor those which are misshaped (like) mermen.
1	6	18	1	Honey, uncooked (grain), venison, land, roots, fruits, (a promise of) safety, a pasture for cattle, a house, and fodder for a draught-ox may be accepted (even) from an Ugra.
1	6	18	2	Hârita declares, that even these (presents) are to be accepted only if they have been obtained by a pupil.
1	6	18	3	Or they (Brâhmana householders) may accept (from an Ugra) uncooked or (a little) unflavoured boiled food.
1	6	18	4	(Of such food) they shall not take a great quantity (but only so much as suffices to support life).
1	6	18	5	If (in times of distress) he is unable to keep himself, he may eat (food obtained from anybody),
1	6	18	6	After having touched it (once) with gold,
1	6	18	7	Or (having touched it with) fire.
1	6	18	8	He shall not be too eager after (such a way of living). He shall leave it when he has obtained a (lawful) livelihood.
1	6	18	9	(A student of the Brahmanic caste) who has returned home shall not eat (in the house) of people belonging to the three tribes, beginning with the Kshatriya (i. e. of Kshatriyas, Vaisyas, and Sûdras).
1	6	18	10	He may (usually) eat (the food) of a Brâhmana on account of (the giver's) character (as a Brâhmana). It must be avoided for particular reasons only.
1	6	18	11	He shall not eat in a house where (the host) performs a rite which is not a rite of penance, whilst he ought to perform a penance.
1	6	18	12	But when the penance has been performed, he may eat (in that house).
1	6	18	13	According to some (food offered by people) of any caste, who follow the laws prescribed for them, except that of Sûdras, may be eaten.
1	6	18	14	(In times of distress) even the food of a Sûdra, who lives under one's protection for the sake of spiritual merit, (may be eaten).
1	6	18	15	He may eat it, after having touched it (once) with gold or with fire. He shall not be too eager after (such a way of living). He shall leave it when he obtains a (lawful) livelihood.
1	6	18	16	Food received from a multitude of givers must not be eaten,
1	6	18	17	Nor food offered by a general invitation (to all comers).
1	6	18	18	Food offered by an artisan must not be eaten,
1	6	18	19	Nor (that of men) who live by the use of arms (with the exception of Kshatriyas),
1	6	18	20	Nor (that of men) who live by letting lodgings or land.
1	6	18	21	A (professional) physician is a person whose food must not be eaten,
1	6	18	22	(Also) a usurer,
1	6	18	23	(Also) a Brâhmana who has performed the Dîkshanîyeshti (or initiatory ceremony of the Soma-sacrifice) before he has bought the king (Soma).
1	6	18	24	(The food given by a person who has performed the Dîkshanîyeshti may be eaten), when the victim sacred to Agni and Soma has been slain.
1	6	18	25	Or after that the omentum of the victim (sacred to Agni and Soma) has been offered.
1	6	18	26	For a Brâhmana declares, 'Or they may eat of the remainder of the animal, after having set apart a portion for the offering.'
1	6	18	27	A eunuch (is a person whose food must not be eaten),
1	6	18	28	(Likewise) the (professional) messenger employed by a king (or others),
1	6	18	29	(Likewise a Brâhmana) who offers substances that are not fit for a sacrifice,
1	6	18	30	(Likewise) a spy,
1	6	18	31	(Also) a person who has become an ascetic without (being authorized thereto by) the rules (of the law),
1	6	18	32	(Also) he who forsakes the sacred fires without performing the sacrifice necessary on that occasion),
1	6	18	33	Likewise a learned Brâhmana who avoids everybody, or eats the food of anybody, or neglects the (daily) recitation of the Veda, (and) he whose (only living) wife is of the Sûdra caste.
1	6	19	1	A drunkard, a madman, a prisoner, he who learns the Veda from his son, a creditor who sits with his debtor (hindering the fulfilment of his duties), a debtor who thus sits (with his creditor, are persons whose food must not be eaten) as long as they are thus engaged or in that state.
1	6	19	2	Who (then) are those whose food may be eaten?
1	6	19	3	Kanva declares, that it is he who wishes to give.
1	6	19	4	Kautsa declares, that it is he who is holy.
1	6	19	5	Vârshyâyani declares, that it is every giver (of food).
1	6	19	6	For if guilt remains fixed on the man (who committed a crime, then food given by a sinner) may be eaten (because the guilt cannot leave the sinner). But if guilt can leave (the sinner at any time, then food given by the sinner may be eaten because) he becomes pure by the gift (which he makes).
1	6	19	7	Offered food, which is pure, may be eaten, according to Eka, Kunika, Kânva, Kutsa, and Pushkarasâdi.
1	6	19	8	Vârshyâyani's opinion is, that (food) given unasked (may be accepted) from anybody.
1	6	19	9	(Food offered) willingly by a holy man may be eaten.
1	6	19	10	Food given unwillingly by a holy man ought not to be eaten.
1	6	19	11	Food offered unasked by any person whatsoever may be eaten,
1	6	19	12	'But not if it be given after an express previous announcement;' thus says Hârita.
1	6	19	13	Now they quote also in a Purâna the following two verses: 'The Lord of creatures has declared, that food offered unasked and brought by the giver himself, may be eaten, though (the giver be) a sinner, provided the gift has not been announced beforehand. The Manes of the ancestors of that man who spurns such food, do not eat (his oblations) for fifteen years, nor does the fire carry his offerings (to the gods).'
1	6	19	14	(Another verse from a Purâna declares): 'The food given by a physician, a hunter, a surgeon, a fowler, an unfaithful wife, or a eunuch must not be eaten.'
1	6	19	15	Now (in confirmation of this) they quote (the following verse): 'The murderer of a Brâhmana learned in the Veda heaps his guilt on his guest, an innocent man on his calumniator, a thief set at liberty on the king, and the petitioner on him who makes false promises.'
1	7	20	1	He shall not fulfil his sacred duties merely in order to acquire these worldly objects (as fame, gain, and honour).
1	7	20	2	For when they ought to bring rewards, (duties thus fulfilled) become fruitless.
1	7	20	3	(Worldly benefits) are produced as accessories (to the fulfilment of the law), just as in the case of a mango tree, which is planted in order to obtain fruit, shade and fragrance (are accessory advantages).
1	7	20	4	But if (worldly advantages) are not produced, (then at least) the sacred duties have been fulfilled.
1	7	20	5	Let him not become irritated at, nor be deceived by the speeches of hypocrites, of rogues, of infidels, and of fools.
1	7	20	6	For Virtue and Sin do not go about and say, 'Here we are;' nor do gods, Gandharvas, or Manes say (to men), 'This is virtue, that is sin.'
1	7	20	7	But that is virtue, the practice of which wise men of the three twice-born castes praise; what they blame, is sin.
1	7	20	8	He shall regulate his course of action according to the conduct which in all countries is unanimously approved by men of the three twice-born castes, who have been properly obedient (to their teachers), who are aged, of subdued senses, neither given to avarice, nor hypocrites.
1	7	20	9	Acting thus he will gain both worlds.
1	7	20	10	Trade is not lawful for a Brâhmana.
1	7	20	11	In times of distress he may trade in lawful merchandise, avoiding the following (kinds), that are forbidden:
1	7	20	12	(Particularly) men, condiments and liquids, colours, perfumes, food, skins, heifers, substances used for glueing (such as lac), water, young cornstalks, substances from which spirituous liquor may be extracted, red and black pepper, corn, flesh, arms, and the hope of rewards for meritorious deeds.
1	7	20	13	Among (the various kinds of) grain he shall especially not sell sesamum or rice (except he have grown them himself).
1	7	20	14	The exchange of the one of these (abovementioned goods) for the other is likewise unlawful.
1	7	20	15	But food (may be exchanged) for food, and slaves for slaves, and condiments for condiments, and perfumes for perfumes, and learning for learning.
1	7	20	16	Let him traffic with lawful merchandise which he has not bought,
1	7	21	1	With Muñga-grass, Balbaga-grass (and articles made of them), roots, and fruits,
1	7	21	2	And with (other kinds of) grass and wood which have not been worked up (into objects of use).
1	7	21	3	He shall not be too eager (after such a livelihood).
1	7	21	4	If he obtains (another lawful) livelihood, he shall leave off (trading).
1	7	21	5	Intercourse with fallen men is not ordained,
1	7	21	6	Nor with Apapâtras.
1	7	21	7	Now (follows the enumeration of) the actions which cause loss of caste (Patanîya).
1	7	21	8	(These are) stealing (gold), crimes whereby one becomes an Abhisasta, homicide, neglect of the Vedas, causing abortion, incestuous connection with relations born from the same womb as one's mother or father, and with the offspring of such persons, drinking spirituous liquor, and intercourse with persons the intercourse with whom is forbidden.
1	7	21	9	That man falls who has connection with a female friend of a female Guru, or with a female friend of a male Guru, or with any married woman.
1	7	21	10	Some (teachers declare), that he does not fall by having connection with any other married female except his teacher's wife.
1	7	21	11	Constant commission of (other) sins (besides those enumerated above) also causes a man to lose his caste.
1	7	21	12	Now follows (the enumeration of) the acts which make men impure (Asukikara).
1	7	21	13	(These are) the cohabitation of Aryan women with Sûdras,
1	7	21	14	Eating the flesh of forbidden (creatures),
1	7	21	15	As of a dog, a man, village cocks or pigs, carnivorous animals,
1	7	21	16	Eating the excrements of men,
1	7	21	17	Eating what is left by a Sûdra, the cohabitation of Aryans with Apapâtra women.
1	7	21	18	Some declare, that these acts also cause a man to lose his caste.
1	7	21	19	Other acts besides those (enumerated) are causes of impurity.
1	7	21	20	He who learns (that a man has) committed a sin, shall not be the first to make it known to others; but he shall avoid the (sinner), when performing religious ceremonies.
1	8	22	1	He shall employ the means which tend to the acquisition of (the knowledge of) the Âtman, which are attended by the consequent (destruction of the passions, and) which prevent the wandering (of the mind from its object, and fix it on the contemplation of the Âtman).
1	8	22	2	There is no higher (object) than the attainment of (the knowledge of the) Âtman.
1	8	22	3	We shall quote the verses (from the Veda) which refer to the attainment of (the knowledge of) the Âtman.
1	8	22	4	All living creatures are the dwelling of him who lies enveloped in matter, who is immortal and who is spotless. Those become immortal who worship him who is immovable and lives in a movable dwelling.
1	8	22	5	Despising all that which in this world is called an object (of the senses) a wise man shall strive after the (knowledge of the) Âtman.
1	8	22	6	O pupil, I, who had not recognised in my own self the great self-luminous, universal, (absolutely) free Âtman, which must be obtained without the mediation of anything else, desired (to find) it in others (the senses). (But now as I have obtained the pure knowledge, I do so no more.) Therefore follow thou also this good road that leads to welfare (salvation), and not the one that leads into misfortune (new births).
1	8	22	7	It is he who is the eternal part in all creatures, whose essence is wisdom, who is immortal, unchangeable, destitute of limbs, of voice, of the (subtle) body, (even) of touch, exceedingly pure; he is the universe, he is the highest goal; (he dwells in the middle of the body as) the Vishuvat day is (the middle of a Sattra-sacrifice); he, indeed, is (accessible to all) like a town intersected by many streets.
