Sanskit Text	Sanskrit Transliteration	Translation
शरूया अग्निश्चित्रभानुर्हवं मे विश्वाभिर्गीर्भिरम्र्तो विचेताः |	śrūyā aghniścitrabhānurhavaṃ me viśvābhirghīrbhiramṛto vicetāḥ |	2 May Agni the resplendent hear my calling through all my songs, Immortal, keen of insight.
शयावा रथं वहतो रोहिता वोतारुषाह चक्रे विभ्र्त्रः ||	śyāvā rathaṃ vahato rohitā votāruṣāha cakre vibhṛtraḥ ||	Dark steeds or ruddy draw his car, or carried in sundry ways he makes them red of colour.
उत्तानायामजनयन सुषूतं भुवदग्निः पुरुपेशासु गर्भः |	uttānāyāmajanayan suṣūtaṃ bhuvadaghniḥ purupeśāsu gharbhaḥ |	3 On wood supine they got the well-formed Infant: a germ in various-fashioned plants was Agni;
शिरिणायां चिदक्तुना महोभिरपरीव्र्तो वसति परचेताः ||	śiriṇāyāṃ cidaktunā mahobhiraparīvṛto vasati pracetāḥ ||	And in the night, not compassed round by darkness, he dwells exceeding wise, with rays of splendour.
जिघर्म्यग्निं हविषा घर्तेन परतिक्षियन्तं भुवनानि विश्वा |	jigharmyaghniṃ haviṣā ghṛtena pratikṣiyantaṃ bhuvanāni viśvā |	4 With oil and sacred gifts I sprinkle Agni who makes his home in front of all things living,
पर्थुं तिरश्चा वयसा बर्हन्तं वयचिष्ठमन्नै रभसं दर्शानम ||	pṛthuṃ tiraścā vayasā bṛhantaṃ vyaciṣṭhamannai rabhasaṃ dṛśānam ||	Broad, vast, through vital power o’er all expanded, conspicuous, strong with all the food that feeds him.
आ विश्वतः परत्यञ्चं जिघर्म्यरक्षसा मनसा तज्जुषेत |	ā viśvataḥ pratyañcaṃ jigharmyarakṣasā manasā tajjuṣeta |	5 I pour to him who looks in all directions: may he accept it with a friendly spirit.
मर्यश्रीः सप्र्हयद्वर्णो अग्निर्नाभिम्र्शे तन्वा जर्भुराणः ||	maryaśrīḥ spṛhayadvarṇo aghnirnābhimṛśe tanvā jarbhurāṇaḥ ||	Agni with bridegroom's grace and lovely colour may not be touched when all his form is fury.
जञेया भागं सहसानो वरेण तवादूतासो मनुवद वदेम |	jñeyā bhāghaṃ sahasāno vareṇa tvādūtāso manuvad vadema |	6 By choice victorious, recognize thy portion: with thee for envoy may we speak like Manu.
अनूनमग्निं जुह्वा वचस्या मधुप्र्चं धनसाजोहवीमि ||	anūnamaghniṃ juhvā vacasyā madhupṛcaṃ dhanasājohavīmi ||	Obtaining wealth, I call on perfect Agni who with an eloquent tongue dispenses sweetness.

शरुधी हवमिन्द्र मा रिशण्यः सयाम ते दावने वसूनाम |	śrudhī havamindra mā riśaṇyaḥ syāma te dāvane vasūnām |	1. HEAR thou my call, O Indra; be not heedless: thine may we be for thee to give us treasures;
इमा हि तवामूर्जो वर्धयन्ति वसूयवः सिन्धवो न कषरन्तः ||	imā hi tvāmūrjo vardhayanti vasūyavaḥ sindhavo na kṣarantaḥ ||	For these presented viands, seeking riches, increase thy strength like streams of water flowing.
सर्जो महीरिन्द्र या अपिन्वः परिष्ठिता अहिना शूर पूर्वीः |	sṛjo mahīrindra yā apinvaḥ pariṣṭhitā ahinā śūra pūrvīḥ |	2 Floods great and many, compassed by the Dragon, thou badest swell and settest free, O Hero.
अमर्त्यं चिद दासं मन्यमानमवाभिनदुक्थैर्वाव्र्धानः ||	amartyaṃ cid dāsaṃ manyamānamavābhinadukthairvāvṛdhānaḥ ||	Strengthened by songs of praise thou rentest piecemeal the Dāsa, him who deemed himself immortal.
उक्थेष्विन नु शूर येषु चाकन सतोमेष्विन्द्र रुद्रियेषु च |	uktheṣvin nu śūra yeṣu cākan stomeṣvindra rudriyeṣu ca |	3 For, Hero, in the lauds wherein thou joyedst, in hymns of praise, O Indra, songs of Rudras,
तुभ्येदेता यासु मन्दसानः पर वायवे सिस्रते न शुभ्राः ||	tubhyedetā yāsu mandasānaḥ pra vāyave sisrate na śubhrāḥ ||	These streams in which is thy delight approach thee, even as the brilliant ones draw near to Vāyu.
शुभ्रं नु ते शुष्मं वर्धयन्तः शुभ्रं वज्रं बाह्वोर्दधानाः |	śubhraṃ nu te śuṣmaṃ vardhayantaḥ śubhraṃ vajraṃ bāhvordadhānāḥ |	4 We who add strength to thine own splendid vigour, laying within thine arms the splendid thunder—
शुभ्रस्त्वमिन्द्र वाव्र्धानो अस्मे दासीर्विशः सूर्येण सह्याः ||	śubhrastvamindra vāvṛdhāno asme dāsīrviśaḥ sūryeṇa sahyāḥ ||	With us mayst thou, O Indra, waxen splendid, with Sūrya overcome the Dāsa races.
गुहा हितं गुह्यं गूळ्हमप्स्वपीव्र्तं मायिनं कषियन्तम |	ghuhā hitaṃ ghuhyaṃ ghūḷhamapsvapīvṛtaṃ māyinaṃ kṣiyantam |	5 Hero, thou slewest in thy valour Ahi concealed in depths, mysterious, great enchanter,
उतो अपो दयां तस्तभ्वांसमहन्नहिं शूर वीर्येण ||	uto apo dyāṃ tastabhvāṃsamahannahiṃ śūra vīryeṇa ||	Dwelling enveloped deep within the waters, him who checked heaven and stayed the floods from flowing.
सतवा नु त इन्द्र पूर्व्या महान्युत सतवाम नूतना कर्तानि |	stavā nu ta indra pūrvyā mahānyuta stavāma nūtanā kṛtāni |	6 Indra, we laud thy great deeds wrought aforetime, we laud thine exploits later of achievement;
सतवा वज्रं बाह्वोरुशन्तं सतवा हरी सूर्यस्य केतू ||	stavā vajraṃ bāhvoruśantaṃ stavā harī sūryasya ketū ||	We laud the bolt that in thine arms lies eager; we laud thy two Bay Steeds, heralds of Sūrya.
हरी नु त इन्द्र वाजयन्ता घर्तश्चुतं सवारमस्वार्ष्टाम |	harī nu ta indra vājayantā ghṛtaścutaṃ svāramasvārṣṭām |	7 Indra, thy Bay Steeds showing forth their vigour have sent a loud cry out that droppeth fatness.
वि समना भूमिरप्रथिष्टारंस्त पर्वतश्चित सरिष्यन ||	vi samanā bhūmiraprathiṣṭāraṃsta parvataścit sariṣyan ||	The earth hath spread herself in all her fulness: the cloud that was about to move hath rested.
नि पर्वतः साद्यप्रयुछन सं मात्र्भिर्वावशानो अक्रान |	ni parvataḥ sādyaprayuchan saṃ mātṛbhirvāvaśāno akrān |	8 Down, never ceasing, hath the rain-cloud settled: bellowing, it hath wandered with the Mothers.
दूरे पारे वाणीं वर्धयन्त इन्द्रेषितां धमनिं पप्रथन नि ||	dūre pāre vāṇīṃ vardhayanta indreṣitāṃ dhamaniṃ paprathan ni ||	Swelling the roar in the far distant limits, they have spread wide the blast sent forth by Indra.
इन्द्रो महां सिन्धुमाशयानं मायाविनं वर्त्रमस्फुरन निः |	indro mahāṃ sindhumāśayānaṃ māyāvinaṃ vṛtramasphuran niḥ |	9 Indra hath hurled down the magician Vṛtra who lay beleaguering the mighty river.
अरेजेतां रोदसी भियाने कनिक्रदतो वर्ष्णो अस्य वज्रात ||	arejetāṃ rodasī bhiyāne kanikradato vṛṣṇo asya vajrāt ||	Then both the heaven and earth trembled in terror at the strong Hero's thunder when he bellowed.
अरोरवीद वर्ष्णो अस्य वज्रो.अमानुषं यन मानुषो निजूर्वात |	aroravīd vṛṣṇo asya vajro.amānuṣaṃ yan mānuṣo nijūrvāt |	10 Loud roared the mighty Hero's bolt of thunder, when he, the Friend of man, burnt up the monster,
नि मायिनो दानवस्य माया अपादयत पपिवान सुतस्य ||	ni māyino dānavasya māyā apādayat papivān sutasya ||	And, having drunk his fill of flowing Soma, baffled the guileful Dānava's devices.
पिबा-पिबेदिन्द्र शूर सोमं मन्दन्तु तवा मन्दिनः सुतासः |	pibā-pibedindra śūra somaṃ mandantu tvā mandinaḥ sutāsaḥ |	11 Drink thou, O Hero Indra, drink the Soma; let the joy-giving juices make thee joyful.
पर्णन्तस्ते कुक्षी वर्धयन्त्वित्था सुतः पौर इन्द्रमाव ||	pṛṇantaste kukṣī vardhayantvitthā sutaḥ paura indramāva ||	They, filling both thy flanks, shall swell thy vigour. The juice that satisfies hath helped Indra.
तवे इन्द्राप्यभूम विप्रा धियं वनेम रतया सपन्तः |	tve indrāpyabhūma viprā dhiyaṃ vanema ṛtayā sapantaḥ |	12 Singers have we become with thee, O Indra: may we serve duly and prepare devotion.
अवस्यवो धीमहि परशस्तिं सद्यस्ते रायो दावने सयाम ||	avasyavo dhīmahi praśastiṃ sadyaste rāyo dāvane syāma ||	Seeking thy help we meditate thy praises: may we at once enjoy thy gift of riches.
सयाम ते त इन्द्र ये त ऊती अवस्यव ऊर्जं वर्धयन्तः |	syāma te ta indra ye ta ūtī avasyava ūrjaṃ vardhayantaḥ |	13 May we be thine, such by thy help, O Indra, as swell thy vigour while they seek thy favour.
शुष्मिन्तमं यं चाकनाम देवास्मे रयिं रासि वीरवन्तम ||	śuṣmintamaṃ yaṃ cākanāma devāsme rayiṃ rāsi vīravantam ||	Give us, thou God, the riches that we long for, most powerful, with stare of noble children.
रासि कषयं रासि मित्रमस्मे रासि शर्ध इन्द्र मारुतंनः |	rāsi kṣayaṃ rāsi mitramasme rāsi śardha indra mārutaṃnaḥ |	14 Give us a friend, give us an habitation; Indra, give us the company of Maruts,
सजोषसो ये च मन्दसानाः पर वायवः पान्त्यग्रणीतिम ||	sajoṣaso ye ca mandasānāḥ pra vāyavaḥ pāntyaghraṇītim ||	And those whose minds accord with theirs, the Vāyus, who drink the first libation of the Soma.
वयन्त्विन नु येषु मन्दसानस्त्र्पत सोमं पाहि दरह्यदिन्द्र |	vyantvin nu yeṣu mandasānastṛpat somaṃ pāhi drahyadindra |	15 Let those enjoy in whom thou art delighted. Indra, drink Soma for thy strength and gladness.
अस्मान सु पर्त्स्वा तरुत्रावर्धयो दयां बर्हद्भिरर्कैः ||	asmān su pṛtsvā tarutrāvardhayo dyāṃ bṛhadbhirarkaiḥ ||	Thou hast exalted us to heaven, Preserver, in battles, through the lofty hymns that praise thee.
बर्हन्त इन नु ये ते तरुत्रोक्थेभिर्वा सुम्नमाविवासान |	bṛhanta in nu ye te tarutrokthebhirvā sumnamāvivāsān |	16 Great, verily, are they, O thou Protector, who by their songs of praise have won the blessing.
सत्र्णानासो बर्हिः पस्त्यावत तवोता इदिन्द्र वाजमग्मन ||	stṛṇānāso barhiḥ pastyāvat tvotā idindra vājamaghman ||	They who strew sacred grass to be thy dwelling, helped by thee have got them strength, O Indra.
उग्रेष्विन नु शूर मन्दसानस्त्रिकद्रुकेषु पाहि सोममिन्द्र |	ughreṣvin nu śūra mandasānastrikadrukeṣu pāhi somamindra |	17 Upon the great Trikadruka days, Hero, rejoicing thee, O Indra, drink the Soma.
परदोधुवच्छ्मश्रुषु परीणानो याहि हरिभ्यां सुतस्यपीतिम ||	pradodhuvacchmaśruṣu prīṇāno yāhi haribhyāṃ sutasyapītim ||	Come with Bay Steeds to drink of libation, shaking the drops from out thy beard, contented.
धिष्वा शवः शूर येन वर्त्रमवाभिनद दानुमौर्णवाभम |	dhiṣvā śavaḥ śūra yena vṛtramavābhinad dānumaurṇavābham |	18 Hero, assume the might wherewith thou clavest Vṛtra piecemeal, the Dānava Aurṇavābha.
अपाव्र्णोर्ज्योतिरार्याय नि सव्यतः सादि दस्युरिन्द्र ||	apāvṛṇorjyotirāryāya ni savyataḥ sādi dasyurindra ||	Thou hast disclosed the light to light the Ārya: on thy left hand, O Indra, sank the Dasyu.
सनेम ये त ऊतिभिस्तरन्तो विश्वा सप्र्ध आर्येण दस्यून |	sanema ye ta ūtibhistaranto viśvā spṛdha āryeṇa dasyūn |	19 May we gain wealth, subduing with thy succour and with the Ārya, all our foes, the Dasyus.
अस्मभ्यं तत तवाष्ट्रं विश्वरूपमरन्धयः साख्यस्य तरिताय ||	asmabhyaṃ tat tvāṣṭraṃ viśvarūpamarandhayaḥ sākhyasya tritāya ||	Our gain was that to Tṛta of our party thou gavest up Tvaṣṭar's son Viśvarūpa.
अस्य सुवानस्य मन्दिनस्त्रितस्य नयर्बुदं वाव्र्धानो अस्तः |	asya suvānasya mandinastritasya nyarbudaṃ vāvṛdhāno astaḥ |	20 He cast down Arbuda what time his vigour was strengthened by libations poured by Tṛta.
अवर्तयत सूर्यो न चक्रं भिनद वलमिन्द्रो अङगिरस्वान ||	avartayat sūryo na cakraṃ bhinad valamindro aṅghirasvān ||	Indra sent forth his whirling wheel like Sūrya, and aided by the Aṅgirases rent Vala.
नूनं सा ते परति वरं जरित्रे दुहीयदिन्द्र दक्षिणा मघोनी |	nūnaṃ sā te prati varaṃ jaritre duhīyadindra dakṣiṇā maghonī |	21 Now let that wealthy Cow of thine, O Indra, yield in return a boon to him who lauds thee.
शिक्षा सतोत्र्भ्यो माति धग भगो नो बर्हद वदेम व. स. ||	śikṣā stotṛbhyo māti dhagh bhagho no bṛhad vadema v. s. ||	Give to thy praisers: let not fortune fail us. Loud may we speak, with brave men, in the assembly.

यो जात एव परथमो मनस्वान देवो देवान करतुना पर्यभूषत |	yo jāta eva prathamo manasvān devo devān kratunā paryabhūṣat |	1. HE who, just born, chief God of lofty spirit by power and might became the Gods’ protector,
यस्य शुष्माद रोदसी अभ्यसेतां नर्म्णस्य मह्ना स जनास इन्द्रः ||	yasya śuṣmād rodasī abhyasetāṃ nṛmṇasya mahnā sa janāsa indraḥ ||	Before whose breath through greatness of his valour the two worlds trembled, He, O men, is Indra.
यः पर्थिवीं वयथमानामद्रंहद यः पर्वतान परकुपितानरम्णात |	yaḥ pṛthivīṃ vyathamānāmadṛṃhad yaḥ parvatān prakupitānaramṇāt |	2 He who fixed fast and firm the earth that staggered, and set at rest the agitated mountains,
यो अन्तरिक्षं विममे वरीयो यो दयामस्तभ्नात स जनास इन्द्रः ||	yo antarikṣaṃ vimame varīyo yo dyāmastabhnāt sa janāsa indraḥ ||	Who measured out the air's wide middle region and gave the heaven support, He, men, is Indra.
यो हत्वाहिमरिणात सप्त सिन्धून यो गा उदाजदपधा वलस्य |	yo hatvāhimariṇāt sapta sindhūn yo ghā udājadapadhā valasya |	3 Who slew the Dragon, freed the Seven Rivers, and drove the kine forth from the cave of Vala,
यो अश्मनोरन्तरग्निं जजान संव्र्क समत्सु स. ज. इ. ||	yo aśmanorantaraghniṃ jajāna saṃvṛk samatsu s. j. i. ||	Begat the fire between two stones, the spoiler in warriors’ battle, He, O men, is Indra.
येनेमा विश्वा चयवना कर्तानि यो दासं वर्णमधरंगुहाकः |	yenemā viśvā cyavanā kṛtāni yo dāsaṃ varṇamadharaṃghuhākaḥ |	4 By whom this universe was made to tremble, who chased away the humbled brood of demons,
शवघ्नीव यो जिगीवान लक्षमाददर्यः पुष्टानि स. ज. इ. ||	śvaghnīva yo jighīvān lakṣamādadaryaḥ puṣṭāni s. j. i. ||	Who, like a gambler gathering his winnings seized the foe's riches, He, O men, is Indra.
यं समा पर्छन्ति कुह सेति घोरमुतेमाहुर्नैषो अस्तीत्येनम |	yaṃ smā pṛchanti kuha seti ghoramutemāhurnaiṣo astītyenam |	5 Of whom, the Terrible, they ask, Where is He? or verily they say of him, He is not.
सो अर्यः पुष्तीर्विज इवा मिनाति शरदस्मै धत्तस. ज. इ. ||	so aryaḥ puṣtīrvija ivā mināti śradasmai dhattas. j. i. ||	He sweeps away, like birds, the foe's possessions. Have faith in him, for He, O men, is Indra.
यो रध्रस्य चोदिता यः कर्शस्य यो बरह्मणो नाधमानस्यकीरेः |	yo radhrasya coditā yaḥ kṛśasya yo brahmaṇo nādhamānasyakīreḥ |	6 Stirrer to action of the poor and lowly, of priest, of suppliant who sings his praises;
युक्तग्राव्णो यो.अविता सुशिप्रः सुतसोमस्य स. ज. इ. ||	yuktaghrāvṇo yo.avitā suśipraḥ sutasomasya s. j. i. ||	Who, fair-faced, favours him who presses Soma with stones made ready, He, O men, is Indra.
यस्याश्वासः परदिशि यस्य गावो यस्य गरामा यस्य विश्वे रथासः |	yasyāśvāsaḥ pradiśi yasya ghāvo yasya ghrāmā yasya viśve rathāsaḥ |	7 He under whose supreme control are horses, all chariots, and the villages, and cattle;
यः सूर्यं य उषसं जजान यो अपां नेता स. ज. इ. ||	yaḥ sūryaṃ ya uṣasaṃ jajāna yo apāṃ netā s. j. i. ||	He who gave being to the Sun and Morning, who leads the waters, He, O men, is Indra.
यं करन्दसी संयती विह्वयेते परे.अवर उभया अमित्राः |	yaṃ krandasī saṃyatī vihvayete pare.avara ubhayā amitrāḥ |	8 To whom two armies cry in close encounter, both enemies, the stronger and the weaker;
समानं चिद रथमातस्थिवांसा नाना हवेते स. ज. इ. ||	samānaṃ cid rathamātasthivāṃsā nānā havete s. j. i. ||	Whom two invoke upon one chariot mounted, each for himself, He, O ye men, is Indra.
यस्मान न रते विजयन्ते जनासो यं युध्यमाना अवसे हवन्ते |	yasmān na ṛte vijayante janāso yaṃ yudhyamānā avase havante |	9 Without whose help our people never conquer; whom, battling, they invoke to give them succour;
यो विश्वस्य परतिमानं बभूव यो अच्युतच्युत स. ज. इ. ||	yo viśvasya pratimānaṃ babhūva yo acyutacyut s. j. i. ||	He of whom all this world is but the copy, who shakes things moveless, He, O men, is Indra.
यः शश्वतो मह्येनो दधानानमन्यमानाञ्छर्वा जघान |	yaḥ śaśvato mahyeno dadhānānamanyamānāñcharvā jaghāna |	10 He who hath smitten, ere they knew their danger, with his hurled weapon many grievous sinners;
यः शर्धते नानुददाति शर्ध्यां यो दस्योर्हन्तास. ज. इ. ||	yaḥ śardhate nānudadāti śṛdhyāṃ yo dasyorhantās. j. i. ||	Who pardons not his boldness who provokes him, who slays the Dasyu, He, O men, is Indra.
यः शम्बरं पर्वतेषु कषियन्तं चत्वारिंश्यां शरद्यन्वविन्दत |	yaḥ śambaraṃ parvateṣu kṣiyantaṃ catvāriṃśyāṃ śaradyanvavindat |	11 He who discovered in the fortieth autumn Śambara as he dwelt among the mountains;
ओजायमानं यो अहिं जघान दानुं शयानंस. ज. इ. ||	ojāyamānaṃ yo ahiṃ jaghāna dānuṃ śayānaṃs. j. i. ||	Who slew the Dragon putting forth his vigour, the demon lying there, He, men, is Indra.
यः सप्तरश्मिर्व्र्षभस्तुविष्मानवास्र्जत सर्तवे सप्तसिन्धून |	yaḥ saptaraśmirvṛṣabhastuviṣmānavāsṛjat sartave saptasindhūn |	12 Who with seven guiding reins, the Bull, the Mighty, set free the Seven great Floods to flow at pleasure;
यो रौहिणमस्फुरद वज्रबाहुर्द्यामारोहन्तंस. ज. इ. ||	yo rauhiṇamasphurad vajrabāhurdyāmārohantaṃs. j. i. ||	Who, thunder-armed, rent Rauhiṇa in pieces when scaling heaven, He, O ye men, is Indra.
दयावा चिदस्मै पर्थिवी नमेते शुष्माच्चिदस्य पर्वता भयन्ते |	dyāvā cidasmai pṛthivī namete śuṣmāccidasya parvatā bhayante |	13 Even the Heaven and Earth bow down before him, before his very breath the mountains tremble.
यः सोमपा निचितो वज्रबाहुर्यो वज्रहस्तः स. ज. इ. ||	yaḥ somapā nicito vajrabāhuryo vajrahastaḥ s. j. i. ||	Known as the Soma-drinker, armed with thunder, who wields the bolt, He, O ye men, is Indra.
यः सुन्वन्तमवति यः पचन्तं यः शंसन्तं यः शशमानमूती |	yaḥ sunvantamavati yaḥ pacantaṃ yaḥ śaṃsantaṃ yaḥ śaśamānamūtī |	14 Who aids with favour him who pours the Soma and him who brews it, sacrificer, singer.
यस्य बरह्म वर्धनं यस्य सोमो यस्येदं राधः स. ज. इ. ||	yasya brahma vardhanaṃ yasya somo yasyedaṃ rādhaḥ s. j. i. ||	Whom prayer exalts, and pouring forth of Soma, and this our gift, He, O ye men, Is Indra.
यः सुन्वते पचते दुध्र आ चिद वाजं दर्दर्षि स किलासि सत्यः |	yaḥ sunvate pacate dudhra ā cid vājaṃ dardarṣi sa kilāsi satyaḥ |	15 Thou verily art fierce and true who sendest strength to the man who brews and pours libation.
वयं त इन्द्र विश्वह परियासः सुवीरासो विदथमा वदेम ||	vayaṃ ta indra viśvaha priyāsaḥ suvīrāso vidathamā vadema ||	So may we evermore, thy friends, O Indra, speak loudly to the synod with our heroes.

रतुर्जनित्री तस्या अपस परि मक्षू जात आविशद यासु वर्धते |	ṛturjanitrī tasyā apas pari makṣū jāta āviśad yāsu vardhate |	1. THE Season was the parent, and when born therefrom it entered rapidly the floods wherein it grows.
तदाहना अभवत पिप्युषी पयो.अंशोः पीयूषं परथमं तदुक्थ्यम ||	tadāhanā abhavat pipyuṣī payo.aṃśoḥ pīyūṣaṃ prathamaṃ tadukthyam ||	Thence was it full of sap, streaming with milky juice: the milk of the plant's stalk is chief and meet for lauds.
सध्रीमा यन्ति परि बिभ्रतीः पयो विश्वप्स्न्याय पर भरन्त भोजनम |	sadhrīmā yanti pari bibhratīḥ payo viśvapsnyāya pra bharanta bhojanam |	2 They come trooping together bearing milk to him, and bring him sustenance who gives support to all.
समानो अध्वा परवतामनुष्यदे यस्ताक्र्णोः परथमं सास्युक्थ्यः ||	samāno adhvā pravatāmanuṣyade yastākṛṇoḥ prathamaṃ sāsyukthyaḥ ||	The way is common for the downward streams to flow. Thou who didst these things first art worthy of our lauds.
अन्वेको वदति यद ददाति तद रूपा मिनन तदपा एक ईयते |	anveko vadati yad dadāti tad rūpā minan tadapā eka īyate |	3 One priest announces what the institutor gives: one, altering the forms, zealously plies his task,
विश्वा एकस्य विनुदस्तितिक्षते यस्ताक्र... ||	viśvā ekasya vinudastitikṣate yastākṛ... ||	The third corrects the imperfections left by each. Thou who didst these things first art worthy of our lauds.
परजाभ्यः पुष्टिं विभजन्त आसते रयिमिव पर्ष्ठं परभवन्तमायते |	prajābhyaḥ puṣṭiṃ vibhajanta āsate rayimiva pṛṣṭhaṃ prabhavantamāyate |	4 Dealing out food unto their people there they sit, like wealth to him who comes, more than the back can bear.
असिन्वन दंष्ट्रैः पितुरत्ति भोजनं यस्ताक्र... ||	asinvan daṃṣṭraiḥ pituratti bhojanaṃ yastākṛ... ||	Greedily with his teeth he eats the master's food. Thou who didst these things first art worthy of our lauds.
अधाक्र्णोः पर्थिवीं सन्द्र्शे दिवे यो धौतीनामहिहन्नारिणक पथः |	adhākṛṇoḥ pṛthivīṃ sandṛśe dive yo dhautīnāmahihannāriṇak pathaḥ |	5 Thou hast created earth to look upon the sky: thou, slaying Ahi, settest free the river's paths.
तं तवा सतोमेभिरुदभिर्न वाजिनं देवं देवा अजनन सास्युक्थ्यः ||	taṃ tvā stomebhirudabhirna vājinaṃ devaṃ devā ajanan sāsyukthyaḥ ||	Thee, such, a God, the Gods have quickened with their lauds, even as a steed with waters: meet for praise art thou.
यो भोजनं च दयसे च वर्धनमार्द्रादा शुष्कं मधुमद दुदोहिथ |	yo bhojanaṃ ca dayase ca vardhanamārdrādā śuṣkaṃ madhumad dudohitha |	6 Thou givest increase, thou dealest to us our food: thou milkest from the moist the dry, the rich in sweets.
स शेवधिं नि दधिषे विवस्वति विश्वस्यैक ईशिषे सास्यु. ||	sa śevadhiṃ ni dadhiṣe vivasvati viśvasyaika īśiṣe sāsyu. ||	Thou by the worshipper layest thy precious store: thou art sole Lord of all. Meet for our praise art thou.
यः पुष्पिणीश्च परस्वश्च धर्मणाधि दाने वयवनीरधारयः |	yaḥ puṣpiṇīśca prasvaśca dharmaṇādhi dāne vyavanīradhārayaḥ |	7 Thou who hast spread abroad the streams by stablished law, and in the field the plants that blossom and bear seed;
यश्चासमा अजनो दिद्युतो दिव उरुरूर्वानभितः स. उ. ||	yaścāsamā ajano didyuto diva ururūrvānabhitaḥ s. u. ||	Thou who hast made the matchless lightnings of the sky,—vast, compassing vast realms, meet for our praise art thou.
यो नार्मरं सहवसुं निहन्तवे पर्क्षाय च दासवेशाय चावहः |	yo nārmaraṃ sahavasuṃ nihantave pṛkṣāya ca dāsaveśāya cāvahaḥ |	8 Who broughtest Nārmara with all his wealth, for sake of food, to slay him that the fiends might be destroyed,
ऊर्जयन्त्या अपरिविष्टमास्यमुतैवाद्य पुरुक्र्त्स. उ. ||	ūrjayantyā apariviṣṭamāsyamutaivādya purukṛts. u. ||	Broughtest the face unclouded of the strengthening one, performing much even now, worthy art thou of praise.
शतं वा यस्य दश साकमाद्य एकस्य शरुष्टौ यद धचोदमाविथ |	śataṃ vā yasya daśa sākamādya ekasya śruṣṭau yad dhacodamāvitha |	9 Thou boundest up the Dāsa's hundred friends and ten, when, at one's hearing, thou helpest thy worshipper.
अरज्जौ दस्यून समुनब दभीतये सुप्राव्योभवः स. उ. ||	arajjau dasyūn samunab dabhītaye suprāvyoabhavaḥ s. u. ||	Thou for Dabhīti boundest Dasyus not with cords; Thou wast a mighty help. Worthy of lauds art thou.
विश्वेदनु रोधना अस्य पौंस्यं ददुरस्मै दधिरे कर्त्नवे धनम |	viśvedanu rodhanā asya pauṃsyaṃ dadurasmai dadhire kṛtnave dhanam |	10 All banks of rivers yielded to his manly might; to him they gave, to him, the Strong, gave up their wealth.
षळ अस्तभ्ना विष्टिरः पञ्च सन्द्र्शः परिपरो अभवः स. उ. ||	ṣaḷ astabhnā viṣṭiraḥ pañca sandṛśaḥ pariparo abhavaḥ s. u. ||	The six directions hast thou fixed, a five-fold view: thy victories reached afar. Worthy of lauds art thou.
सुप्रवाचनं तव वीर वीर्यं यदेकेन करतुना विन्दसे वसु |	supravācanaṃ tava vīra vīryaṃ yadekena kratunā vindase vasu |	11 Meet for high praise, O Hero, is thy power, that with thy single wisdom thou obtainest wealth,
जातूष्ठिरस्य पर वयः सहस्वतो या चकर्थ सेन्द्र विश्वास्युक्थ्यः ||	jātūṣṭhirasya pra vayaḥ sahasvato yā cakartha sendra viśvāsyukthyaḥ ||	The life-support of conquering Jātūṣṭhira. Indra, for all thy deeds, worthy of lauds art thou.
अरमयः सरपसस्तराय कं तुर्वीतये च वय्याय च सरुतिम |	aramayaḥ sarapasastarāya kaṃ turvītaye ca vayyāya ca srutim |	12 Thou for Turvīti heldest still the flowing floods, the river-stream for Vayya easily to pass
नीचा सन्तमुदनयः पराव्र्जं परान्धं शरोणं शरवयन स. उ. ||	nīcā santamudanayaḥ parāvṛjaṃ prāndhaṃ śroṇaṃ śravayan s. u. ||	Didst raise the outcast from the depths, and gavest fame unto the halt and blind. Worthy of lauds art thou.
अस्मभ्यं तद वसो दानाय राधः समर्थयस्व बहु ते वसव्यम |	asmabhyaṃ tad vaso dānāya rādhaḥ samarthayasva bahu te vasavyam |	13 Prepare thyself to grant us that great bounty, O Vasu, for abundant is thy treasure.
इन्द्र यच्चित्रं शरवस्या अनु दयून बर्हद वदेम व. स. ||	indra yaccitraṃ śravasyā anu dyūn bṛhad vadema v. s. ||	Snatch up the wonderful, O Indra, daily. Loud may we speak, with heroes, in assembly.

विश्वजिते धनजिते सवर्जिते सत्राजिते नर्जित उर्वराजिते |	viśvajite dhanajite svarjite satrājite nṛjita urvarājite |	1. To him the Lord of all, the Lord of wealth, of light; him who is Lord for ever, Lord of men and tilth,
अश्वजिते गोजिते अब्जिते भरेन्द्राय सोमं यजताय हर्यतम ||	aśvajite ghojite abjite bharendrāya somaṃ yajatāya haryatam ||	Him who is Lord of horses, Lord of kine, of floods, to Indra, to the Holy bring sweet Soma juice.
अभिभुवे.अभिभङगाय वन्वते.अषाळ्हाय सहमानाय वेधसे |	abhibhuve.abhibhaṅghāya vanvate.aṣāḷhāya sahamānāya vedhase |	2 To him the potent One, who conquers and breaks down, the Victor never vanquished who disposes all,
तुविग्रये वह्नये दुष्टरीतवे सत्रासाहे नम इन्द्राय वोचत ||	tuvighraye vahnaye duṣṭarītave satrāsāhe nama indrāya vocata ||	The mighty-voiced, the rider, unassailable, to Indra everconquering speak your reverent prayer.
सत्रासाहो जनभक्षो जनंसहश्च्यवनो युध्मो अनु जोषमुक्षितः |	satrāsāho janabhakṣo janaṃsahaścyavano yudhmo anu joṣamukṣitaḥ |	3 Still Victor, loved by mortals, ruler over men, o’erthrower, warrior, he hath waxen as he would;
