Adhyaya	Brahmana	Text_no	Hymn
2	4	10	'As clouds of smoke proceed by themselves out of a lighted fire kindled with damp fuel, thus, verily, O Maitreyî, has been breathed forth from this great Being what we have as Rig-veda, Yagur-veda, Sama-veda, Atharvâṅgirasas, Itihâsa (legends), Purâna (cosmogonies), Vidyâ (knowledge), the Upanishads, Slokas (verses), Sûtras (prose rules), Anuvyâkhyânas (glosses), Vyâkhyânas (commentaries) . From him alone all these were breathed forth.
2	4	11	'As all waters find their centre in the sea, all touches in the skin, all tastes in the tongue, all smells in the nose, all colours in the eye, all sounds in the ear, all percepts in the mind, all knowledge in the heart, all actions in the hands, all movements in the feet, and all the Vedas in speech,--
2	4	12	'As a lump of salt , when thrown into water, becomes dissolved into water, and could not be takenout again, but wherever we taste (the water) it is salt,--thus verily, O Maitreyî, does this great Being, endless, unlimited, consisting of nothing but knowledge , rise from out these elements, and vanish again in them. When he has departed, there is no more knowledge (name), I say, O Maitreyî.' Thus spoke Yâgñavalkya.
2	4	13	Then Maitreyî said: 'Here thou hast bewildered me, Sir, when thou sayest that having departed, there is no more knowledge .'But Yâgñavalkya replied: 'O Maitreyî, I say nothing that is bewildering. This is enough, O beloved, for wisdom .'For when there is as it were duality, then one sees the other, one smells the other, one hears the other , one salutes the other , one perceives the other , one knows the other; but when the Self only is all this, how should he smell another , how should he see  another , how should he hear  another, how should he salute  another, how should he perceive another , how should he know another? How should he know Him by whom he knows all this?[paragraph continues] How, O beloved, should he know (himself), the Knower ?'
2	5	1	This earth is the honey  (madhu, the effect) of all beings, and all beings are the honey (madhu, the effect) of this earth. Likewise this bright, immortal person in this earth, and that bright immortal person incorporated in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	2	This water is the honey of all beings, and all beings are the honey of this water. Likewise this bright, immortal person in this water, and that bright, immortal person, existing as seed in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	3	This fire is the honey of all beings, and all beings are the honey of this fire. Likewise this bright, immortal person in this fire, and that bright, immortal person, existing as speech in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	4	This air is the honey of all beings, and all beings are the honey of this air. Likewise this bright, immortal person in this air, and that bright, immortal person existing as breath in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	5	This sun is the honey of all beings, and all beings are the honey of this sun. Likewise this bright, immortal person in this sun, and that bright, immortal person existing as the eye in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	6	This space (disah, the quarters) is the honey of all beings, and all beings are the honey of this space. Likewise this bright, immortal person in this space, and that bright, immortal person existing as the ear in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	7	This moon is the honey of all beings, and all beings are the honey of this moon. Likewise this bright, immortal person in this moon, and that bright, immortal person existing as mind in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	8	This lightning is the honey of all beings, and all beings are the honey of this lightning. Likewise this bright, immortal person in this lightning, andthat bright, immortal person existing as light in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	9	This thunder  is the honey of all beings, and all beings are the honey of this thunder. Likewise this bright, immortal person in this thunder, and that bright, immortal person existing as sound and voice in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	10	This ether is the honey of all beings, and all beings are the honey of this ether. Likewise this bright, immortal person in this ether, and that bright, immortal person existing as heart-ether in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	11	This law (dharmah) is the honey of all beings, and all beings are the honey of this law. Likewise this bright, immortal person in this law, and that bright, immortal person existing as law in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	12	This true  (satyam) is the honey of all beings, and all beings are the honey of this true. Likewise this bright, immortal person in what is true, and that bright, immortal person existing as the true in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	13	This mankind is the honey of all beings, and all beings are the honey of this mankind. Likewisethis bright, immortal person in mankind, and that bright, immortal person existing as man in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	14	This Self is the honey of all beings, and all beings are the honey of this Self Likewise this bright, immortal person in this Self, and that bright, immortal person, the Self (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All.
2	5	15	And verily this Self is the lord of all beings, the king of all beings. And as all spokes are contained in the axle and in the felly of a wheel, all beings, and all those selfs (of the earth, water, &c.) are contained in that Self.
2	5	16	Verily Dadhyak Âtharvana proclaimed this honey (the madhu-vidyâ) to the two Asvins, and a Rishi, seeing this, said (Rv. I, 116, 12):'O ye two heroes (Asvins), I make manifest that fearful deed of yours (which you performed) for the sake of gain , like as thunder  makes manifest the rain. The honey (madhu-vidyâ) which Dadhyak Âtharvana proclaimed to you through the head of a horse,' . . .
2	5	17	Verily Dadhyak Âtharvana  proclaimed this honey to the two Asvins, and a Rishi, seeing this, said (Rv. I, 117, 22):'O Asvins, you fixed a horse's head on Âtharvana Dadhyak, and he, wishing to be true (to his promise),proclaimed to you the honey, both that of Tvashtri  and that which is to be your secret, O ye strong ones.
2	5	18	Verily Dadhyak Âtharvana proclaimed this honey to the two Asvins, and a Rishi, seeing this, said:'He (the Lord) made bodies with two feet, he made bodies with four feet. Having first become a bird, he entered the bodies as purusha (as the person).' This very purusha is in all bodies the purisaya, i.e. he who lies in the body (and is therefore called purusha). There is nothing that is not covered by him, nothing that is not filled by him.
2	5	19	Verily Dadhyak Âtharvana proclaimed this honey to the two Asvins, and a Rishi, seeing this, said (Rv. VI, 47, 18):'He (the Lord) became like unto every form , and this is meant to reveal the (true) form of him (the Âtman). Indra (the Lord) appears multiform through the Mâyâs (appearances), for his horses (senses) are yoked, hundreds and ten.'This (Âtman) is the horses, this (Âtman) is the ten, and the thousands, many and endless. This is the Brahman, without cause and without effect, without anything inside or outside; this Self is Brahman, omnipresent and omniscient. This is the teaching (of the Upanishads).
2	6	1	Now follows the stem :1 . Pautimâshya from Gaupavana,
2	6	2	Gaupavana from Pautimâshya,
2	6	3	Pautimâshya from Gaupavana,
2	6	4	Gaupavana from Kausika,
2	6	5	Kausika from Kaundinya,
2	6	6	Kaundinya from Sândilya,
2	6	7	Sândilya from Kausika and Gautama,
2	6	8	Gautama2. from Âgnivesya,
2	6	9	Âgnivesya from Sândilya and Ânabhimlâta,
2	6	10	Sândilya and Ânabhimlâta from Ânabhimlâta,
2	6	11	Ânabhimlâta from Ânabhimlâta,
2	6	12	Ânabhimlâta from Gautama,
2	6	13	Gautama from Saitava and Prâkînayogya,
2	6	14	Saitava and Prâkînayogya from Pârasarya,
2	6	15	Pârasarya from Bhâradvâga,
2	6	16	Bhâradvâga from Bhâradvâga and Gautama,
2	6	17	Gautama from Bharadvâga,
2	6	18	Bharadvâga from Pârâsarya,
2	6	19	Pârâsarya from Vaigavâpâyana,
2	6	20	Vaigavâpâyana from Kausikâyani, 21 . Kausikâyani3. from Ghritakausika,
2	6	21	Ghritakausika from Pârâsaryâyana,
2	6	22	Pârâsaryâyana from Pârâsarya,
2	6	23	Pârâsarya from Gâtûkarnya ,
2	6	24	Gâtûkarnya from Âsurâyana and Yâska ,
2	6	25	Âsurâyana and Yâska from Traivani,
2	6	26	Traivani from Aupagandhani,
2	6	27	Aupagandhani from Âsuri,
2	6	28	Âsuri from Bhâradvâga,
2	6	29	Bhâradvâga from Âtreya,
2	6	30	Âtreya from Mânti,
2	6	31	Mânti from Gautama, 33, Gautama from Gautama,
2	6	32	Gautama from Vâtsya,
2	6	33	Vâtsya from Sândilya,
2	6	34	Sândilya from Kaisorya Kâpya,
2	6	35	Kaisorya Kâpya from Kumârahârita,
2	6	36	Kumârahârita from Gâlava,
2	6	37	Gâlava from Vidarbhî-kaundinya,
2	6	38	Vidarbhî-kaundinya from Vatsanapât Bâbhrava,
2	6	39	Vatsanapât Bâbhrava from Pathi Saubhara,
2	6	40	Pathi Saubhara from Ayâsya Âṅgirasa,
2	6	41	Ayâsya Âṅgirasa from Âbhûti Tvâshtra,
2	6	42	Âbhûti Tvâshtra from Visvarûpa Tvâshtra,
2	6	43	Visvarûpa Tvâshtra from Asvinau,
2	6	44	Asvinau from Dadhyak Âtharvana,
2	6	45	Dadhyak Âtharvana from Atharvan Daiva,
2	6	46	Atharvan Daiva from Mrityu Prâdhvamsana,
2	6	47	Mrityu Prâdhvamsana from Prâdhvamsana,
2	6	48	Prâdhvamsana from Ekarshi,
2	6	49	Ekarshi from Viprakitti ,
2	6	50	Viprakitti from Vyashti,
2	6	51	Vyashti from Sanâru,
2	6	52	Sanâru from Sanâtana,
2	6	53	Sanâtana from Sanaga,
2	6	54	Sanaga from Parameshthin,
2	6	55	Parameshthin from Brahman,
2	6	56	Brahman is Svayambhu, self-existent. Adoration to Brahman .
3	1	1	Adoration to the Highest Self (Paramâtman)!
3	1	2	Ganaka Vaideha (the king of the Videhas) sacrificed with a sacrifice at which many presents were offered to the priests of (the Asvamedha). Brâhmanas of the Kurus and the Pâñkâlas had come thither, and Ganaka Vaideha wished to know, which of those Brâhmanas was the best read. So he enclosed a thousand cows, and ten pâdas (of gold)  were fastened to each pair of horns.
3	1	3	And Ganaka spoke to them: 'Ye venerable Brâhmanas, he who among you is the wisest, let him drive away these cows.'Then those Brâhmanas durst not, but Yâgñavalkya said to his pupil: 'Drive them away, my dear.'He replied: 'O glory of the Sâman ' and drove them away.The Brâhmanas became angry and said: 'How could he call himself the wisest among us?'Now there was Asvala, the Hotri priest of Ganaka Vaideha. He asked him: 'Are you indeed thewisest among us, O Yâgñavalkya?' He replied: 'I bow before the wisest (the best knower of Brahman), but I wish indeed to have these cows.'Then Asvala, the Hotri priest, undertook to question him.
3	1	4	'Yâgñavalkya, he said, 'everything here (connected with the sacrifice) is reached by death, everything is overcome by death. By what means then is the sacrificer freed beyond the reach of death?'Yâgñavalkya said: 'By the Hotri priest, who is Agni (fire), who is speech. For speech is the Hotri of the sacrifice (or the sacrificer), and speech is Agni, and he is the Hotri. This constitutes freedom, and perfect freedom (from death).'
3	1	5	'Yâgñavalkya,' he said, 'everything here is reached by day and night, everything is overcome by day and night. By what means then is the sacrificer freed beyond the reach of day and night?'Yâgñavalkya said: 'By the Adhvaryu priest, who is the eye, who is Âditya (the sun) . For the eye is the Adhvaryu of the sacrifice, and the eye is the sun, and he is the Adhvaryu. This constitutes freedom, and perfect freedom.'
3	1	6	'Yâgñavalkya,' he said, 'everything here is reached by the waxing and waning of the moon, everything is overcome by the waxing and waning of the moon. By what means then is the sacrificer freed beyond the reach of the waxing and waning of the moon?'Yâgñavalkya said: 'By the Udgâtri priest, who is Vâyu (the wind), who is the breath. For thebreath is the Udgâtri of the sacrifice, and the breath is the wind, and he is the Udgâtri. This constitutes freedom, and perfect freedom.'
3	1	7	'Yâgñavalkya,' he said, 'this sky is, as it were, without an ascent (staircase.) By what approach does the sacrificer approach the Svarga world?'Yâgñavalkya said: 'By the Brahman priest, who is the mind (manas), who is the moon. For the mind is the Brahman of the sacrifice, and the mind is the moon, and he is the Brahman. This constitutes freedom, and perfect freedom. These are the complete deliverances (from death).'Next follow the achievements.
3	1	8	'Yâgñavalkya,' he said, 'how many Rik verses will the Hotri priest employ to-day at this sacrifice?''Three,' replied Yâgñavalkya.'And what are these three?''Those which are called Puronuvâkyâ, Yâgyâ, and, thirdly, Sasyâ .''What does he gain by them?''All whatsoever has breath.'
3	1	9	'Yâgñavalkya,' he said, 'how many oblations (âhuti) will the Adhvaryu priest employ to-day at this sacrifice?''Three,' replied Yâgñavalkya.'And what are these three?''Those which, when offered, flame up; those which, when offered, make an excessive noise; and those which, when offered, sink down .''What does he gain by them?''By those which, when offered, flame up, he gains the Deva (god) world, for the Deva world flames up, as it were. By those which, when offered, make an excessive noise, he gains the Pitri (father) world, for the Pitri world is excessively (noisy) . By those which, when offered, sink down, he gains the Manushya (man) world, for the Manushya world is, as it were, down below.'
3	1	10	'Yâgñavalkya,' he said, 'with how many deities does the Brahman priest on the right protect to-day this sacrifice?''By one,' replied Yâgñavalkya.'And which is it?''The mind alone; for the mind is endless, and the Visvedevas are endless, and he thereby gains the endless world.'
3	1	11	'Yâgñavalkya,' he said, 'how many Stotriyâ hymns will the Udgâtri priest employ to-day at this sacrifice?''Three,' replied Yâgñavalkya.'And what are these three?''Those which are called Puronuvâkyâ, Yâgyâ, and, thirdly, Sasyâ.''And what are these with regard to the body (adhyâtmam)?''The Puronuvâkyâ is Prâna (up-breathing), the Yâgyâ the Apâna (down-breathing), the Sasyâ the Vyâna (back-breathing).''What does he gain by them?''He gains the earth by the Puronuvâkyâ, the sky by the Yâgyâ, heaven by the Sasyâ.'After that Asvala held his peace.
3	2	1	Then Gâratkârava Ârtabhâga  asked. 'Yâgñavalkya,' he said, 'how many Grahas are there, and how many Atigrahas ?''Eight Grahas,' he replied,' and eight Atigrahas.''And what are these eight Grahas and eight Atigrahas?'
3	2	2	'Prâna (breath) is one Graha, and that is seized by Apâna (down-breathing) as the Atigrâha , for one smells with the Apâna.'
3	2	3	'Speech (vâk) is one Graha, and that is seized by name (nâman) as the Atigrâha, for with speech one pronounces names.
3	2	4	'The tongue is one Graha, and that is seized by taste as the Atigrâha, for with the tongue one perceives tastes.'
3	2	5	'The eye is one Graha, and that is seized by form as the Atigrâha, for with the eye one sees forms.'
3	2	6	'The ear is one Graha, and that is seized by sound as the Atigrâha, for with the ear one hears sounds.'
3	2	7	'The mind is one Graha, and that is seized bydesire as the Atigrâha, for with the mind one desires desires.'
3	2	8	'The arms are one Graha, and these are seized by work as the Atigrâha, for with the arms one works work.'
3	2	9	'The skin is one Graha, and that is seized by touch as the Atigrâha, for with the skin one perceives touch. These are the eight Grahas and the eight Atigrahas.'
3	2	10	'Yâgñavalkya,' he said, 'everything is the food of death. What then is the deity to whom death is food?''Fire (agni) is death, and that is the food of water. Death is conquered again.'
3	2	11	'Yâgñavalkya,' he said, 'when such a person (a sage) dies, do the vital breaths (prânas) move out of him or no?''No,' replied Yâgñavalkya; 'they are gathered up in him, he swells, he is inflated, and thus inflated the dead lies at rest.'
3	2	12	'Yâgñavalkya,' he said, 'when such a man dies, what does not leave him?''The name,' he replied; 'for the name is endless, the Visvedevas are endless, and by it he gains the endless world.'
3	2	13	'Yâgñavalkya,' he said,' when the speech of this dead person enters into the fire , breath into the air, the eye into the sun, the mind into the moon, the hearing into space, into the earth the body, into the ether the self, into the shrubs the hairs of the body, into the trees the hairs of the head, when theblood and the seed are deposited in the water, where is then that person?'Yâgñavalkya said: 'Take my hand, my friend. We two alone shall know of this; let this question of ours not be (discussed) in public.' Then these two went out and argued, and what they said was karman (work), what they praised was karman , viz. that a man becomes good by good work, and bad by bad work. After that Gâratkârava Ârtabhâga held his peace.
3	3	1	Then Bhugyu Lâhyâyani asked. 'Yâgñavalkya,' he said, 'we wandered about as students , and came to the house of Patañkala Kâpya. He had a daughter who was possessed by a Gandharva. We asked him, 'Who art thou?' and he (the Gandharva) replied: 'I am Sudhanvan, the Âṅgirasa.' And when we asked him about the ends of the world, we said to him, 'Where were the Pârikshitas ? Where then were the Pârikshitas, I ask thee, Yâgñavalkya, where were the Pârikshitas?'
3	3	2	Yâgñavalkya said: 'He said to thee, I suppose, that they went where those go who have performed a horse-sacrifice.'He said: 'And where do they go who have performed a horse-sacrifice?'Yâgñavalkya replied: 'Thirty-two journeys of the car of the sun is this world. The earth surrounds it on every side, twice as large, and the ocean surrounds this earth on every side, twice as large. Now there is between  them a space as large as the edge of a razor or the wing of a mosquito. Indra, having become a bird, handed them (through the space) to Vâyu (the air), and Vâyu (the air), holding them within himself, conveyed them to where they dwell who have performed a horse-sacrifice. Somewhat in this way did he praise Vâyu indeed. Therefore Vâyu (air) is everything by itself, and Vâyu is all things together. He who knows this, conquers death.' After that Bhugyu Lâhyâyani held his peace.
3	4	1	Then Ushasta Kâkrâyana asked. 'Yâgñavalkya,' he said, 'tell me the Brahman which is visible, not invisible , the Self (âtman), who is within all.'Yâgñavalkya replied: 'This, thy Self, who is within all.''Which Self, O Yâgñavalkya, is within all?'Yâgñavalkya replied: 'He who breathes in the up-breathing, he is thy Self, and within all. He who breathes in the down-breathing, he is thy Self, and within all. He who breathes in the on-breathing, he is thy Self, and within all. He who breathes inthe out-breathing, he is thy Self, and within all. This is thy Self, who is within all.'
3	4	2	Ushasta Kâkrâyana said: 'As one might say, this is a cow, this is a horse, thus has this been explained by thee. Tell me the Brahman which is visible, not invisible, the Self, who is within all.'Yâgñavalkya replied: 'This, thy Self, who is within all.''Which Self, O Yâgñavalkya, is within all?'Yâgñavalkya replied: 'Thou couldst not see the (true) seer of sight, thou couldst not hear the (true) hearer of hearing, nor perceive the perceiver of perception, nor know the knower of knowledge. This is thy Self, who is within all. Everything also is of evil.' After that Ushasta Kâkrâyana held his peace.
3	5	1	Then Kahola Kaushîtakeya asked. 'Yâgñavalkya, 'he said, 'tell me the Brahman which is visible, not invisible, the Self (Âtman), who is within all.'Yâgñavalkya replied: 'This, thy Self, who is within all.''Which Self, O Yâgñavalkya, is within all?'Yâgñavalkya replied: 'He who overcomes hunger and thirst, sorrow, passion, old age, and death. When Brâhmanas know that Self, and have risen above the desire for sons , wealth, and (new) worlds , they wander about as mendicants. For a desire for sons is desire for wealth, a desire for wealth is desire for worlds. Both these are indeed desires. Therefore let a Brâhmana, after he has done with learning,wish to stand by real strength ; after he has done with that strength and learning, he becomes a Muni (a Yogin); and after he has done with what is not the knowledge of a Muni, and with what is the knowledge of a Muni, he is a Brâhmana. By whatever means he has become a Brâhmana, he is such indeed . Everything else is of evil.' After that Kahola Kaushîtakeya held his peace.
3	6	1	Then Gârgî Vâkaknavî asked. 'Yâgñavalkya,' she said, 'everything here is woven, like warp and woof, in water. What then is that in which water is woven, like warp and woof?''In air, O Gârgî,' he replied.'In what then is air woven, like warp and woof?''In the worlds of the sky, O Gârgî, 'he replied.'In what then are the worlds of the sky woven, like warp and woof?''In the worlds of the Gandharvas, O Gârgî,' he replied.'In what then are the worlds of the Gandharvas woven, like warp and woof?''In the worlds of Âditya (sun), O Gârgî,' he replied.'In what then are the worlds of Âditya (sun) woven, like warp and woof?''In the worlds of Kandra (moon), O Gârgî,' he replied.'In what then are the worlds of Kandra (moon) woven, like warp and woof?', In the worlds of the Nakshatras (stars), O Gârgî,' he replied.'In what then are the worlds of the Nakshatras (stars) woven, like warp and woof?''In the worlds of the Devas (gods), O Gârgî,' he replied.'In what then are the worlds of the Devas (gods) woven, like warp and woof?''In the worlds of Indra, O Gârgî,' he replied.'In what then are the worlds of Indra woven, like warp and woof?''In the worlds of Pragâpati, O Gârgî,' he replied.'In what then are the worlds of Pragâpati woven, like warp and woof?''In the worlds of Brahman, O Gârgî,' he replied.'In what then are the worlds of Brahman woven, like warp and woof?'Yâgñavalkya said: 'O Gârgî, Do not ask too much, lest thy head should fall off. Thou askest too much about a deity about which we are not to ask too much . Do not ask too much, O Gârgî.' After that Gargî Vâkaknavî held her peace.
3	7	1	Then Uddâlaka Âruni  asked. 'Yâgñavalkya,' he said, 'we dwelt among the Madras in the houses of Patañkala Kâpya, studying the sacrifice. His wife was possessed of a Gandharva, and we asked him: "Who art thou?" He answered: "I am Kabandha Âtharvana." And he said to Patañkala Kâpya and to (us) students: "Dost thou know, Kâpya, that thread by which this world and the other world, and all beings are strung together?" And Patañkala Kâpya replied: "I do not know it, Sir." He said again to Patañkala Kâpya and to (us) students: "Dost thou know, Kâpya, that puller (ruler) within (antaryâmin), who within pulls (rules) this world and the other world and all beings?" And Patañkala Kâpya replied: "I do not know it, Sir." He said again to Patañkala Kâpya and to (us) students: "He, O Kâpya, who knows that thread and him who pulls (it) within, he knows Brahman, he knows the worlds, he knows the Devas, he knows the Vedas, he knows the Bhûtas (creatures), he knows the Self, he knows everything." Thus did he (the Gandharva) say to them, and I know it. If thou, O Yâgñavalkya, without knowing that string and the puller within, drivest away those Brahma-cows (the cows offered as a prize to him who best knows Brahman), thy head will fall off.'Yâgñavalkya said: 'O Gautama, I believe I know that thread and the puller within.'The other said: 'Anybody may say, I know, I know. Tell what thou knowest.'
3	7	2	Yâgñavalkya said: 'Vâyu (air) is that thread, O Gautama. By air, as by a thread, O Gautama, this world and the other world, and all creatures are strung together. Therefore, O Gautama, people say of a dead person that his limbs have become unstrung; for by air, as by a thread, O Gautama, they were strung together.'The other said: 'So it is, O Yâgñavalkya. Tell now (who is) the puller within.'
3	7	3	Yâgñavalkya said: 'He who dwells in the earth, and within the earth , whom the earth does not know, whose body the earth is, and who pulls (rules) the earth within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	4	'He who dwells in the water, and within the water, whom the water does not know, whose body the water is, and who pulls (rules) the water within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	5	'He who dwells in the fire, and within the fire, whom the fire does not know, whose body the fire is, and who pulls (rules) the fire within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	6	'He who dwells in the sky, and within the sky, whom the sky does not know, whose body the sky is, and who pulls (rules) the sky within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	7	'He who dwells in the air (vâyu), and within the air, whom the air does not know, whose body theair is, and who pulls (rules) the air within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	8	'He who dwells in the heaven (dyu), and within the heaven, whom the heaven does not know, whose body the heaven is, and who pulls (rules) the heaven within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	9	'He who dwells in the sun (Âditya), and within the sun, whom the sun does not know, whose body the sun is, and who pulls (rules) the sun within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	10	'He who dwells in the space (disah), and within the space, whom the space does not know, whose body the space is, and who pulls (rules) the space within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	11	'He who dwells in the moon and stars (kandra-târakam), and within the moon and stars, whom the moon and stars do not know, whose body the moon and stars are, and who pulls (rules) the moon and stars within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	12	'He who dwells in the ether (âkâsa), and within the ether, whom the ether does not know, whose body the ether is, and who pulls (rules) the ether within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	13	'He who dwells in the darkness (tamas), and within the darkness, whom the darkness does not know, whose body the darkness is, and who pulls (rules) the darkness within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	14	'He who dwells in the light (tegas), and within the light, whom the light does not know, whosebody the light is, and who pulls (rules) the light within, he is thy Self, the puller (ruler) within, the immortal.'So far with respect to the gods (adhidaivatam); now with respect to beings (adhibhûtam).
3	7	15	Yâgñavalkya said: 'He who dwells in all beings, and within all beings, whom all beings do not know, whose body all beings are, and who pulls (rules) all beings within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	16	'He who dwells in the breath (prâna), and within the breath, whom the breath does not know, whose body the breath is, and who pulls (rules) the breath within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	17	'He who dwells in the tongue (vâk), and within the tongue, whom the tongue does not know, whose body the tongue is, and who pulls (rules) the tongue within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	18	'He who dwells in the eye, and within the eye, whom the eye does not know, whose body the eye is, and who pulls (rules) the eye within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	19	'He who dwells in the ear, and within the ear, whom the ear does not know, whose body the ear is, and who pulls (rules) the ear within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	20	'He who dwells in the mind, and within the mind, whom the mind does not know, whose body the mind is, and who pulls (rules) the mind within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	21	'He who dwells in the skin, and within the skin, whom the skin does not know, whose body theskin is, and who pulls (rules) the skin within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	22	'He who dwells in knowledge , and within knowledge, whom knowledge does not know, whose body knowledge is, and who pulls (rules) knowledge within, he is thy Self, the puller (ruler) within, the immortal.'
3	7	23	'He who dwells in the seed, and within the seed, whom the seed does not know, whose body the seed is, and who pulls (rules) the seed within, he is thy Self, the puller (ruler) within, the immortal; unseen, but seeing; unheard, but hearing; unperceived, but perceiving; unknown, but knowing. There is no other seer but he, there is no other hearer but he, there is no other perceiver but he, there is no other knower but he. This is thy Self, the ruler within, the immortal. Everything else is of evil.' After that Uddâlaka Âruni held his peace.
3	8	1	Then Vâkaknavî  said: 'Venerable Brâhmanas, I shall ask him two questions. If he will answer them, none of you, I think, will defeat him in any argument concerning Brahman.'Yâgñavalkya said: 'Ask, O Gârgî.'
3	8	2	She said: 'O Yâgñavalkya, as the son of a warrior from the Kâsîs or Videhas might string his loosened bow, take two pointed foe-piercing arrows in his hand and rise to do battle, I have risen tofight thee with two questions. Answer me these questions.'Yâgñavalkya said: 'Ask, O Gârgî.'
3	8	3	She said: 'O Yâgñavalkya, that of which they say that it is above the heavens, beneath the earth, embracing heaven and earth , past, present, and future, tell me in what is it woven, like warp and woof?'
3	8	4	Yâgñavalkya said: 'That of which they say that it is above the heavens, beneath the earth, embracing heaven and earth, past, present, and future, that is woven, like warp and woof, in the ether (âkâsa).'
3	8	5	She said: 'I bow to thee, O Yâgñavalkya, who hast solved me that question. Get thee ready for the second.'Yâgñavalkya said : 'Ask, O Gârgî.'
3	8	6	She said: 'O Yâgñavalkya, that of which they say that it is above the heavens, beneath the earth, embracing heaven and earth, past, present, and future, tell me in what is it woven, like warp and woof?'
3	8	7	Yâgñavalkya said: 'That of which they say that it is above the heavens, beneath the earth, embracing heaven and earth, past, present, and future, that is woven, like warp and woof, in the ether.'Gârgî said: 'In what then is the ether woven, like warp and woof?'
3	8	8	He said: 'O Gârgî, the Brâhmanas call this the Akshara (the imperishable). It is neither coarse nor fine, neither short nor long, neither red (like fire) nor fluid (like water); it is without shadow, without darkness, without air, without ether, withoutattachment , without taste, without smell, without eyes, without ears, without speech, without mind, without light (vigour), without breath, without a mouth (or door), without measure, having no within and no without, it devours nothing, and no one devours it.'
3	8	9	'By the command of that Akshara (the imperishable), O Gârgî, sun and moon stand apart . By the command of that Akshara, O Gârgî, heaven and earth stand apart. By the command of that Akshara, O Gârgî, what are called moments (nimesha), hours (muhûrta), days and nights, half-months, months, seasons, years, all stand apart. By the command of that Akshara, O Gârgî, some rivers flow to the East from the white mountains, others to the West, or to any other quarter. By the command of that Akshara, O Gârgî, men praise those who give, the gods follow the sacrificer, the fathers the Darvî-offering.'
3	8	10	'Whosoever, O Gârgî, without knowing that Akshara (the imperishable), offers oblations in this world, sacrifices, and performs penance for a thousand years, his work will have an end. Whosoever, O Gargî, without knowing this Akshara, departs this world, he is miserable (like a slave) . But he, O Gârgî, who departs this world, knowing this Akshara, he is a Brâhmana.'
3	8	11	'That Brahman,' O Gârgî, 'is unseen, but seeing; unheard, but hearing; unperceived, but perceiving; unknown, but knowing. There is nothingthat sees but it, nothing that hears but it, nothing that perceives but it, nothing that knows but it. In that Akshara then, O Gârgî, the ether is woven, like warp and woof.'
3	8	12	Then said Gargî: 'Venerable Brâhmans, you may consider it a great thing, if you get off by bowing before him. No one, I believe, will defeat him in any argument concerning Brahman.' After that Vâkaknavî held her peace.
