Chapter	Text_no	Hymn
9	9-20	The Muni said :-- O King! I will now disclose all about the excellent Pûja of the Devî Bhagavatî. Hear. You recite (mentally) always the seed mantra of Vâkbhava (Speech) (The Deity being Mahâ Sarasvatî). If any one makes japam (recites slowly) of the Vâkbhava Vîja thrice a day, one gets both the highest enjoyment here and, in the end, release (Mukti). O Son of a Ksattriya! There is no other Vîja Mantra (word) better than this of Vâk (the Word). Through the Japam of this Vîja Mantra comes the increase of strength and prowess and all successes. By the Japam of this, Brahmâ is so powerful and has become the Creator; Visnu preserves the Universe and Mahes'vara has become the Destroyer of the Universe. The other Dikpâlas (the Regents of the quarters) and the other Siddhas have become very powerful by the power of this Mantra, and are capable of favouring or disfavouring others. So, O King! You, too, worship the Devî of the Devas, the World Mother and ere long you will become the Lord of unbounded wealth. There is no doubt inthis. O Nârada! Thus advised by Pulaha Risi, the son of the King Anga went to the banks of the Virajâ river to practise austerities. There the king Châksusa remained absorbed in making Japam of the Vâkbhava Vîja Mantra and took for his food the leaves of the trees that dropped on the ground and thus practised severe austerities.The first year he ate leaves; the second year he drank water and in the third year he sustained his life by breathing air simply and thus remained steady like a pillar. Thus he remained without food for twelve years. He went on making Japam of the Vâkbhava Mantra and his heart and mind became purified. While he was sitting alone, absorbed in the meditation of the Devî Mantra, there appeared before him suddenly the Parames'varî, the World Mother, the Incarnate of Laksmî. The Highest Deity, full of dauntless fire and the Embodiment of all the Devas, spoke graciously in sweet words to Châksusa, the son of Anga.
9	21-29	O Regent of the earth! I am pleased with your Tapasyâ. Now ask any boon that you want. I will give that to you. Châksusa said :-- “O Thou, worshipped by the Devas! O Sovereign of the Deva of the Devas! Thou art the Controller Inside; Thou art the Controller Outside. Thou knowest everything what I desire in my mind. Still, O Devî! When I am so fortunate as to see Thee, I say Thou grantest me the kingdom for the Manvantara period.” The Devî said :-- “O Best of the Ksattriyas! I grant unto you the kingdom of the whole world for one manvantara. You will have many sons, very powerful, indeed, and well qualified. Your kingdom will be free from any danger till at last you will certainly get Mukti.” Thus granting the excellent boon to Manu, She disappeared then and there, after being praised by Manu, with deep devotion. The Sixth Manu, then favoured by the Devî, enjoyed the sovereignty of the earth and other pleasures and became the best of the Manus. His sons became the devotees of the Devî, very powerful and expert and became respected by all and enjoyed the pleasures of the kingdom. Thus getting the supremacy by the worship of the Devî, the Châksusa Manu became merged in the end in the Holy Feet of the Devî.Here ends the Ninth Chapter of the Tenth Book on the narrative of Châksusa Manu in the Mahâpurânam S’rîmad Devî Bhâgavatam of Eighteen Thousand verses by Mahârsi Veda Vyâsa.
10	1-4	Nârâyana said :-- Now the Seventh Manu is the Right Hon'ble His Excellency the Lord Vaivasvata Manu S'râddha Deva, honoured by all the kings, and the Enjoyer of the Highest Bliss, Brahmânanda. I will now speak of this seventh Manu. He, too, practised austerities before the Highest Devî and by Her Grace, got the sovereignty of the earth for one Manvantara.The Eighth Manu is the Sun's son, known as Sâvarni. This personage, a devotee of the Devî, honoured by the kings, gentle, patient and powerful king Sâvarni worshipped the Devî in his previous births and, by Her boon, became the Lord of the Manvantara.
10	5	Nârada said :-- O Bhagavân! How did this Sâvarni Manu worship in his previous birth the earthen image of the Devî. Kindly describe this to me.
10	6-13	Nârâyana said :-- O Nârada! This Eighth Manu had been, before, in the time of Svârochisa Manu (the second Manu), a famous king, known by the name of Suratha, born of the family of Chaitra, and very powerful. He could well appreciate merits, clever in the science of archery, amassed abundance of wealth, a generous donor, a very liberal man and he was a celebrated poet and honoured by all. He was skilled in all arts of warfare with weapons and indomitable in crushing his foes. Once on a time, some of his powerful enemies destroyed the city of Kolâ, belonging to the revered king and succeeded in besieging his capital wherein he remained. Then the king Suratha, the conqueror of all his foes went out to fight with the enemies but he was defeated by them. Taking advantage of this opportunity, the king's ministers robbed him of all his wealth. The illustrious king then went out of the city and with a sorrowful heart rode alone on his horse on the plea of having a game and walked to and fro, as if, absent-minded.
10	14-25	The king, then, went to the hermitage of the Muni Sumedhâ, who could see far-reaching things (a Man of the Fourth Dimension). It was a nice, quiet Âs'rama, surrounded by quiet and peaceful animals and filled with disciples. There in that very sacred Âs'rama, his heart became relieved and he went on living there.One day, when the Muni finished his worship, etc., the king went to him and saluted him duly and humbly asked him the following :-- “O Muni! I am suffering terribly from my mental pain. O Deva on the earth! Why I am suffering so much though I know everything, as if I am quite an ignorant man. After my defeat from my enemies, why does my mind become nowcompassionate towards those who stole away my kingdom. O Best of the knowers of the Vedas! What am I to do now? Where to go? How can I make me happy? Please speak on these. O Muni! Now I am in want of your good grace.” The Muni said :-- “O Lord of the earth! Hear the extremely wonderful glories of the Devî that have no equal and that can fructify all desires. She, the Mahâ Mâyâ, Who is all this world, is the Mother of Brahmâ, Visnu and Mahes'a. O King! Know verily that it is She and She alone, that can forcibly attract the hearts of all the Jîvas and throw them in dire utter delusion. She is always the Creatrix, Preservrix and Destructrix of the Universe in the form of Hara. This Mahâ Mâyâ fulfills the desires of all the Jîvas and She is known as the insurmountable Kâlarâtri. She is Kâlî, the Destructrix of all this universe and She is Kamalâ residing in the lotus. Know that this whole world rests on Her and it will become dissolved in Her. She is therefore, the Highest and Best. O King! Know, verily, that he alone can cross the delusion (Moha) on whom the Grace of the Devî falls and otherwise no one can escape from this Anâdi Moha.”Here ends the Tenth Chapter of the Tenth Book on the anecdote of the King Suratha in the Mahâ Purânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Mahârsi Veda Vyâsa.
11	1-2	The king Suratha spoke :-- “O Best of the twice born! Who is that Devî that you spoke just now? Why the Devî deludes all these beings? What for does She do so? Whence is the Devî born? What is Her Form? and what are Her qualities? O Brâhmin! Kindly describe all these to me.”
11	3-9	The Muni spoke :-- O King! I will now describe the nature of the Devî Bhagavatî and why does She take Her Form in due time. Listen. In ancient days, when Bhagavân Nârâyana, the king of the Yogis, was lying in deep sleep on the ocean on the bed of Ananta, after He had destroyed the Universe, there came out of the wax of his ear the two Dânavas, Madhu and Kaitabha, of monstrous appearances. They wanted to kill Brahmâ, who was lying on the lotus coming out of the navel of Bhagavân. Seeing the two Daityas Madhu and Kaitabha and seeing also Hari asleep the Lotus-born Brahmâ became very anxious and thought :-- Now Bhagavân is asleep; and these two indomitable Daityas are readyto kill me. Now what am I to do? Where to go? How shall I get ease? O Child! Thus thinking, the high souled Lotus born suddenly came to a practical conclusion. He said :-- “Let me now take refuge to the Goddess Sleep, Nidrâ, the Mother of all and under Whose power Bhagavân Hari is now asleep.”
11	10-24	Brahmâ then began to praise Her thus :-- “O Devî of the Devas! O Upholdress of the world! Thou grantest desires of Thy devotees. O Thou auspicious! Thou art Para Brahmâ! By Thy Command all are doing respectively their works in their proper spheres! Thou art the Night of Destruction (Kâla Râtri); Thou art the Great Night (Mahâ Râtri). Thou art the greatly terrible Night of Delusion (Moha Râtri); Thou art omnipresent; omniscient; of the nature of the Supreme Bliss. Thou art regarded as the Great. Thou art highly worshipped; Thou art alone in this world as highly intoxicated; Thou art submissive to Bhakti only; Thou art the Best of all the things; Thou art sung as the Highest; Thou art modesty; Thou art Pusti (nourishment); Thou art forgiveness (Ksamâ); Thou art Beauty (Kânti); Thou art the embodiment of mercy; Thou art liked by all; Thou art adorned by the whole world; Thou art of the nature of wakefulness, dream and deep sleep; Thou art the Highest; Thou art alone Highest Deity; Thou art highly attached to the Supreme Bliss. There is no other thing than Thee. There is One only and that is Thee. Hence Thou art denominated as One; Thou becomest again the two by contact with Thy Mâyâ. Thou art the refuge of Dharma, Artha and Kâma; hence Thou Thou art Three; Thou art the Turîya (the fourth state of consciousness) hence Thou art Four. Thou art the God of the five elements; hence Thou art Panchamî (five); Thou presidest over the six passions Kâma, anger, etc.; hence Thou art Sasthî; Thou presidest over the seven days of the week and Thou grantest boons seven by seven; hence Thou art Seven. Thou art the God of the eight Vasus; hence Thou art Astamî; Thou art full of the nine Râgas and nine parts and Thou art the Goddess of nine planets; hence Thou art Navamî. Thou pervadest the ten quarters and Thou art worshipped by the ten quarters; hence Thou art named Das'amî (the tenth day of the fortnight); Thou art served by the Eleven Rudras, the Goddesses of eleven Ganas and Thou art fond of Ekâdas'î Tithi; hence Thou art denominated Ekâdas'î; Thou art twelve armed and the Mother of the twelve Âdityas; hence Thou art Dvâdas'î; Thou art dear to the thirteen Ganas; Thou art the presiding Deity of Visve Devas and Thou art the thirteen months including the Malas Mâsa (dirty month), hence Thou art Trayodas'î. Thou didstgrant boons to the fourteen Indras and Thou gavest birth to the fourteen Manus; hence Thou art Chaturdas'î. Thou art knowable by the Pañchadas'î. Thou art sixteen armed and on Thy forehead the sixteen digits of the Moon are always shining; Thou art the sixteenth digit (ray) of the Moon named Amâ; hence Thou art Sodas'î. O Deves'î! Thou, though attributeless and formless, appearest in these forms and attributes. Thou hast now enveloped in Moha and Darkness the Lord of Ramâ, the Bhagavân, the Deva of the Devas. These Daityas, Madhu and Kaitabha are indomitable and very powerful. So to kill them, Thou better dost awake the Lord of the Devas.”
11	25-34	The Muni said :-- Thus praised by the Lotus-born, the Tâmasi Bhagavatî (the Goddess of sleep and ignorance), the Beloved of Bhagavân, left Visnu and enchanted the two Daityas.On being awakened, the Supreme Spirit Visnu, the Lord of the world, the Bhagavân, the Deva of the Devas, saw the two Daityas. Those two monstrous Dânavas, beholding Madhu Sûdana, came up before Him, ready to fight. The hand-to-hand fight lasted amongst them for five thousand years. Then the two Dânavas, maddened by their great strength, were enchanted by the Mâyâ of Bhagavatî and told the Supreme Deity, “Ask boon from us.” Hearing this, the Bhagavân Âdi Purusa, (the Prime Man) asked the boon that both of them would be killed that day by Him. Those two very powerful Dânavas spoke to Hari again, “Very well. Kill us on that part of the earth which is not under water.” O King! Bhagavân Visnu, the Holder of the conch and club, spoke :-- “All right. Indeed! Let that be so.”Saying this He placed their heads on His thigh and severed them with His disc (chakra). O King! Thus Mahâ Kâlî, the Queen of all the Yogas arose on this occasion when the praise was offered Her by Brahmâ. O King! Now I will describe another account how this Mahâ Laksmî appeared on another occasion. Listen.Here ends the Eleventh Chapter of the Tenth Book on the killing of Madhu Kaitabha in the Mahâ Purânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Mahârsi Veda Vyâsa.
12	1-6	The Muni said :-- O King! The powerful Asura Mahisa, born of a she-buffalo, defeated all the Devas and became the Lord of the whole universe. That indomitable Dânava seized forcibly allthe rights of the Devas and began to enjoy the pleasures of the kingdom over the three worlds. The Devas, thus defeated, were expelled from their abodes in Heavens. They took Brahmâ as their Leader and went to the excellent regions where Mahâ Deva and Visnu resided and informed them of all that had been done by that vicious Asura Mahisa. They said :-- “O Deva of the Devas! The insolent Mahisâsura has become unbearable and he has taken possessions of the rights and properties of the whole host of the Devas and he is now enjoying them. Both of you are quite capable to destroy the Asura. So why do you not devise means to annihilate him in no time!”
12	7-10	Hearing these pitiful words of the Devas, Bhagavân Visnu became quite indignant. S’ankara, Brahmâ and the other Devas all were inflamed with anger. O King! From the face of the angry Hari, then emanated an Unusual Fire, brilliant like thousand Suns. Then by and by emanated fires also from the bodies of all the Devas who were filled then with joy. From the mass of fire thus emanated there came out a beautiful Female Figure. The face of this figure was formed out of the fire that emanated from the body of Mahâ Deva. Her hairs were formed out of the fire of Yama and Her arms were formed out of the fire that emanated from Visnu.
12	11-21	O King! From the fire of the Moon came out two breasts; from the fire of Indra came out Her middle portion; from the fire of Varuna, appeared Her loins and thighs; from the fire of Earth, Her hips were formed; from the fire of Brahmâ, Her feet were formed; from the fire of the Sun, Her toes were formed; from the fire of the Vasus, Her fingers were formed; from Kuvera's fire, Her nose came out; from the excellent tejas of Prajâpati, teeth; from the fire of Agni, Her three eyes; from the fire of the twilights, Her eye-brows and from the fire of Vâyu, Her ears appeared.O Lord of men! Thus Bhagavatî Mahisamardinî was born of the Tejas (fiery substances) of the Devas. Next S’iva gave Her the S’ûla (weapon spear); Visnu gave Sudars'ana (Chakra); Varuna gave the conchshell; Fire gave S'akti (weapon); Vâyu gave Her bows and arrows; Indra gave Her thunder bolt and the bell of the elephant Airâvata; Yama gave Her the Destruction Staff (Kâla Danda); Brâmâ gave Her the Rudrâksa, rosary and Kamandalu; the Sun gave Her, in every pore the wonderful rays; the Time (Kâla) gave Her sharp axe and shield; the oceans gave Her the beautiful necklace and new clothes (two in number); Vis'vakarmâ gladly gave Her the crown, ear-rings,kataka, Angada, Chandrârdha, tinklets; and the Himâlayâs gave Her the Lion as Her Vehicle and various gems and jewels.
12	22-30	Kuvera, the Lord of wealth gave Her the cup filled with the drink; Bhagavân Ananta Deva gave Her a necklace of snakes (Nâghâra). Thus the World Mother, the Devî, became honoured by all the Devas. The Devas, very much oppressed by Mahisâsura, then, chanted various hymns of praise to the World Mother Mâhes'varî Mahâ Devî.Hearing their Stotras, the Deves'î, worshipped by the Devas, shouted aloud the War-Cry. O King! Mahisâsura, startled at that War-Cry, came to Bhagavatî with all his army corps. Then that great Asura Mahisa hurled various weapons in the air and overcast the sky with them and began to fight with great skill. The several generals Chiksura, Durdhara, Durmukha, Vâskala, Tâmraka, Vidâlâksa and various other innumerable generals as if Death incarnate, accompanied Mahisa, the chief Dânava. A fierce fight then ensued. Then the Devî Who enchants all the beings, became red-eyed with anger and began to kill the generals of the against party. When the generals were killed one by one Mahisâsura, skilled in the science of magic, came up quickly to the front of the Devî.
12	31-40	The Lord of the Dânavas, then, by his magic power, began to assume various forms. Bhagavatî, too, began to destroy his those forms. Then the Daitya, the crusher of the Devas, assumed the form of a buffalo and began to fight. The Devî then fastened the animal, the Asura, the Death of the Devas, tightly and cut off his head by Her axe. The remainder of his forces, then, fled away in terror and disorder with a loud cry. The Devas became very glad and began to chant hymns to the Devî. O King! Thus the Laksmî Devî appeared to kill Mahisâsura. Now I will describe how Sarasvatî appeared. Listen. Once on a time the two very powerful Daityas S’umbha and Nis'umbha were born. They attacked the Devas, oppressed them and seized their houses and rights. The Devas became dispossessed of their kingdoms and went to the Himâlayâs and offered stotras to the Devî with the greatest devotion :-- “O Deves’î! O Thou, skilled in removing the difficulties of the Bhaktas! Victory to Thee! O Thou, the Sinless One! Old age and death cannot touch Thee. O Thou! Death incarnate to the Dânavas! O Deves’î! O Thou, of mighty valour and prowess! O Thou, the embodiment of Brahmâ, Visnu and Mahes'a! Unbounded is Thy might; Thou canst be easily reached by the power of devo-tion. O Thou, the Creator, Preserver and Destroyer! O Mâdhavî! O Thou, the Giver of Bliss! Thou dancest with great joy at the time of the dissolution of all the things (Pralaya).
12	41-50	O Thou, full of mercy! O Deva Deves’î! Be gracious unto us. O Thou, the Remover of the sufferings of the refugees! We now come unto Thy protection. The terror of S’umbha and Nis'umbha is like an endless ocean unto us. Save, save us from their fast clutches. O Devî! save us O King! verily.” When the Devas praised thus, the daughter of the Himâlayâs, Bhagavatî became pleased and asked “What is the matter?” In the meanwhile, there emitted from the physical sheath of the Devî another Devî Kaus'ikî who gladly spoke to the Devas :-- “O Suras! I am pleased with Thy Stotra. Now ask the boon that you desire.” The Devas then asked for the following boon :-- “O Devî! The two famous Daityas S’umbha and Nis'umbha have attacked forcibly the three worlds. The wicked Lord of the Dânavas, S’umbha, has overcome us by the power of his arm and is now tormenting us without any break. Kindly devise some means to kill him.” The Devî said :-- “O Devas! Be patient. I will kill these two Daityas, S’umbha and Nis'umbha and thus remove the thorn on your way. At an early date I will do good to you.” Thus saying to Indra and the other Devas the merciful Devî disappeared at once before their eyes. The Deva with their hearts delighted went to the beautiful Sumeru  Mountain and dwelt there in the caves thereof.Here the servants of S’umbha and Nis'umbha Chanda and Munda, while they were making their circuits, saw the exquisitely beautiful Devî, the Enchantress of the world, and came back to S’umbha their King and said :--
12	51-60	“O Destroyer of enemies! O Giver of honour! O Greal King! You are the Lord of all the Daityas and are fit to enjoy all the gems and jewels. To-day we have seen an extraordinary beautiful woman jewel. She is fit to be enjoyed by you. So now you would better bring that perfectly beautiful woman and enjoy. No such enchanting women can be seen amongst the Asura women Nâga Kanyâs Gandharbha women, Dânavîs or men.” Hearing thus the words of the servant, S’umbha, the tormentor of the foes, sent a Daitya named Sugrîva as a messenger to Her. The messenger went to the Devî as early as possible and spoke to Her all that S’umbha had told him. “O Devî! The Asura S’umbha is now the conqueror of the three worlds and respected by the Devas. O Devî!He is now enjoying all that is best, the gems and jewels; O Devî! I am his messenger sent here to convey to you his message as follows :-- O Devî! I am the sole enjoyer of all the jewels. O Beautiful-eyed! You are a gem; so you would worship me. O Fair One! All the gems and jewels that are in the Deva loka, in the Daitya loka, or amongst the regions of men, are under my control. So you would lovingly worship me.” The Devî said :-- “O Messenger! True that you are speaking for your King; but I made a promise before, how can I act against it? O Messenger! Hear what I promised.
12	61-70	Whoever in the three worlds will conquer Me by sheer force and thus crush My vanity, whoever will be as strong as Myself, He can enjoy Me. So the King of Daityas can prove My promise true and by sheer force can marry Me. What is there with him that he cannot do? So, Messenger! Go back to your master and tell him all this so that the powerful S’umbha may fulfil My promise.” Hearing thus the words of the Great Devî, the messenger went back to S’umbba and informed him everything regarding the Devî's sayings. The very powerful Lord of the Daityas, S’umbha became very angry at the unpleasant words of the messenger and commanded the Daitya named Dhumrâksa :-- “O Dhumrâksa! Listen to my words with great attention. Go and catch hold of that wicked woman by her hairs and bring her to me. Go quickly; do not delay.” Thus commanded, the very powerful and the best of the Daityas, Dhumrâksa, went at once to the Devî with sixty thousand Daityas and cried aloud to Her :-- “O Auspicious One! You would better worship quickly our Lord S’umbha, who is very powerful and mighty; you will then acquire all sorts of pleasures; else I will hold you by your hairs and take you to the Lord of the Daityas.”
12	71-80	Thus addressd by Dhumrâksa Daitya, the enemy of the Devas, the Devî said :-- “O Powerful One! O Daitya! What you have spoken is perfectly right, but tell me first what you or your king S’umbha can do to Me?” When the Devî said thus, the Daitya Dhûmralochana rushed on Her at once with arms and weapons. With one loud noise, Mâhes'varî burnt him immediately to ashes. O King! The other forces were partly crushed by the Lion, the vehicle of the Devî and partly fled away in disorder to all the quarters; some became senseless out of fear. S’umbba , the Lord of the Daityas, became very angry to hear this. His face assumed a terrible form with eyebrows contracted. Then he became impatient with anger and sent in order Chanda, Munda and Raktabîja.The three powerful Daityas went to the battle and tried their might to capture the Devî. The Devî Jagaddhâtrî, of violent prowess, seeing that these three Daityas were coming to Her, killed them by Her trident and laid them prostrate on the ground. Hearing their death with all their army, S’umbha and Nis'umbha came in their own persons arrogantly to the battlefield. S’umbha and Nis'umbha fought for a time with the Devî a terrible fight and became tired, when the Devî killed them outright. When the Bhagavatî, Who is all this world, killed S’umbba and Nis'umbha, the Devas began to praise Bhagavatî the Supreme Deity of Vâk (Word) incarnate.
12	81-93	O King! Thus I have spoken to you in due order the manner in which the beautiful Kâlî, Mahâ Laksmî and Sarasvatî incarnated themselves on the earth. That Supreme Deity, the Devî Parames'varî thus creates, preserves, and destroys the Universe. You better take refuge of that highly adored Devî, that causes the distinction and the delusion of this Universe. Then only you will attain success. Nârâyana said :-- The king Suratha, hearing these beautiful words of the Muni, took refuge of the Devî, that yields all desired objects. He built an earthen image of the Devî and, with concentrated attention, thought wholly of the Devî and began to worship Her with devotion. When the worship was over, he offered sacrifices of the blood of his body to the Devî. Then the World-Mother, the Deity of the Devas, became pleased and appeared before him and asked him :--  Accept the boon that you desire. When the Devî said thus, the king asked from the Mahes'varî that excellent knowledge whereby the ignorance is destroyed and as well the kingdom free from any dangers or difficulties. The Devî said :-- “O King! By My boon, you will get your foeless kingdom in this very birth as well as the Jñânam that removes ignorance. O King! I will tell you also what you will be in the next birth. Hear. In your next birth, you will be the son of the Sun and be famous as Sâvarni Manu. By My boon you will be the Lord of the Manvantara, become very powerful and you will get good many sons.” Thus granting him this boon, the Devî disappeared. By the Grace of the Devî, Suratha became the Lord of the Manvantara. O Sâdhu! Thus I have described to you the birth and deeds of Sâvarni. He who hears or reads this anecdote with devotion, will be a favourite of the Devî.Here ends the Twelfth Chapter of the Tenth Book on the anecdote of Sâvarni Manu in the Mahâpurânam S’rî Mad Devî Bhâgavatam of Eighteen Thousand verses by Mahârsi Veda Vyâsa.
13	1-21	S’rî Nârâyana spoke :-- O Child Nârada! Hear now the wonderful anecdotes of the births of the remaining other Manus. The mere remembrance of these birth anecdotes causes Bhakti to grow and well up towards the Devî. Vaivasvata Manu had six sons :-- viz., Karusa, Prisadhra, Nâbhâga, Dista, Saryâti, and Tris'anku. All of them were stout and strong. Once they all united went to the excellent banks of the Jumnâ and began to practise Prânâyama without taking any food and became engaged in worshipping the Devî. Each of them built separately an earthen image of the Devî and worshipped Her with devotion and with various offerings. In the beginning, they took the dry leaves of the trees that dropped of themselves for their food; then they drank water only, then breathed air only; then the smoke from the fire of the Homa; then they depended on the Solar Rays. Thus they practised tapasyâ with great difficulties. The continual worship of the Devî with the greatest devotion made them conscious of their clear intellect, destructive of all sorts of vanities and delusions, and the Manu's sons thought only of the Hallowed Feet of the Devî; their intellects were purified and they were greatly wondered to see within their Self the whole Universe. Thus they practised their Tapasyâ full twelve years when Bhagavatî, the Ruling Principle of this Universe resplendent wiih the brilliance of the thousand Suns, appeared before them. The princes with their intelligences thus purified saw Her, bowed down and, with their lowly hearts, began to chant hymns to Her with greatest devotion. “O Îs'ânî! O Merciful! Thou art the Devî presiding over all. Thou art the Best. So Victory to Thee! Thou art known by the Vâgbhava Mantra. Thou gettest pleased when the Vâgbhava Mantra is repeated. O Devî! Thou art of the nature of Klîm Kâra (of the form of Klîm). Thou gettest pleased with the repetition of Klîm Mantra. O Thou, that gladdenest the Lord! Thou bestowest joy and pleasure in the heart of the King of Kâma. O Mahâ Mâyâ! When Thou art pleased, Thou givest that Unequalled  Kingdom. O Thou that increasest the enjoyments! Thou art Visnu, Sûrya, Hara, Indra and the other Devas.” When the highsouled princes praised Her thus, Bhagavatî became pleased and spoke to them the following sweet words :-- “O Highsouled Princes! You all have worshipped Me and practised, indeed, very hard tapasyâs and thus you have become sinless and your intellects and hearts have become thoroughly purged and thus purified. Now ask boons that youdesire. I will grant them ere long to you.” The Princes said :-- “O Devî! We want unrivalled Kingdoms, many sons of long longevity, continual enjoyment of pleasures, fame, energy, freedom in all actions, and as well the good and keen intelligence. These will be beneficial to us.” The Devî said :-- Whatever you have desired, I grant them to you all. Besides I give you another boon. Listen attentively. By My Grace you all will be the Lords of the Manvantaras and acquire strength that will experience no defeat, and you will get prosperity, fame, energy, powers, and a continual line of descent and abundant full enjoyments.
13	22-32	Nârâyana said :-- After the World Mother Bhrâmarî Devî granted them these boons, the princes chanted hymns to Her and then She instantly vanished. The very energetic princes acquired in that birth excellent kingdoms and abundance of wealth. They all had sons and thus established their families, and became the Lords of Manvantara in their next births. By the Grace of the Devî, the first of the princes Karusa became the Ninth Manu, the exceedingly powerful Daksa Sâvarni; the second prince Prisadhra became the Tenth Manu, named Meru Sâvarni; the third prince, the highly enthusiastic Nâbhâga became the Eleventh Manu, named Sûrya Sâvarni; the fourth prince Dista became the Twelfth Manu, named Chandra Sâvarni; the powerful fifth prince S'aryâti became the Thirteenth Manu named Rudra Sâvarni and the sixth prince Tris'anku became the Fourteenth Manu named Visnu Sâvarni and became the celebrated Lord of the world.
13	33-41	Nârada questioned :-- “O Wise One! Who is that Bhrâmari Devî? What is Her Nature? What for She takes birth? Kindly describe all this beautiful and pain destroying anecdotes to me. I am not satiated with the drinking of the nectar of the Glories of the Devî; my desire to hear further more is as strong as ever. As the drink of the nectar takes away death, so the drink of this anecdote of the Devî takes away the fear of death.” Nârâyana said :-- O Nârada! I will now narrate the wonderful glories of that unthinkable, unmanifested World Mother, leading to Mukti. Hear, as a Mother behaves towards Her child kindly and without any hypocrisy, so the World Mother in all Her lives manifests Her merciful sincere dealings for the welfare of the humanity. In days gone by, in the nether regions, in the city of the Daityas, there lived a powerful Daitya named Aruna. He was a furious Deva Hater and a pâkkâ hyprocrite. With a view to conquer the Devas, he went to the banks of the Ganges in the Himâlayâs, practised a very bard Tapasyâ, to Brahmâ, taking Him to be the Protector of the Daityas. First influenced by Tamo Guna, he withheld in his body the five Vâyusand partook only the dry leaves and repeated, the Gâyatrî Mantra and practised austerities. Thus he practised for full ten thousand years. Then for another ten thousand years the Daitya lived drinking some drops of water only; then for another ten thousand years he remained by inhaling air only; and then for another ten thousand years he did not take any thing and thus practised he his wonderful Tapasyâ.
13	42-49	Thus practising his Tapasyâ a sort of wonderful halo of light emitted from his body and began to burn the whole world. This thing then appeared a great wonder. All the Devas then exclaimed. “Oh! What is this! Oh! What is this!” And they trembled. All were very much terrified and took refuge of Brahmâ. Hearing all the news from the Devas, the four-faced Bhagavân rode on His vehicle, the Swan, and with the Gâyatrî went very gladly to where the Daitya was practising his austerities and saw that the Daitya was immersed in meditation with his eyes closed; and he looked, as it were, blazing with fire, as if a second Fire himself. His belly had become dried up, body withered and the nerves of the bodies, too, became almost visible; only the life breath was lingering there. Brahmâ then spoke to him :-- “O Child! Auspices to you! Now ask the boon that you desire.” Hearing these gladdening nectar-like words from the mouth of Brahmâ, Aruna, the chief of the Daityas opened his eyes and saw Brahmâ in his front. Seeing Brahmâ before him with a rosary of beads and Kâmandalu in his hand and attended by Gâyatrî and the four Vedas, muttering the name of the Eternal Brahmâ, the Daitya rose up and bowed down to Him and sang to Him various Stotras.
13	50-59	Then the intelligent Daitya asked from Brahmâ the following boon that “I shall not die. Grant this.” Brahmâ then gently explained to him :-- “O Best of the Dânavas! See that Brahmâ, Visnu, Mahes'vara and others are not free from this limitation of death! What to speak then for others! I cannot grant you a boon that is an impossibility. Ask what is possible and just. The intelligent persons never show an eagerness to an impossibility.” Hearing the above words of Brahmâ, Aruna again said with devotion :-- “O Deva! If Thou art unwilling to grant me the above boon, then, O Lord! Grant me such a boon, as is practicable, that my death shall not be caused by any war, nor by any arms or weapons, nor by any man or any woman, by any biped or quadruped or any combination of two and grant me such a boon, such a large army as I can conquer the Devas.” Hearing the words of the Daitya, Brahmâ said “Let that be so” and went back instantly to His own abode. Then, puffed up with that boon, the Daitya Aruna called on all the other Daityas that lived inthe nether regions. The Daityas, that were under his shelter, came and saluted him, as their king and, by his command, they sent messengers to the Heavens to fight with the Devas. Hearing from the messenger that the Daityas were willing to fight with the Devas, Indra trembled with fear and went instantly with the Devas to the abode of Brahmâ. Taking Brahmâ, too, along with them from there, they went to the Visnu Loka and took Visnu with them and all went to the S’iva Loka.
13	60-70	There they all held a conference how to kill the Daitya, the enemy of the Gods. While, on the other hand, Aruna, the king of the Daityas surrounded by his army, went ere long to the Heavens.O Muni! The Daitya, then, through the power of his Tapas, assumed various forms and seized the rights and possessions of the Moon, the Sun, Yama, Agni and all the othars. All the Devas, then, dislodged from their stations went to the region of Kailas'a and represented to S’ankara about their own troubles and dangers respectively. Then, what was to be done on this subject, on this, great discussions cropped up. When Brahmâ said, that the death of the Daitya would not ensue from any fight, with any arms or weapons, from any man or woman, biped, quadruped or from any combination of the above two. Then the Devas became all anxious and could not find out any solution at that instant, when the Incorporeal Voice was clearly heard in the Heavens :-- Let you all worship the Queen of the Universe. She will carry out your work to success. If the king of the Daityas, always engaged in muttering the Gâyatrî, forsakes the Gâyatrî any how, then his death will occur. Hearing this gladdening Celestial Voice, the Devas held the council with great caution. When it was settled what ought to be done, Indra asked Brihaspati and said :-- “O Guru Deva! You would better go to the Daitya for the carrying out of the Devas' ends and do so that he forsakes the Devî Gâyatrî Parames’varî. We will all now go and meditate on Her. When She will be pleased, She will help us.
