Title_of_Law_no	Text_no	Hymn
1	219	After having sustained thus for a long while the acute tortures of hell, thou shalt enter in this world the horrid bodies of vultures, crows, and other (despicable creatures).
1	220	Having discovered these evils with which falsehood is attended, and knowing, on the other hand, the advantages resulting from veracity, thou must speak truth and (thereby) save thyself. Do not ruin thyself wantonly.
1	221	Neither relatives, nor friends, nor treasures, be they ever so great, are able to protect those who are about to be plunged into the tremendous darkness (of hell).
1	222	Thy ancestors are in suspense, when thou hast been appointed to give evidence (reflecting in their minds): 'Will he conduct us (into heaven) or will he precipitate us (into hell)?'
1	223	Truth is the self of man. Everything depends on truth. Therefore thou must be intent on acquiring bliss by thy own effort, by speaking truth.
1	224	Whatever lies between that night in which thou wast born, and that night in which thou art to die (thy whole life in fact) has been spent in vain by thee, if thou givest false evidence.
1	225	Those places of abode which are destinedfor the murderer of a Brahman, and those which await the murderer of a woman or child, and the regions awaiting an ungrateful man, are reserved for a false witness.
1	226	There is no higher virtue than veracity, nor heavier crime than falsehood. A man must speak truth therefore, particularly when he has been appointed to give evidence.
1	227	There are two ancient verses (which run as follows): ‘If a man is base enough to speak falsely in regard to the affairs of a stranger, what may not such a wretch be expected to do, fearless of hell, where his own welfare is concerned?
1	228	All affairs are connected with speech, have speech for their root, and depend on speech. He who steals a good speech (by violating truth) is capable of committing any theft (or other crime).’
1	229	Where there is conflicting evidence, the plurality of witnesses decides the matter. If the number of witnesses is equal (on both sides), the testimony of those must be accepted as correct,whose veracity is not liable to suspicion. If the number of such witnesses is equal (on both sides) (the testimony of these must be accepted), who are possessed of a superior memory.
1	230	Where, however, an equal number of witnesses possessed of a good memory is found on both sides, the evidence of the witnesses is entirely valueless, on account of the subtle nature of the law of evidence.
1	231	But wherever a litigant has been abandoned by his own witnesses through the act of fate, the sages have declared that he cannot be absolved by (the performance of) an ordeal even.
1	232	Where, the time forgiving testimony having arrived, a witness does not make a consistent statement with reference to the questions under notice, his testimony is as good as ungiven.
1	233	If the witnesses were to disagree with one another as to place, time, age, matter, quantity, shape, and species, such testimony is worthless likewise.
1	234	If the witnesses wrongly name too low or too high a sum, this too must be known to make no evidence. This is the rule of witnesses.
1	235	When, owing to the negligence of the creditor, both a written contract and witnesses are missing, and the opponent denies his obligation, three different methods may be adopted.
1	236	A timely reminder, argument, and, thirdly, an oath, these are the measures which a plaintiff should adopt against his adversary.
1	237	He who does not refute his (adversary's) statements, though he has been reminded again and again, three, or four, or five times, may be compelled to pay the debt in consequence.
1	238	If the defendant has rejected a demand (to pay), he shall aggress him with arguments relative to place, time, matter, the connexions (existing between the two parties), the amount (of the debt), the contents (of the written contract), and so forth.
1	239	If arguments also are of no avail, let him cause the defendant to undergo one of the ordeals, by fire, water, proof of virtue, and so forth, (which may seem) appropriate to the place, to the season, and to the strength (of the defendant).
1	240	He whom the waters keep below the surface, and whom blazing fire does not burn, is considered to refute the charge. In the opposite case he is deemed guilty.
1	241	Proof by ordeal takes place (if an offence has been committed) in a solitary forest, at night, in the interior of a house, and in the case of a heinous offence, or denial of a deposit.
1	242	(Ordeals) are equally (applicable) in the case of those women, whose morality has been impeached, in cases of theft and robbery, and in all cases of denial of an obligation.
1	243	Of the gods and Rishis even, the taking of oaths is recorded. Vasishtha took an oath when he was accused of having assumed the shape of an evil spirit.
1	244	The seven Rishis resolutely took an oath together with Indra in order to clear themselves mutually of suspicion, when each was suspected (by the rest) of having taken lotus fibres.
1	245	The perpetrator of a wrong action, or of a crime, shall be let off with one half of the punishment due to his offence, if he admits the charge or if he makes his guilt known of his own accord.
1	246	If, on the other hand, a criminal has cunningly concealed his crime, and is convicted of it, the members of the court of justice will not be satisfied with his conduct, and the punishment inflicted on him shall be specially heavy.
1	247	If no witness is forthcoming for either of the two litigant parties, he must test them through ordeals and oaths of every sort.
1	248	(Let him cause a Brahman to swear by) truth, (a Kshatriya) by his (horse or other) vehicle, and by his weapons, (a Vaisya) by his cows, seeds or gold and so on, (or all) by venerable deities or deified ancestors, by their pious gifts or meritorious deeds.
1	249	Where a heavy crime has been committed, the ruler shall administer one of the ordeals. In light cases, on the other hand, a virtuous king shall swear a man with (various) oaths.
1	250	Thus have these oaths been proclaimed by Manu for trifling cases. In a suit concerning a heavy crime, divine test should be resorted to.
1	251	Holy Manu has ordained that five kinds of ordeals should be administered to those involved in a doubtful case (which has become the object of a lawsuit), especially if the matter under dispute is of a recondite nature.
1	252	The balance, fire, water, poison, and, fifthly, consecrated water, are the ordeals ordained for the purgation of high-minded persons.
1	253	(Those ordeals) have been ordained here by Nârada for the purpose of proving the innocence of criminals who are defendants in a lawsuit, (and) in order that right may be discerned from wrong.
1	254	During the rains let the (ordeal by) fire be administered. In the autumn season the balance is declared to be (the proper kind of ordeal). The (ordeal by) water should be applied in summer, and the (ordeal by) poison in the cold weather.
1	255	The distressed shall not be caused to undergo the (ordeal by) water, nor shall poison be given to the bilious, nor shall the ordeal by fire be administered to persons afflicted with white leprosy, or with blindness, or with bad nails.
1	256	An ordeal should never be administered to persons engaged in performing a vow, to those afflicted with a heavy calamity, to the diseased, to ascetics, or to women, if the dictates of justice are listened to.
1	257	Where no one declares himself ready toundergo punishment, an ordeal cannot take place. An ordeal shall be administered to litigants where there is reason for it, but not otherwise.
1	258	Therefore an intelligent, virtuous, righteous, and wise (king or chief judge) should abstain carefully from administering any one out of the (five) ordeals, unless both parties consent to it.
1	259	The ordeal by water must not take place in the cold weather, nor the ordeal by fire in the hot season, nor must the (ordeal by) poison be administered to any one during the rains, nor the (ordeal by) balance in stormy weather.
1	260	Wise legislators conversant with every law have proclaimed, after mature consideration, the following rules regarding the mode of performing the ordeal by balance, which may be administered in every season.
1	261	The two posts should be dug in everycase to the depth of two Hastas below ground. (The whole of) their length is ordained to amount to six Hastas in extent.
1	262	The beam of the balance should be four Hastas in length, and the height of the two posts (above ground) should be the same. The intermediate space between the two posts should measure one and a half Hastas.
1	263	The beam of the balance should be made straight, of Khadira or of Tinduka wood, quadrangular and (provided) with three Sthânas and with hooks (by which the strings supporting the scale are suspended) and with other (contrivances).
1	264	He should cause it to be made of Khadira wood or Simsapa wood, or in default of such, of Sâla wood, (which must be) without notches and withered portions, and devoid of rents.
1	265	These kinds of timber should be used for preparing the beam of the balance, (which should be erected) either in the midst of a public assembly, or before the gates of the royal palace, or in sight of a temple, or in a cross-road.
1	266	(The balance) must be dug firmly into the earth, after having been covered with perfumes, garlands, and unguents, and after the performance of purificatory and auspicious ceremonies with sour milk, whole grain, clarified butter, and perfumes.
1	267	This ordeal should always be administered in the presence of the guardians of the world, who must be invoked to be present for the protection (of virtue and justice), and in sight of everybody (who cares to look on).
1	268	It is ordained that all ordeals should beadministered in the forenoon, the person (to be tested) having fasted for a day and a night, taken a bath, and wearing his wet dress.
1	269	Excepting cases of high treason, an ordeal shall not be administered, unless the plaintiff comes forward and declares himself ready to undergo punishment in case of his being defeated.
1	270	The king may inflict ordeals on his own servants, even without the one party declaring himself ready to undergo punishment. On the other hand, in the case of other persons accused of a crime, (he should administer ordeals) according to law (only).
1	271	After having well fastened the two scales by the hooks of the beam, he should place the man in the one scale and a stone in the other.
1	272	He should weigh the man on the northern side, and the stone on the southern side. There (in the southern scale) he should (place) a basket and fill it up with bricks, mud, and grains of sand.
1	273	In the first weighing, the weight (of the man) should be ascertained with the aid of experienced men, and the arch marked at that height which corresponds to the even position of the two scales.
1	274	Goldsmiths, merchants, and skilful braziers experienced in the art of weighing, should inspect the beam of the balance.
1	275	After having first weighed the man, and having made (on the arches) a mark for the beam, in order to show the (even) position of the scales, he should cause him to descend from the balance.
1	276	After having admonished him with solemn imprecations he should cause the man to get into the scale again, after having fastened a writing onhis head. There must be neither wind nor rainfall (at the time when this ordeal is being performed).
1	277	When he has ascended (the scale), a Brahman, holding the scale in his hand, should recite the following: 'Thou art called dhata (a balance), which appellation is synonymous with dharma (justice).
1	278	Thou knowest the bad and good actions of all beings. This man, being arraigned in a cause, is weighed upon thee.
1	279	Thou art superior to gods, demons, and mortals in point of veracity. Therefore mayst thou deliver him lawfully from the perplexity in which he is involved.'
1	282	After having addressed him, (invoking) the guardians of the world and the gods, with these and other such speeches, he should cause the man who has been placed in the scale, to descend once more and should ascertain (the state of the matter).
1	283	If he rises, on being weighed (for the second time), he is undoubtedly innocent. If hisweight remains the same as before, or if he goes down, he cannot be acquitted.
1	284	Should the scales break, or the beam or the hooks split, or the strings burst, or the transverse beam split, (the judge) shall pronounce a formal declaration of his innocence.
1	285	I will propound, next, the excellent law regarding the (ordeal by) fire. The interval betweenevery two circles is ordained to measure thirty-two Aṅgulas.
1	286	Thus the space covered by the eight circles will measure two hundred and fifty-six Aṅgulas.
1	287	He should place seven leaves of the holy fig-tree in the hands of the defendant, and should fasten the leaves (on his hands) with seven threads.
1	288	A professional blacksmith, who has practice in working with fire, and whose skill has been tested on previous occasions, should be caused to heat the iron in fire.
1	289	,
1	290	An iron ball fifty Palas in weight having been repeatedly made fiery, sparkling and red-hot, a pure Brahman who reveres truth, should address it as follows, when it has been heated thrice: ‘Listen to the law of Manu, which is superintended by the guardians of the world (themselves).
1	291	Thou, O fire, art the means of purification and the exalted mouth of all the gods. Thou, dwelling in the heart of all beings, knowest this affair.
1	292	Truth and falsehood proceed from thy tongue. Deign not to show thyself unworthy of the character thus attributed to thee in the Vedas and other books.
1	293	This man (the defendant) has been thus addressed by that man (the plaintiff), and has deniedthe charge, (declaring) "I will seize the fire, in order to show that it is all untrue."
1	294	Thus confiding in truth, this man is holding thee. Therefore, O fire, be cool for him, if he speak the truth. If, however, he should tell a lie, as a sinner, I implore thee, to burn his hands.’
1	295	This prayer having been carefully written on a leaf and recited, he should fasten the leaf on his head, and after having done so, should then give him the iron ball.
1	296	Having bathed and stepped into the space covered by the (eight) circles, he should seize the fiery ball, take his stand in one circle, and walk slowly through the seven others.
1	297	(The man) must not put it down again till he has passed through the whole of the measured ground. On reaching the eighth circle, he may drop the fiery ball.
1	298	That man who lets the ball drop from fear, or who cannot be proved to have been burnt, shall take the hot iron once more; this is a fixed rule.
1	299	Each circle should be made as broad as his foot. He must not go further than the breadth of one circle with one step, nor must he remain behind it.
1	300	In this way the ordeal by fire should always be performed. It is adapted for every season except summer and very cold weather.
1	301	All sores or scars on his hands should be marked with signs previously, and one should examine the hands again afterwards (and look after) the dots with which (the sores) have been marked.
1	302	If it does not appear whether (either of) the two hands is burnt, he shall take and seven times crush grains of rice in his hand, with all his might.
1	303	The grains having been crushed by him, if the members of the court should declare him to be unburnt, he shall be honourably released as being innocent. If he is burnt, he shall receive due punishment.
1	304	I will now proclaim the excellent law regarding the (ordeal by) water, (which may be performed at all seasons) one after the other, excepting the winter and dewy seasons.
1	305	(This ordeal may be performed) in streamswhich have not too swift a course, in oceans, in rivers, in lakes, in ponds dug by the gods, in tanks, and in pools.
1	306	The diving shall take place after three arrows have been discharged from a bow which must not be too strong. Wise men (have declared) what its strength should be.
1	307	A strong bow is declared to be
1	107	(Aṅgulas) long, a moderate bow
1	106	, and an inferior bow
1	105	(Aṅgulas). This is declared to be the rule regarding the bow.
1	308	A strong man should be placed like a pillar in water, reaching to his navel. The defendant should seize him by the thigh and dive under water.
1	309	From the place where the arrows have been discharged, a young man endowed with swiftness of limb should walk as quickly as possible to the place where the middlemost arrow has fallen down.
1	310	Another man, who must be an equally swift runner, should seize the middlemost arrow and return with it quickly to the place from which the (first) man has proceeded.
1	311	If he who took the arrow does not see the defendant in water on arriving, because he is completely under water, the defendant must be acquitted.
1	312	Otherwise he is guilty, though only one limb of his have become visible. (He is pronounced guilty) equally, if he has moved to a different place than that where he was first immersed.
1	313	Women or children must not be subjected to the ordeal by water by persons acquainted with the law; nor sick, superannuated, or feeble men.
1	314	Cowards, those tormented by pain, and persons afflicted by a calamity should also be held exempt from this trial. Such persons perish immediately after diving, because they are declared to have hardly any breath.
1	315	Should they even have appeared before the court on account of a serious crime, he must not cause them to dive under water, nor must he subject them to the ordeal by fire, or give them poison.
1	316	‘Nothing is more capable than water and fire of showing the difference between right and wrong. Because fire has arisen from the waters, therefore suspected persons
1	317	Are subjected to this proof by preference, by persons thoroughly conversant with the law. Therefore deign, O venerable Lord of Waters, to effect acquittal through truth.’
1	318	Now I shall proclaim the excellent rule regarding the ordeal by poison: at what time, in what manner, and in what form it should be administered.
1	319	The exact quantity of the poison (to be given) having been fixed by persons conversant with the essence of law, it shall be weighed, and given to the defendant in the autumn season, when winter sets in.
1	320	A man acquainted with law, must not (administer this ordeal) in the afternoon, nor in thetwilight, nor at noon. It must be avoided, likewise, in the autumn, summer, spring, and rainy seasons.
1	321	Spoiled poison, shaken poison, scented and mixed poison, as well as Kâlakûta and Alâbu poison, should be carefully avoided.
1	322	Poison from the Sriṅga plant, which grows in the Himâlayas, of an excellent quality, having (the required) colour, flavour, and taste, and preserving its natural condition, should be given to members of the Kshatriya, Vaisya, and Sûdra castes.
1	323	Let him give to the defendant one-eighth less than the twentieth part of a sixth part of a Pala of the poison, mixed with clarified butter.
1	324	Six Yavas should be given in the rainy season; five Yavas in the hot season; seven or eight in the winter season; in the autumn season this ordeal must not take place.
1	325	‘Thou, O poison, art the son of Brahman. Truth and virtue are thy support. Clear this man from guilt. Become (like) Ambrosia to him, through truth.’
1	326	Let the man be kept in a shadowy place without taking food, for the whole remainder of the day. If he remains free from convulsions such as are generally caused by poison, he is declared innocent by Manu.
1	327	Now I shall proclaim the excellent rule regarding the ordeal by sacred libation, as it has been laid down, for all seasons indiscriminately, by learned men.
1	328	The consecrated water shall be given, early in the morning, to a virtuous man, who believes in God. He must have fasted and bathed, and wear his wet clothes.
1	329	The defendant should be made to drink three mouthfuls of water in which (an image of) the deity whom he holds sacred has been bathed and worshipped.
1	330	If he should meet himself with any calamitywithin a week or a fortnight (after having undergone this ordeal), it shall be regarded as proof of his guilt.
1	331	If a great misfortune even should befall him after the lapse of a fortnight, he must not be harassed by any one, because the fixed period has elapsed.
1	332	The drinking of consecrated water should be avoided in the case of great criminals, irreligious or ungrateful men, eunuchs, low rascals, unbelievers, Vrâtyas, and slaves.
1	333	A righteous king, who administers the five ordeals to persons charged with a crime in the way which has been stated, acquires prosperity both in a future state and in this life.
1	334	The ordeal by water is destined for the hot season. The ordeal by poison (should be administered) in very cold weather. A Brahman should be tested by the balance, fire is reserved for the Kshatriya.
1	335	The ordeal by water should be administered to the Vaisya. Poison should be given to the Sidra. He must not give poison to the Brahman, nor should a Kshatriya take the (hot) iron.
1	336	The (five) ordeals, ending with the sacred libation and beginning with the balance, should be administered in the case of heavy charges. One hundred and fifty (Panas) should be given (to the defendant) if he has been acquitted. One who has not been acquitted is liable to punishment.
1	337	Now I will proclaim the rule regarding the grains of rice which have to be chewed (by the defendant). This rice ordeal should be administered in cases of larceny, but on no other occasion whatsoever. That is the law.
1	338	Let the judge, who must have cleansed himself previously, use white grains of rice, but not (the grains) of any other fruit, and let him place them in an earthen vessel in the sight of (an image of the deity of) the sun.
1	339	After having mixed them with water in which (an image of the sun-god) has been bathed, he shall leave them in that place for a night. At daybreak, after having prepared them three times, a worshipper of the gods shall give them himself
1	340	(To the defendant), who must be facing the east and must have bathed and fasted, after having proclaimed the charge himself, in order that right may be discerned from wrong.
1	341	When the defendant has chewed the grains, he shall cause him to spit them on a leaf. If a leaf of the holy fig-tree be not available, he shall take a leaf of the birch-tree (for that purpose).
1	342	Should blood issue forth, or the tooth-flesh be hurt, or the limbs shake, he must be pronounced guilty.
1	343	Now I shall give a description of the ordeal of the hot piece of gold, which has been ordained by Brahman himself for the purpose of distinguishing virtue from vice.
1	344	(The judge), after having cleansed himself, shall quickly pour clarified butter into a golden, silver, iron, or earthen vessel, and shall place the vessel on the fire.
1	345	He shall throw into it a shining coin, made k of gold, silver, copper, or iron, after having washed it in water more than once.
1	346	Should (the coin) ever drop into the boiling (mixture), it would be a very dangerous thing to touch him (the fire?). Therefore he must address the clarified butter with the following prayer:
1	347	‘Thou art the best instrument of purification, O clarified butter, and (comparable to) Ambrosiaat a sacrifice. Burn this man at once if he is criminal, and be as cold as ice to him if he is innocent.’
1	348	If, on touching and examining the forefinger (of the defendant) it is found to be unhurt and to show no boils, he is innocent. Otherwise, he is not (innocent).
2	1	Where a man entrusts any property of his own with another in confidence and without suspicion, it is called by the learned a Deposit, a title of law.
2	2	A sensible man should make a deposit with one who belongs to a respectable family, and who is virtuous, acquainted with his duties, veracious, influential, wealthy, and honourable.
2	3	In whatever manner a man may have deliveredany of his effects to another, in the same manner shall that article be restored to him. Delivery and receipt ought to be equal.
2	4	If the depositary fails to restore the deposit to the depositor as he ought, he shall be compelled to restore it by forcible means, after his guilt has been proved by ordeals or other (modes of proof).
2	5	If one article hidden in another is deposited in another man's house, without stating (what it is), it is termed an Aupanidhika deposit.
2	6	Deposits are again divided into two species, attested and unattested ones. They must be restored precisely in the same condition (as they were in at the time of their delivery). Otherwise an ordeal must take place.
2	7	The wicked man who does not return a deposit, on being asked to do so by the depositor, shall be punished by the king. If the deposit hasbeen lost or destroyed, he shall make good its value.
2	8	If he derives profit from a deposit, by using it without the consent of the depositor, he shall be punished likewise, and shall restore the profit, together with interest, to the depositor.
2	9	If a deposit is lost, together with the property of the depositary, the loss shall be the depositary's. The same rule shall obtain, if the loss has been caused by fate or by the king; unless (the depositary) should have acted fraudulently.
2	10	The depositor being dead, if the depositary restores the deposit to his next-of-kin, of his own accord, he must not be harassed either by the king or by the relations of the depositor.
2	11	(The rightful owner) shall try to recover it amicably, without resorting to stratagems. Or he shall explore (the depositary's) mode of living, and cause him to restore it by friendly expostulations.
2	12	What has been stolen by thieves, carried away by water, or burnt by fire, need not be restored (by the depositary), unless he should have appropriated something out of it.
2	13	He who fails to restore a deposit, and he who demands what he never deposited, shall both be punished like thieves, and shall be made to pay a sum equal (in amount to the value of the deposit).
2	14	The same law applies in the case of Yâkita, Anvâhita, and other such deposits, articles made over to an artist, Nyâsa and Pratinyâsa deposits.
2	15	If a man takes charge of a wealthy boy, the law is also the same. These six cases are equal (from a legal point of view).
3	1	Where traders or others carry on business jointly, it is called Partnership, which is a title of law.
3	2	Where several partners are jointly carrying on business for the purpose of gain, the contribution of funds towards the common stock of the association forms the basis (of their undertakings). Therefore let each contribute his proper share.
3	3	The loss, expenses, and profit of each partner are either equal to those of the other partners, or exceed them, or remain below them, according as his share is equal to theirs, or greater, or less.
3	4	The stores, the food, the charges (for tolls and the like), the loss, the freight, and the expense of keeping valuables must be duly paid for by each of the several partners, in accordance with the terms of their agreements.
3	5	(Each partner) is responsible for what has beenlost by his want of care, or in consequence of his acting against the instructions of, or without authorization from, all the other coparceners.
3	6	Where the property of the partnership is in danger through fate, through a gang of robbers, or through the king, the tenth part of the goods shall belong to him who has preserved them through his own exertion.
3	7	Should one partner meet with an accident, his heir shall replace him; or on failure of an heir, another man, or all (the partners) if they are capable (of becoming his substitute).
3	8	In the sane way, where an officiating priest has met with an accident, another (priest) shall officiate for him, and receive from him his part of the fee to the stipulated amount.
3	9	Where an officiating priest forsakes a sacrificer,who is no offender and free from guilt, or where (a sacrificer) forsakes a faultless priest, they shall both be punished.
3	10	There are three sorts of officiating priests: one honoured by previous generations, one appointed by (the sacrificer) himself, and one who performs the functions of a priest of his own accord through friendship.
3	11	This law applies to hereditary and self-chosen priests. But it is no sin to abandon a priest officiating of his own accord.
3	12	A trader on reaching a toll-house should pay the legal duty. A prudent man must not try to evade it, (because) it is called the (king's) tax.
3	13	If he evades a toll-house, or if he buys or sells at another than the legal hour, or if he does not state the value (of his goods) correctly, he shall be fined eight times the amount which he tried to evade.
3	14	It is declared that a wise man should always abstain from levying a toll on that property of a learned Brahman which belongs to his household; but not (on that which he uses) for trading purposes.
3	15	The alms received by Brahmans, the property of stage players, and what is capable of being carried on one's back; on all that he must raise no duty.
3	16	If a travelling merchant who has come into his country should die there, the king shall preserve his goods till the heir comes forward.
3	17	On failure of an heir, he must make them over to his relatives or connexions. On failure of them, he shall keep them well guarded for a period of ten years.
3	18	When such property without an owner, and which is not claimed by an heir, has been preserved for ten years, the king may keep it for himself. Thus the sacred law will not be violated.
4	1	Where a man wishes to resume what he has given, because it has been unduly given by him, it is called Resumption of Gift, a title of law.
4	2	What may be given and what not, valid gifts and invalid gifts; thus the law of gift is declared fourfold in judicial affairs.
4	3	Again, what may not be given is eightfold; what may be given is of one kind only; of valid gifts there are seven species; and sixteen sorts of invalid gifts.
4	4	An Anvâhita deposit, a Yâkita, a pledge, joint property, a deposit, a son, a wife, the whole property of one who has offspring,
4	5	And what has been promised to another man; these have been declared by the spiritual guides to be inalienable by one in the worst plight even.
4	6	What is left (of the property) after the expense of maintaining the family has been defrayed,may be given. But by giving away anything besides, a householder will incur censure.
4	7	He who has, for three years, property sufficient to provide for those whom he is bound to maintain, or who has even more than that, shall drink the Soma juice.
4	8	The price paid for merchandise, wages, (a present offered) for an amusement, (a gift made) from affection, or from gratitude, or for sexual intercourse with a woman, and a respectful gift, are the seven kinds of valid gifts.
4	9	Invalid gifts are the following (sixteen): whathas been given by a man under the influence of fear, anger, hatred, sorrow or pain; or as a bribe; or in jest; or fraudulently, under false pretences;
4	10	Or by a child; or by a fool; or by a person not his own master; or by one distressed; or by one intoxicated; or by one insane; or in consideration of a reward, thinking 'This man will show me some service;
4	11	And so is invalid what was given from ignorance to an unworthy man thought to be worthy, or for a purpose (thought to be) virtuous.
4	12	Both the donee who covets invalid gifts and accepts them from avarice, and the donor of what ought not to be given who yet gives it away, deserve punishment.
5	1	If a man has promised to render service and fails to render it, it is termed Breach of a Contract of Service, a title of law.
5	2	The sages have distinguished five sorts of attendants according to law. Among these are four sorts of labourers; the slaves (are the fifth category, of which there are) fifteen species.
5	3	A student, an apprentice, a hired servant, and fourthly, an official; these must be regarded as labourers; slaves are those born in the house and the rest.
5	4	The sages have declared that the state of dependence is common to all these; but that their respective position and income depends on their particular caste and occupation.
5	5	Know that there are two sorts of occupations; pure work and impure work. Impure work is that done by slaves. Pure work is that done by labourers.
5	6	Sweeping the gateway, the privy, the road,and the place for rubbish; shampooing the secret parts of the body; gathering and putting away the leavings of food, ordure, and urine,
5	7	And lastly, rubbing the master's limbs when desired; this should be regarded as impure work. All other work besides this is pure.
5	8	Till he has mastered science, let a student attend diligently on his teacher. The same conduct has to be observed by him towards his teacher's wife and son.
5	9	Let him preserve chastity and beg alms, lying on a low couch and using no ornaments. Let him go to rest after and rise before all (others who are staying at) his teacher's house,
5	10	Let him never come or stay without his teacher's bidding. His (teacher's) call he must obey without hesitation, when he is able to do so.
5	11	Let him read at the proper time, when his teacher is not averse to it, sitting on a lower seat than his teacher, by his side, or on a bench, and paying attention (to what he says).
5	12	Science, like the current of a stream, is constantly advancing towards the plain. Therefore, let one studying science be humble towards his teacher.
5	13	His teacher shall correct him, if he does notpay obedience to him, scolding him or chastising him with a rope or with a small shoot of cane.
5	14	(The teacher) must not strike him a heavy blow, nor (must he beat him) on a noble part or on the chest; and he must encourage him, after having chastised him. Otherwise the king shall punish him.
5	15	After having completed his studies, let him give the customary present to his teacher and turn home. The conduct of a pupil has been declared.
5	16	If (a young man) wishes to be initiated into the art of his own craft, with the sanction of his relations, he must go and live with a master, the duration of his apprenticeship having been fixed.
5	17	The master shall teach him at his own house and feed him. He must not employ him in work of a different description, and treat him like a son.
5	18	If one forsakes a master, who instructs himand whose character is unexceptionable, he may be compelled by forcible means to remain (at the master's house), and he deserves corporal punishment and confinement.
5	19	Though his course of instruction be completed, an apprentice must continue to reside at the house of his master, till the fixed period has expired. The profit of whatever work he may be doing there belongs to his master.
5	20	When he has learnt the art of his craft within the (stipulated) period, the apprentice shall reward his master as plentifully as he can, and return home, after having taken leave of him.
5	21	Or, a certain fee having been agreed upon and the skill of the pupil examined, the apprentice shall take (his fee) and shall not go to live in the house of another man.
5	22	Hired servants are of three kinds: highest, middlemost, and lowest. The wages due for their labour are fixed in proportion to their skill and to the value of their services.
5	23	Soldiers constitute the highest class, agriculturists the middle class, and porters the lowest class. These are the three classes of hired servants.
5	24	One appointed to manage the property (of the family) and to superintend the household, must also be regarded as a labourer. He is also termed Kautumbika (the general family servant).
5	25	Thus have the four classes of servants doing pure work been enumerated. All the others do dirty work and are slaves, of whom there are fifteen kinds.
5	26	One born at (his master's) house; one purchased;one received (by gift); one obtained by inheritance; one maintained during a general famine; one pledged by his rightful owner;
5	27	One released from a heavy debt; one made captive in a fight; one won through a wager; one who has come forward declaring, 'I am thine;' an apostate from asceticism; one enslaved for a stipulated period;
5	28	One who has become a slave in order to get a maintenance; one enslaved on account of his connexion with a female slave; and one self-sold. These are the fifteen classes of slaves as declared in law.
5	29	Among these, the four named first cannot be released from bondage, except by the favour of their owners. Their bondage is hereditary.
5	30	Should any one out of them (however) save his master's life, when his life is in peril, he shall be released from slavery and shall take a son's share (of his master's wealth).
5	31	One maintained during a famine is released from bondage if he gives a pair of oxen. It is notby labour (alone) that the value of the food consumed during a famine can be repaid.
5	32	One pledged (is released) when his master redeems him by discharging the debt. If, however, he causes (the pledgee) to take him in lieu of payment, he becomes equal to a purchased slave.
5	33	It is by paying his debt with interest, that a debtor is released from slavery. One enslaved for a stipulated period recovers freedom on the expiration of that period.
5	34	One who has come forward declaring, 'I am thine,' one made a prisoner in war, and one won through a wager, these are released on giving a substitute whose capacity for work is equal to theirs.
5	35	An apostate from asceticism shall become the king's slave. He can never be emancipated, nor is there any expiation of his crime.
5	36	One who has become a slave in order to get a maintenance, is released at once on giving up the said subsistence. One enslaved on account of his being connected with a female slave is released on parting with her.
5	37	That wretch who, being independent, sells himself, is the vilest of slaves. He cannot be released from bondage.
5	38	Those who are sold after having been captured by robbers, and those who are enslaved by forcible means, must be emancipated by the king. Their slavery is not legal.
5	39	In the inverse order of the (four) castes,slavery is not ordained, except where a man violates the duties peculiar to his caste. Slavery (in that respect) is analogous to the condition of a wife.
5	40	If one not his own master offers himself (as a slave), saying, 'I am thine,' he (to whom he has offered himself) may not dispose of him. His former master may recover him when he likes.
5	41	Three persons are declared to have no proprietary right: a wife, a slave, and a son. Whatever property they acquire shall be made over to him to whom they belong.
5	42	He who pleased in his mind wishes to emancipate his own slave, shall take from his (the slave's) shoulders a jar filled with water and smash it.
5	43	He shall sprinkle his head with the water, which must contain whole grain and flowers, andhaving declared him a free man three times, he shall dismiss him with his face turned towards the east .
6	1	A series of rules will be stated (next) for the payment and non-payment of labourers’ wages. It is termed 'Non-payment of Wages,' a title of law.
6	2	A master shall regularly pay wages to the servant hired by him, whether it be at the commencement, at the middle, or at the end of his work, just as he had agreed to do.
6	3	Where the amount of the wages has not been fixed, (the servant of) a trader, a herdsman, and an agricultural servant shall respectively take a tenth part of the profit (derived from the sale of merchandise), of the seed of cows, and of the grain.
6	4	Their implements of work, and whatever elsemay have been entrusted to them for their business, they shall employ with due care and not neglect them wantonly.
6	5	If one fails to perform such work as he had promised to do, he shall be compelled to perform it, first paying him his wages. If he does not perform it after having taken wages, he must pay back twice the amount of his wages.
6	6	One who abandons merchandise which he had agreed to convey to its destination, shall give a sixth part of the wages. (An employer) who does not pay the wages which he had agreed to give shall forfeit those wages together with interest.
6	7	A merchant who does not take a conveyanceor beasts for draught or burden, after having hired them, shall be made to pay a fourth part of the hire; and the whole, if he leaves them half-way.
6	8	And so shall a carrier who fails to transport (the goods entrusted to him) forfeit his wages. He shall be compelled to pay twice the amount of his wages, if he raises difficulties at the time of starting.
6	9	When the merchandise has been damaged by the carrier's fault, he shall have to make good every loss, not including such losses as may have been caused by fate or by the king,
6	10	For (tending) a hundred cows, (a heifer shall be given to the herdsman) as wages every year; for (tending) two hundred (cows), a milch cow (shall be given to him annually), and he shall be allowed to milk (all the cows) every eighth day.
6	11	Those (cows) which a cowherd takes topasture every day when the night is over, he shall take back again in the evening, after they have eaten (grass) and drunk (water).
