Part	+Book	Chapter	Decade	Text	Hymn
FIRST PART	BOOK V	CHAPTER I	DECADE II Indra.	3	Fail not when marching onward: come hither, like-spirited, stay not far away 
FIRST PART	BOOK V	CHAPTER I	DECADE II Indra.	4	Come hither to the dropping juice, O Lord of cornland. Lord of horses, Lord of kine: 
FIRST PART	BOOK V	CHAPTER I	DECADE II Indra.	5	Hero, may we, with thee for friend, withstand the man who pants against us in his wrath, 
FIRST PART	BOOK V	CHAPTER I	DECADE II Indra.	6	Yea, kin by common ancestry, the Maruts, even the oxen, close united friends! 
FIRST PART	BOOK V	CHAPTER I	DECADE II Indra.	7	O Indra, bring great strength to us, bring valour, Satakratu, thou most active, bring 
FIRST PART	BOOK V	CHAPTER I	DECADE II Indra.	8	So, Indra, friend of song, do we draw nigh to thee with longing; we have streamed to thee 
FIRST PART	BOOK V	CHAPTER I	DECADE II Indra.	9	Sitting like birds beside thy meath, mingled with milk, which gladdeneth and exalteth thee, 
FIRST PART	BOOK V	CHAPTER I	DECADE II Indra.	10	We call on thee, O matchless one! We, seeking help, possessing nothing firm ourselves, 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	1	The juice of Soma thus diffused, sweet to the taste the bright cows drink, 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	2	Thus hath the Soma, gladdening draught, produced the prayer that giveth joy: 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	3	By men hath Indra been advanced, the Vritra-slayer, to joy and strength. 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	4	Unconquered strength is only thine, Indra, Stonecaster, Thunder-armed! 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	5	Go forward, meet the foe, be bold; thy bolt of thunder is not checked! 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	6	When war and battles are on foot, booty is offered to the bold. 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	7	Wcll have they eaten and rejoiced; the friends have risen and passed away: 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	8	Graciously listen to our songs. Maghavan, be not negligent! 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	9	Within the waters runs the Moon, he with the beauteous wings in heaven. 
FIRST PART	BOOK V	CHAPTER I	DECADE III Indra	10	To meet your treasure-bringing car, the mighty car most dear to us. 
FIRST PART	BOOK V	CHAPTER I	DECADE IV Agni and others.	1	O Agni, God, we kindle thee, refulgent, wasting not away, 
FIRST PART	BOOK V	CHAPTER I	DECADE IV Agni and others.	2	With offerings of our own we choose thee, Agni, as our Hotar priest, 
FIRST PART	BOOK V	CHAPTER I	DECADE IV Agni and others.	3	O heavenly Dawn, awaken us to ample opulence to-day, 
FIRST PART	BOOK V	CHAPTER I	DECADE IV Agni and others.	4	Send us a mind that brings delight, send energy and mental power. 
FIRST PART	BOOK V	CHAPTER I	DECADE IV Agni and others.	5	Great, as his nature is, through power, terrible, he hath waxed in strength, 
FIRST PART	BOOK V	CHAPTER I	DECADE IV Agni and others.	6	He, Indra, verily will mount the powerful car that finds the kine, 
FIRST PART	BOOK V	CHAPTER I	DECADE IV Agni and others.	7	I think of Agni who is kind, whom, as their home, the milch-kine seek: 
FIRST PART	BOOK V	CHAPTER I	DECADE IV Agni and others.	8	No peril, no severe distress, ye Gods, affects the mortal man 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	1	Flow forth, O Soma, flow thou onward, sweet to Indra's Mitra's, Pushan's, Bhaga's taste. 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	2	Run forth to battle, conquering the Vritras; thou speedest to quell the foes like one exacting debts. 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	3	Flow onward, Soma, as a mighty sea, as Father of the Gods, to every form. 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	4	Flow onward, Soma, flow for mighty strength, as a strong courser, bathed, to win the prize. 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	5	Fair Indu hath flowed on for rapturous joy, sage, for good fortune, in the waters' lap. 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	6	In thee, effused. O Soma, we rejoice ourselves for great supremacy in fight: 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	7	Who are these radiant men in serried rank, Rudra's young heroes, too, with noble steeds? 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	8	Agni, with hymns may we now accomplish that which thou lovest, 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	9	The strong youths have come forth to view, to show their strength, God Savitar's quickening energy: 
FIRST PART	BOOK V	CHAPTER I	DECADE V Soma Pavamana	10	Soma, flow splendid with thy copious stream in due succession through the ample fleece.
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	1	Giver from all sides, bring to us from every side, thou whom as strongest we entreat! 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	2	This Brahman, comer at due time, named Indra, is renowned and praised. 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	3	The Brahmans with their hymns exalting Indra increased his strength that he might slaughter Ahi. 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	4	Anavas wrought a chariot for thy courser, and Tvashtar, much-invoked! the bolt that gitters: 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	5	Rest, wealth to him who longs for wealth! the riteless stirs not his love nor wins his way to riches. 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	6	The cows are ever pure and all-supporting, the Gods are ever free from stain and blemish. 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	7	With all thy beauty come! The kine approaching with full udders follow on thy path. 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	8	May we, inhabiting a meath-rich dwelling, increase our wealth, and think of thee, O Indra! 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	9	The Maruts with fair hymns chant out their praise-song: this Indra, famed and youthful, shouts accordant. 
FIRST PART	BOOK V	CHAPTER II	DECADE I. Indra	10	Sing to your Indra, mightiest Vritra-slayer, sing to the Sage the song that he accepteth!
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	1	Observant Agni hath appeared, oblation-bearer with his car. 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	2	O Agni, be our nearest friend, yea, our protector and our kind deliverer! 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	3	Like wondrous Bhaga, Agni deals treasure among the mighty. 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	4	Far off or present even now, send forth thy shouting first of all! 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	5	Dawn drives away her sister's gloom, and through her excellence makes her retrace her path. 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	6	May we, with Indra and the Gods to aid us, bring these existing worlds to full completion! 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	7	Like streams of water on their way, let bounties, Indra, flow from thee! 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	8	With this may we obtain strength god-appointed, happy with brave sons through a hundred winters! 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	9	With strength let Mitra, Varuna swell oblations; do thou prepare for us rich food, O Indra! 
FIRST PART	BOOK V	CHAPTER II	DECADE II Agni Indra	10	Indra is King of all the world.
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	1	At the Trikadrukas the great and strong enjoyed the barley-brew. With Vishnu did he drink the pressed-out Soma juice, even as he would. 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	2	This God who sees for thousands of mankind, the light, the thought of poets, and the Law, 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	3	Come to us, Indra, from afar, conducting us, as, to the gatherings, a Lord of heroes, as an archer King, the heroes' Lord! 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	4	Loudly I call that Indra Maghavan, the mighty, resistless, evermore possessing many glories. 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	5	Heard be our prayer! In thought I honour Agni first: now straightway we elect this heavenly company, Indra and Vayu we elect. 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	6	To Vishnu, to the mighty whom the Maruts follow, let your hymns born in song go forth, Evayamarut! 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	7	With this his golden splendour purifying him, be with his own allies subdues all enemies, as Sura with his own allies. 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	8	I praise this God, parent of heaven and earth, exceeding wise, possessed of real energy, giver of treasure, thinker dear to all, 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	9	Agni I deem our Hotar-priest, munificent wealth-giver, Son of Strength, who, knoweth all that is, even as the Sage who, knoweth all. 
FIRST PART	BOOK V	CHAPTER II	DECADE III Indra and others	10	This, Indra! dancer! was thy hero deed, thy first and ancient work, worthy to be told forth in heaven, 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	1	High is thy juice's birth: though set it heaven, on earth it hath obtained dread sheltering power and great renown. 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	2	In sweetest and most gladdening stream flow pure, O Soma, on thy way, pressed out for Indra, for his drink! 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	3	Flow onward mighty with thy stream, inspiriting the Maruts' Lord, winning all riches with thy power! 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	4	Flow onward with that juice of thine most excellent, that brings delight, slaying the wicked, dear to Gods! 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	5	Three several words are uttered: kine are lowing, cows who give the milk; the tawny-hued goes bellowing on. 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	6	For Indra girt by Maruts, flow, thou Indu, very rich in meath, to seat thee in the place of song! 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	7	Strong, mountain-born, the stalk hath been pressed in the streams for rapturous joy. Hawk-like he settles in his home. 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	8	Gold-hued! as one who giveth strength flow on for Gods to drink, a draught for Vayu and the Marut host! 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	9	Soma, the dweller on the hills, effused, hath flowed into the sieve. All-bounteous art thou in carouse. 
FIRST PART	BOOK V	CHAPTER II	DECADE IV Soma Pavamana	10	The Sage of heaven whose heart is wise, when laid between both hands, with roars, gives us delightful powers of life.
FIRST PART	BOOK V	CHAPTER II	DECADE V Soma Pavamana	1	The rapture-shedding Somas have flowed forth in our assembly, pressed to glorify our liberal lords. 
FIRST PART	BOOK V	CHAPTER II	DECADE V Soma Pavamana	2	The Somas, skilled in song, the waves, have led the water forward, like buffaloes speeding to the woods. 
FIRST PART	BOOK V	CHAPTER II	DECADE V Soma Pavamana	3	Indu flow on, a mighty juice; glorify us among the folk: drive all our enemies away! 
FIRST PART	BOOK V	CHAPTER II	DECADE V Soma Pavamana	4	For thou art strong by splendour: we, O Pavamana, call on thee, the brilliant looker on the light. 
FIRST PART	BOOK V	CHAPTER II	DECADE V Soma Pavamana	5	Indu, enlightener, dear, the thought of poets, hath flowed clearly, like a charioteer who starts the steed. 
FIRST PART	BOOK V	CHAPTER II	DECADE V Soma Pavamana	6	Through our desire of heroes, kine, and horses, potent Soma drops, brilliant and swift, have been effused. 
FIRST PART	BOOK V	CHAPTER II	DECADE V Soma Pavamana	9	Pressed for the gladdening draught the drops flow forth abundantly with song, flow onward with the stream of meath. 
FIRST PART	BOOK V	CHAPTER II	DECADE V Soma Pavamana	10	Reposing on the river's wave, the Sage hath widely flowed around, bearing the bard whom many love.
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	1	The Gods have come to Indu well-descended, beautified with milk, the active crusher of the foe. 
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	2	Active, while being purified, he hath assailed all enemies: they deck the Sage with holy hymns. 
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	3	Pouring all glories hither, he, effused, hath passed within the jar: Indu on Indra is bestowed. 
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	4	From the two press-boards is the juice sent, like a car-horse, to the sieve: the steed steps forward to the goal. 
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	5	Impetuous, bright, have they come forth, unwearied in their speed, like bulls, driving the black skin far away. 
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	6	Soma, thou flowest chasing foes, finder of wisdom and delight: drive thou the godless folk afar! 
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	8	Flow onward thou who strengthenedst Indra to slaughter Vritra who compassed and stayed the mighty floods! 
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	9	Flow onward, Indu, with this food for him who in thy wild delights battered the nine-and-ninety down! 
FIRST PART	BOOK VI	CHAPTER I	DECADE I Soma Pavamana	10	Flow, pressed, into the filter, speed the heavenly one who winneth wealth, who bringeth booty through our juice!
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	1	The tawny Bull hath bellowed, fair as mighty Mitra to behold: he gleams and flashes with the Sun. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	2	We choose to-day that chariot-steed of thine, the strong, that brings us bliss, the guardian, the desire of all. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	3	Adhvaryu, to the filter lead the Soma juice expressed with stones: make thou it pure for Indra's drink. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	4	Swift runs this giver of delight, even the stream of flowingjuice: Swift runs this giver of delight. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	5	Pour hitherward, O Soma, wealth in thousands and heroic strength, and keep renown secure for us! 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	6	The ancient living ones have come unto a newer resting-place. They made the Sun that he might shine. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	7	Soma, flow on exceeding bright with loud roar to the reservoirs, resting in wooden vats, thy home! 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	8	O Soma, thou, art strong and bright, potent, O God, with potent sway: thou, mighty one, ordainest laws. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	9	For food, flow onward with thy stream, cleansed and made bright by sapient men: Indu. with sheen approach the milk! 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	10	Soma, flow on with pleasant stream, strong and devoted to the Gods, our friend, unto the woollen sieve. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	11	By this solemnity, Soma, thou, though great, hast been increased: in joy thou, verily actest like a bull! 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	12	Most active and benevolent, this Pavamana sent to us for lofty friendship meditates. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	13	Indu, to us for this great rite, bearing as 'twere thy wave to Gods, unwearied, thou art flowing on. 
FIRST PART	BOOK VI	CHAPTER I	DECADE II Soma Pavamana	14	Chasing our foemen, driving off the godless, Soma floweth on, going to Indra's settled place.
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	1	Cleansing thee, Soma, in thy stream, thou flowest in a watery robe: giver of wealth, thou sittest in the place of Law, O God, a fountain made of gold. 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	2	Hence sprinkle forth the juice effused, Soma, the best of sacred gifts, who, friend of man, hath run amid the water-streams! He hath pressed Soma out with stones. 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	3	Expressed by stones, O Soma, and urged through the long wool of the sheep, thou, entering the press-boards even as men a fort, gold-hued hast settled in the vats. 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	4	O Soma,--for the feast of Gods, river-like he hath swelled with surge, sweet with the liquor of the stalk, as one who wakes, into the vat that drops with meath. 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	5	Pressed out by pressers, Soma goes over the fleecy backs of sheep, goes, even as with a mare, in tawny-coloured stream, goes in a sweetly-sounding stream. 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	6	O Soma, Indu, every day thy friendship hath been my delight. Many fiends follow me help me, thou tawny-hued: pass on beyond these barriers! 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	7	Deft-handed! thou when purified liftest thy voice amid the sea. Thou, Pavamana, makest riches flow to us, yellow, abundant, much desired. 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	8	The living drops of Soma juice pour, as they flow, the gladdening drink, intelligent drops above the station of the sea, exhilarating, dropping meath. 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	9	Soma, while thou art cleansed, most dear and watchful in the sheep's long wool, most like to Angiras! thou hast become a sage. Sprinkle our sacrifice with mead! 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	10	Soma, the gladdening juice, flows pressed for Indra with his Marut host: he hastens o'er the fleece with all his thousand streams: him, him the men make pure and bright. 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	11	Flow on, best winner of the spoil, to precious gifts of every sort! Thou art a sea according to the highest law, joy-giver, Soma! to the Gods 
FIRST PART	BOOK VI	CHAPTER I	DECADE III Soma Pavamana	12	Over the cleansing sieve have flowed the Pavamanas in a stream, girt by the Maruts, gladdening, steeds with Indra's strength, for wisdom and for dainty food.
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	1	Run onward to the reservoir and seat thee: cleansed by the men speed forward to the battle! 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	2	The God declares the deities' generations, like Uaana, proclaiming lofty wisdom. 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	3	Three are the voices that the car-steed utters: he speaks the lore of prayer, the thought of Order. 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	4	Made pure by this man's urgent zeal and impulse, the God hath with his juice the Gods pervaded. 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	5	Father of holy hymns Soma flows onward, the father of the earth, father of heaven; 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	6	To him, praiseworthy, sacred tones have sounded, Steer of the triple height, the life-bestower. 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	7	Guard of all being, generating creatures, loud roared the sea as highest law commanded. 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	8	Loud neighs the tawny steed when started, settling deep in the wooden vessel while they cleanse him. 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	9	This thine own Soma, rich in meath, O Indra, the Strong, hath flowed into the Strong One's filter. 
FIRST PART	BOOK VI	CHAPTER I	DECADE IV Soma Pavamana	10	Flow onward, Soma, rich in meath, and holy, enrobed in waters, on the fleecy summit! 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	1	In forefront of the cars forth goes the hero, the leader, seeking spoil: his host rejoices. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	2	Thy streams have been poured forth with all their sweetness, when, cleansed thou passest through the woollen filter. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	3	Let us sing praises to the Gods: sing loudly, send ye the Soma forth for mighty riches! 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	4	Urged on, the father of the earth and heaven hath gone forth like a car to gather booty. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	5	When, by the law of the Most High, in presence of heaven and earth, the fond mind's utterance formed him. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	6	Ten sisters, pouring out the rain together, the sage's quickly-moving thoughts, adorn him. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	7	When beauties strive for him as for a charger, then strive the songs as people for the sunlight. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	8	Strong Indu, bathed in milk, flows on for Indra, Soma exciting, strength, for his carousal. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	9	Pour forth this wealth with this purification: flow onward to the yellow lake, O Indu! 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	10	Soma, the mighty, when, the waters' offspring, he chose the Gods, performed that great achievement. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	11	As for a chariot-race, the skilful speaker, first hymn, inventor, hath with song been started. 
FIRST PART	BOOK VI	CHAPTER I	DECADE V Soma Pavamana	12	Hastening onward like the waves of waters our holy hymns are coming forth to Soma. 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	1	For first possession of your juice. for the exhilarating drink, 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	2	As Pushan. Fortune, Bhaga, comes this Soma while they make him pure. 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	3	The Somas, very rich in sweets, for which the sieve is destined,. flow 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	4	For us the Soma juices flow, the drops best furtherers of weal, 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	5	Stream on us riches that are craved by hundreds, best at winning spoil, 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	6	The guileless ones are singing praise to Indra's well-beloved friend, 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	7	They for the bold and lovely one ply manly vigour like a bow; 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	8	Him with ths fleece they purify, brown, golden-hued, beloved of all, 
FIRST PART	BOOK VI	CHAPTER II	DECADE I Soma Pavamana	9	Let him, as mortal, crave this speech, for him who presses, of the juice, 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	1	Graciously-minded he is flowing on his way to win dear names o'er which the youthful one grows great. 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	2	Spontaneous let our drops of Soma juice flow on, pressed out and tawny-coloured, mightily, to the Gods! 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	3	Most beauteous of the beauteous, Indra's thunderbolt, this Soma, rich in sweets, hath clamoured in the vat. 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	4	Indu hath started forth for Indra's settled place, and slights not, as a friend, the promise of his friend. 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	5	On flows the potent juice, sustainer of the heavens; the strength of Gods, whom men must hail with shouts of joy. 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	6	Far-seeing Soma flows, the Steer, the Lord of hymns, the furtherer of days, of mornings, and of heaven. 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	7	The three-times seven milch-kine in the loftiest heaven have for this Soma poured the genuine milky draught. 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	8	Flow on to indra, Soma, carefully effused: let sickness stay afar together with the fiend! 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	9	Even as a King hath Soma, red and tawny Bull, been pressed: the wondrous one hath bellowed to the kine. 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	10	The drops of Soma juice, like cows who yield their milk, have flowed forth, rich in meath, unto the diety, 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	11	They balm him, balm him over, balm him thoroughly, caress the mighty strength and balm it with the meath. 
FIRST PART	BOOK VI	CHAPTER II	DECADE II Soma Pavamana	12	Spread is thy cleansing filter, Brahmanaspati: as prince thou enterest its limbs from every side. 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	1	To Indra, to the mighty one, let these gold-coloured juices go, 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	2	Flow vigilant for Indra, thou Soma, yea, Indu, run thou forth; 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	3	Sit down, O friends, and sing aloud to him who purifies himself. 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	4	Friends, hymn your Lord who makes him pure for rapturous 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	5	Breath of the mighty Dames, the Child, speeding the plan of' sacrifice, 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	6	In might, O Indu, with thy streams flow for the banquet of the Gods: 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	7	Soma, while filtered, with his wave flows through the long wool of the sheep, 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	8	The speech is uttered for the Sage, for Soma being purified: 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	9	Flow to us, Indu, very strong, effused, with wealth of kine and, steeds, 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	10	Voices have sung aloud to thee as finder-out of wealth for us: 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	11	Gold-hued and lovely in his course through tangles of the wooli he flows: 
FIRST PART	BOOK VI	CHAPTER II	DECADE III Soma Pavamana	12	On through the long wool of the sheep to the meath-dropping vat he flows: 
FIRST PART	BOOK VI	CHAPTER II	DECADE IV Soma Pavamana	2	Make high and splendid glory shine hitherward, Lord of food, God, on the friend of Gods: 
FIRST PART	BOOK VI	CHAPTER II	DECADE IV Soma Pavamana	3	Press ye and pour him, like a steed, laud-worthy, speeding through the region and the flood, 
FIRST PART	BOOK VI	CHAPTER II	DECADE IV Soma Pavamana	4	Him, even this Steer who milks the heavens, him with a thousand streams, distilling rapturous joy, 
FIRST PART	BOOK VI	CHAPTER II	DECADE IV Soma Pavamana	5	Effused is he who brings good things, who brings us store of' wealth and sweet refreshing food, 
FIRST PART	BOOK VI	CHAPTER II	DECADE IV Soma Pavamana	6	For, verily, Pavamana, thou, divine! endued with brightest splendour calling all 
FIRST PART	BOOK VI	CHAPTER II	DECADE IV Soma Pavamana	7	Effused, he floweth in a stream, best rapture-giver, in the longwool of the sheep, 
FIRST PART	BOOK VI	CHAPTER II	DECADE IV Soma Pavamana	8	He who from out the rocky cavern with his might took forth the red-refulgent cows-- 
PART SECOND	BOOK I	CHAPTER I	I Soma Pavamana	1	Sing forth to Indu, O ye men, to him who now is purified, 
PART SECOND	BOOK I	CHAPTER I	I Soma Pavamana	3	Bring health to cattle with thy flow, health to the people, health, to steeds, 
PART SECOND	BOOK I	CHAPTER I	II Soma Pavamana	1	Bright are these Somas blent with milk, with light that flashes brilliantly, 
PART SECOND	BOOK I	CHAPTER I	II Soma Pavamana	2	Roused by his drivers and sent forth, the strong Steed hath come: nigh for spoil, 
PART SECOND	BOOK I	CHAPTER I	II Soma Pavamana	3	Specially, Soma, Sage, by day, coming together for our weal, 
PART SECOND	BOOK I	CHAPTER I	III Soma Pavamana	1	The streams of Pavamana, thine, Sage, mighty one, have poured them forth, 
PART SECOND	BOOK I	CHAPTER I	III Soma Pavamana	2	They have been poured upon the Reece towards the meath-distilling vat: 
PART SECOND	BOOK I	CHAPTER I	III Soma Pavamana	3	Like milch-kine coming home, the drops of Soma juice have reached the lake, 
PART SECOND	BOOK I	CHAPTER I	IV Agni	1	Come, Agni, praised with song to feast and sacrificial offerings: sit 
PART SECOND	BOOK I	CHAPTER I	IV Agni	2	So, Angiras, we make thee strong with fuel and with holy oil. 
PART SECOND	BOOK I	CHAPTER I	IV Agni	3	For us thou winnest, Agni, God, heroic strength exceeding great, Far-spreading and of high renown.
