Adhyaya_no	Kandika_no	Text_no	Hymn
1	22	20	. When he has fulfilled those observances, (the teacher) performs (for him) the 'production of intelligence,' (in the following way):
1	22	21	. While (the student) towards an unobjectionable direction (of the horizon) sprinkles thrice (water) from the left to the right with a water-pot round a[paragraph continues] Palâsa (tree) with one root, or round a Kusa bunch, if there is no Palâsa, (the teacher) causes him to say, 'O glorious one, thou art glorious. As thou, O glorious one, art glorious, thus, O glorious one, lead me to glory. As thou art the preserver of the treasure of sacrifice for the gods, thus may I become the preserver of the treasure of the Veda for men.'
1	22	22	. Thereby, beginning with his having the hair cut, and ending with the giving in charge, the imposing of observances has been declared.
1	22	23	Thus for one who has not been initiated before.
1	22	24	Now as regards one who has been initiated before:
1	22	25	. The cutting of the hair is optional,
1	22	26	. And the 'production of intelligence.'
1	22	27	. On the giving in charge there are no express rules (in this case);
1	22	28	. And on the time.
1	22	29	. (He should recite to him) as the Sâvitrî (the Rik),'That we choose of god Savitri' .
1	23	1	. He chooses priests (for officiating at a sacrifice) with neither deficient nor superfluous limbs, 'who onthe mother's and on the father's side (&c.),' as it has been said above.
1	23	2	Let him choose young men as officiating priests: thus (declare) some (teachers).
1	23	3	He chooses first the Brahman, then the Hotri, then the Adhvaryu, then the Udgâtri.
1	23	4	. Or all who officiate at the Ahîna sacrifices and at those lasting one day.
1	23	5	. The Kaushîtakinas prescribe the Sadasya as the seventeenth, saying, 'He is the looker-on at the performances.'
1	23	6	. This has been said in the two Rikas, 'He whom the officiating priests, performing (the sacrifice) in many ways' .
1	23	7	. He chooses the Hotri first.
1	23	8	With (the formula), 'Agni is my Hotri; he is my Hotri; I choose thee N.N. as my Hotri' (he chooses) the Hotri.
1	23	9	With (the formula), 'Kandramas (the moon) is my Brahman; he is my Brahman; I choose thee N.N. as my Brahman' (he chooses) the Brahman.
1	23	10	With (the formula), 'Âditya (the sun) is my Adhvaryu; (he is my Adhvaryu, &c.)'—the Adhvaryu.
1	23	11	With (the formula), 'Parganya is my Udgâtri; (he is my Udgâtri, &c.)'—the Udgâtri.
1	23	12	. With (the formula), 'The waters are my reciters of what belongs to the Hotrakas'—the Hotrakas.
1	23	13	. With (the formula), 'The rays are my Kamasâdhvaryus'—the Kamasâdhvaryus.
1	23	14	With (the formula), 'The ether is my Sadasya'—the Sadasya.
1	23	15	He whom he has chosen should murmur, 'A great thing thou hast told me; splendour thou hast told me; fortune thou hast told me; glory thou hast told me; praise thou hast told me; success thou hast told me; enjoyment thou hast told me; satiating thou hast told me; everything thou hast told me.'
1	23	16	Having murmured (this formula), the Hotri declares his assent (in the words), 'Agni is thy Hotri; he is thy Hotri; thy human Hotri am I.'
1	23	17	'Kandramas (the moon) is thy Brahman; he is thy Brahman (&c.)'—thus the Brahman.
1	23	18	In the same way the others according to the prescriptions (given above).
1	23	19	. And if (the priest who accepts the invitation)is going to perform the sacrifice (for the inviting person, he should add), 'May that bless me; may that enter upon me; may I thereby enjoy (bliss).'
1	23	20	. The functions of an officiating priest are not to be exercised, if abandoned (by another priest), or at an Ahîna sacrifice with small sacrificial fee, or for a person that is sick, or suffering, or affected with consumption, or decried among the people in his village, or of despised extraction: for such persons (the functions of a Ritvig should not be exercised).
1	23	21	. He (who is chosen as a Ritvig) should ask the Somapravâka, 'What sacrifice is it? Who arethe priests officiating? What is the fee for the sacrifice?'
1	23	22	If (all the conditions) are favourable, he should accept.
1	23	23	Let (the officiating priests) eat no flesh nor have intercourse with a wife until the completion of the sacrifice.
1	23	24	'By this prayer, O Agni, increase' —with (this verse) let him offer (at the end of the sacrifice) an oblation of Âgya in (his own) Dakshinâgni, and go away where he likes;
1	23	25	In the same way one who has not set up the (Srauta) fires, in his (sacred) domestic fire with this Rik, 'Forgive us, O Agni, this sin' .
1	24	1	. When he has chosen the Ritvigas, he should offer the Madhuparka (i.e. honey-mixture) to them ;
1	24	2	To a Snâtaka, when he comes to his house;
1	24	3	And to a king;
1	24	4	And for a teacher, the father-in-law, a paternal uncle, and a maternal uncle.
1	24	5	He pours honey into curds,
1	24	6	Or butter, if he can get no honey.
1	24	7	A seat, the water for washing the feet, the Arghya water (i.e. perfumed water into which flowers have been thrown), the water for sipping, the honey-mixture,a cow: every one of these things they announce three times (to the guest).
1	24	8	With (the verse), 'I am the highest one among my people, as the sun among the thunderbolts. Here I tread on him whosoever infests me'—he should sit down on the seat (made of) northward-pointed (grass).
1	24	9	Or (he should do so) after he has trodden on it.
1	24	10	He should make (his host) wash his feet.
1	24	11	The right foot he should stretch out first to a Brâhmana,
1	24	12	The left to a Sûdra.
1	24	13	When his feet have been washed, he receives the Arghya water in the hollow of his joined hands and then sips the water destined thereto, with (the formula), 'Thou art the first layer for Ambrosia.'
1	24	14	He looks at the Madhuparka when it is brought to him, with (the formula), 'I look at thee with Mitra's eye.'
1	24	15	He accepts it with his joined hands with (the formula), 'By the impulse of the god Sâvitrî, with the arms of the two Asvins, with the hands of Pûshan I accept thee.' He then takes it into his left hand, looks at it with the three verses, 'Honey the winds to the righteous one' , stirs it about three times from left to right with the fourth finger and the thumb, and wipes (his fingers) with (the formula), 'May the Vasus eat thee with the Gâyatrî metre'—to the east;
1	24	16	With (the formula), 'May the Rudras eat thee with the Trishtubh metre'—to the south;
1	24	17	With (the formula), 'May the Âdityas eat thee with the Gagatî metre'—to the west;
1	24	18	With (the formula), 'May the Visve devâs eat thee with the Anushtubh metre'—to the north.
1	24	19	With (the formula), 'To the beings thee'—he three times takes (some of the Madhuparka substance) out of the middle of it.
1	24	20	With (the formula), 'The milk of Virâg art thou'—he should partake thereof the first time,
1	24	21	With, 'The milk of Virâg may I obtain'—the second time,
1	24	22	. With, 'In me (may) the milk of Padyâ Virâg (dwell)'—the third time.
1	24	23	(He should) not (eat) the whole (Madhuparka).
1	24	24	He should not satiate himself.
1	24	25	To a Brâhmana, to the north, he should give the remainder.
1	24	26	If that cannot be done, (he should throw it) into water.
1	24	27	Or (he may eat) the whole (Madhuparka).
1	24	28	. He then makes a rinsing of his mouth follow (on the eating of the Madhuparka) with the water destined thereto, with (the formula), 'Thou art the covering of Ambrosia.'
1	24	29	With (the formula), 'Truth! Glory! Fortune! May fortune rest on me!'—a second time.
1	24	30	When he has sipped water, they announce to him the cow.
1	24	31	Having murmured, 'Destroyed is my sin; my sin is destroyed,' (he says,) 'Om, do it,' if he chooses to have her killed.
1	24	32	Having murmured, 'The mother of the Rudras, the daughter of the Vasus' ,[paragraph continues] (he says,) 'Om, let her loose,' if he chooses to let her loose.
1	24	33	. Let the Madhuparka not be without flesh, without flesh.End of the First Adhyâya.
2	1	1	. On the full moon day of the Srâvana month the Srâvana ceremony (is performed).
2	1	2	Having filled a new jug with flour of fried barley, he lays (this jug) and a spoon for offering the Balis on new strings of a carrying pole (and thus suspends them).
2	1	3	Having prepared fried barley grains, he smears half of them with butter.
2	1	4	After sunset he prepares a mess of cooked food and a cake in one dish and sacrifices (the cooked food) with the four verses, 'Agni, lead us on a good path to wealth' , verse by verse, and with his hand the (cake) in one dish with (the formula), 'To the steady One, the earth-demon, svâhâ!'
2	1	5	(The cake) should be (entirely) immersed (into the butter), or its back should be visible.
2	1	6	With (the verse), 'Agni, do not deliver us to evil'  he sacrifices over it (the butter) in which it had lain.
2	1	7	. With (the verse), 'May the steeds at our invocation be for a blessing to us'  (he sacrifices) the besmeared grains with his joined hands,
2	1	8	The other (grains) he should give to his people.
2	1	9	Out of the jug he fills the spoon with flour,goes out (of the house) to the east, pours water on the ground on a clean spot, sacrifices with (the formula), 'To the divine hosts of the serpents svâhâ!' and does reverence to them with (the formula), 'The serpents which are terrestrial, which are aerial, which are celestial, which dwell in the directions (of the horizon)—to them I have brought this Bali; to them I give over this Bali.'
2	1	10	Having gone round (the Bali) from left to right, he sits down to the west of the Bali with (the words), 'The serpent art thou; the lord of the creeping serpents art thou; by food thou protectest men, by cake the serpents, by sacrifice the gods. To me, being in thee, the serpents being in thee should do no harm. I give over the firm one (i.e. the spoon) to thee.'
2	1	11	'Firm one, (I give) N.N. (in charge) to thee! Firm one, (I give) N.N. (in charge) to thee!'—with (these words he gives) his people, man by man, (in charge to the serpent god);
2	1	12	'Firm one, I give myself in charge to thee!'—with these words himself at the end.
2	1	13	Let no one step between it (i.e. the Bali, and the sacrificer), until the giving in charge has been performed.
2	1	14	. With (the formula), 'To the divine hosts of the serpents svâhâ!'—let him offer the Bali in the evening and in the morning, till the Pratyavarohana (i.e. the ceremony of the 'redescent').
2	1	15	. Some count (the days till the Pratyavarohana)and offer the corresponding number of Balis already on that day (on which the Sravanâ ceremony is performed).
2	2	1	On the full moon day of Âsvayuga the Âsvayugî ceremony (is performed).
2	2	2	. Having adorned the house, having bathed and put on clean garments, they should pour out a mess of cooked food for Pasupati, and should sacrifice it with (the formula), To Pasupati, to Siva, to Samkara, to Prishâtaka svâhâ!'
2	2	3	He should sacrifice with his joined hands a mixture of curds and butter (prishâtaka) with (the formula), 'May what is deficient be made full to me; may what is full not decay to me. To Prishâtaka svâhâ!'
2	2	4	. 'United with the seasons, united with the manners, united with Indra and Agni, svâhâ!'United with the seasons, united with the manners, united with the Visve devâs, svâhâ!'United with the seasons, united with the manners, united with Heaven and Earth, svâhâ!'—with (these formulas) a mess of cooked food is offered at the[paragraph continues] Âgrayana sacrifice by one who has set up the (sacred Srauta) fires.
2	2	5	Also by one who has not set up the (Srauta) fires (the same offering is performed) in the (sacred) domestic fire.
2	3	1	. On the full moon of Mârgasîrsha the 'redescent' (is performed)—on the fourteenth (Tithi),
2	3	2	Or on (the Tithi of) the full moon (itself).
2	3	3	. Having again renovated the house by (giving a new) coating (to the walls), by spreading out (a new roof), and by levelling (the floor), they should sacrifice after sunset (oblations) of milk-rice with (the texts), 'Beat away, O white one, with thy foot, with the forefoot and with the hind-foot, these seven daughters of Varuna and all that belong to the king's tribe. Svâhâ!'Within the dominion of the white one no serpent has killed anything. To the white one, the son of Vidârva, adoration! Svâhâ!'
2	3	4	Here no oblation to (Agni) Svishtakrit (is made).
2	3	5	. 'May we be secure from Pragâpati's sons'—thus he murmurs while looking at the fire.
2	3	6	(Saying), 'Be happy and friendly to us'—he should think in his mind of the winter.
2	3	7	To the west of the fire is a well-spread layer (of straw); on that he should sit down, murmur (the verse), 'Be soft, O earth' , and lie down (on that layer) with his people, with the head to the east and the face to the north.
2	3	8	The others, as there is room.
2	3	9	Or following on each other from the eldest to the youngest.
2	3	10	. Those who know the Mantras, should murmur the Mantras.
2	3	11	. Arising (they should) three times (murmur the verse), 'From that place may the gods bless us' .
2	3	12	. The same (verse) a fourth time with their faces to the south, to the west, and to the north.
2	3	13	Having arisen, having murmured the hymns sacred to the Sun and the auspicious hymns, having prepared food and given to the Brâhmanas to eat, he should cause (them) to pronounce auspicious words.
2	4	1	. On the eighth days of the four dark fortnights of (the two seasons of) winter and Sisira the Ashtakâs (are celebrated).
2	4	2	. Or on one (of these days).
2	4	3	The day before, he should offer to the Fathers (i.e. Manes)—
2	4	4	Boiled rice, boiled rice with sesamum seeds, rice-milk—
2	4	5	Or cakes made of four Sarâvas (of ground grain)—
2	4	6	Sacrificing with the eight (verses), 'May the lower (Fathers) and the higher arise' , or with as many (verses) as he likes.
2	4	7	. Then on the next day the Ashtakâs (are celebrated) with an animal (sacrifice) and with a mess of cooked food.
2	4	8	He may also give grass to an ox,
2	4	9	Or he may burn down brushwood with fire—
2	4	10	With (the words), 'This is my Ashtakâ.'
2	4	11	But he should not omit celebrating the Ashtakâ.
2	4	12	This (Ashtakâ) some state to be sacred to the Visve devâs, some to Agni, some to the Sun, some to Pragâpati, some state that the Night is its deity, some that the Nakshatras are, some that the Seasons are, some that the Fathers are, some that cattle is.
2	4	13	. Having killed the animal according to theritual of the animal sacrifice, omitting the sprinkling (with water) and the touching of the animal with a fresh branch, he should draw out the omentum and sacrifice it with (the verse), 'Carry the omentum, Gâtavedas, to the Fathers, where thou knowest them resting afar. May streams of fat flow to them; may all these wishes be fulfilled. Svâhâ!'
2	4	14	. Then (follow oblations) of the Avadâna portions and the cooked food, two with (the two verses), 'Agni, lead us on a good path to wealth' , (and other oblations with the texts), 'May summer, winter, the seasons be happy to us, happy the rainy season, safe to us the autumn. The year be our lord who gives breath to us; may days and nights produce long life. Svâhâ!'Peaceful be the earth, happy the air, may the goddess Heaven give us safety. Happy be the quarters (of the horizon), the intermediate quarters, the upper quarters; may the waters, the lightnings protect us from all sides. Svâhâ!'May the waters, the rays carry our prayers (to the gods); may the creator, may the ocean turn away evil; may the past and the future, (may) all be safe to me. Protected by Brahman may I pour forth songs. Svâhâ!'May all the Âdityas and the divine Vasus, the Rudras, the protectors, the Maruts sit down (here). May Pragâpati, the abounding one, the highest ruler, bestow vigour, offspring, immortality on me. Svâhâ!'Pragâpati, no other one than Thou .'
2	4	15	The eighth (oblation) is that to (Agni) Svishtakrit.
2	4	16	. He should give to the Brâhmanas to eat: this has been said.
2	5	1	On the following day the Anvashtakya (i.e. the ceremony following the Ashtakâ, is performed).
2	5	2	. Having prepared (a portion) of that same meat, having established the fire on a surface inclined towards the south, having fenced it in, and made a door on the north side of the enclosure, having strewn round (the fire) three times sacrificial grass with its roots, without tossing it, turning the left side towards the fire, he should put down the things to be offered, boiled rice, boiled rice with sesamum seeds, rice-milk, meal-pap with curds, and meal-pap with honey.
2	5	3	. (The ceremony should be performed) according to the ritual of the Pindapitriyagña.
2	5	4	. Having sacrificed (of those sorts of food) with the exception of the meal-pap with honey, let him give (lumps of those substances) to the Fathers.
2	5	5	And to (their) wives, with the addition of rum and the scum of boiled rice.
2	5	6	Some (place the lumps to be offered) into pits, into two or into six:
2	5	7	In those situated to the east he should give (the offerings) to the Fathers.
2	5	8	In those to the west, to the wives.
2	5	9	. Thereby the ceremony celebrated in the rainy season on the Mâgha day, in the dark fortnight after the full moon of Praushthapada (has been declared).
2	5	10	. And thus he should offer (a celebration like the Anvashtakya) to the Fathers every month, observing uneven numbers (i.e. selecting a day with an uneven number, inviting an uneven number of Brâhmanas, &c.).
2	5	11	He should give food at least to nine (Brâhmanas),
2	5	12	Or to an uneven number;
2	5	13	. To an even number on auspicious occasions or on the performance of meritorious deeds (such as the consecration of ponds, &c.);
2	5	14	To an uneven number on other (occasions).
2	5	15	. The rite is performed from left to right. Barley is to be used instead of sesamum.
2	6	1	. When going to mount a chariot he should touch the wheels with his two hands separately with (the words), 'I touch thy two fore-feet. Thy two wheels are the Brihat and the Rathantara (Sâmans).'
2	6	2	. 'Thy axle is the Vâmadevya'—with (these words he touches) the two (naves) in which the axle rests.
2	6	3	He should mount (the chariot) with the right foot first, with (the words), 'With Vâyu's strength I mount thee, with Indra's power and sovereignty.'
2	6	4	He should touch the reins, or if the horses have no reins, (he should touch) the horses with a staff, with (the words), 'With Brahman's splendour I seize you. With truth I seize you.'
2	6	5	When (the horses) put themselves in motion, he should murmur, 'Go forward to thousandfold successful vigour, divine chariot, carry us forward!'—(and the verse), 'Free, strong be thy limbs!'
2	6	6	. With this (verse he should touch also) other articles of wood.
2	6	7	'May the two oxen be strong, the axle firm' —with (this verse) he should touch (each) part of the chariot (alluded to in that verse).
2	6	8	With (the verse), 'The earth, the good protectress, the unattained heaven'  (he should ascend) a ship.
2	6	9	With a new chariot he should drive round a widely known tree or round a pool that does not dry up, with his right side turned towards it, and then should fetch branches which bear fruits,
2	6	10	Or something else that belongs to the household.
2	6	11	(He then) should drive (in that chariot) to an assembly.
2	6	12	Having murmured, while looking at the sun, (the verse), 'Make our renown highest' , he should descend.
2	6	13	'To the bull among my equals' —(this verse he should murmur) while approaching (that assembly?).
2	6	14	'May we be called to-day Indra's best friends' —when the sun is setting.
2	6	15	'Thus I address you, O daughters of heaven, while you arise' —when day appears.
2	7	1	Now the examination of the ground (where he intends to build a house).
2	7	2	(It must be) non-salinous soil of undisputed property,
2	7	3	With herbs and trees,
2	7	4	On which much Kusa and Vîrana grass grows.
2	7	5	Plants with thorns and with milky juice he should dig out with their roots and remove them—
2	7	6	And in the same way the following (sorts of plants), viz. Apâmârga, potherbs, Tilvaka, Parivyâdha.
2	7	7	A spot where the waters, flowing together from all sides to the centre of it, flow round the resting-place, having it on their right side, and then flow off to the east without noise—that possesses all auspicious qualities.
2	7	8	Where the waters flow off, he should have the provision-room built.
2	7	9	Thus it becomes rich in food.
2	7	10	On a spot which is inclined towards the south, he should have the assembly-room constructed; thus there will be no gambling in it.
2	7	11	(But others say that) in such (an assembly-room) the young people become gamblers, quarrelsome, and die early.
2	7	12	Where the waters flow together from all directions, that assembly-room (situated on such a spot) brings luck and is free from gambling.
2	8	1	Now he should examine the ground in the following ways.
2	8	2	He should dig a pit knee-deep and fill it again with the same earth (which he has taken out of it).
2	8	3	If (the earth) reaches out (of the pit, the ground is) excellent; if it is level, (it is) of middle quality; if it does not fill (the pit, it is) to be rejected.
2	8	4	After sunset he should fill (the pit) with water and leave it so through the night.
2	8	5	If (in the morning) there is water in it, (the ground is) excellent; if it is moist, (it is) of middle quality; if it is dry, (it is) to be rejected.
2	8	6	White (ground), of sweet taste, with sand on the surface, (should be elected) by a Brâhmana.
2	8	7	Red (ground) for a Kshatriya.
2	8	8	Yellow (ground) for a Vaisya.
2	8	9	He should draw a thousand furrows on it and should have it measured off as quadrangular, with equal sides to each (of the four) directions;
2	8	10	Or as an oblong quadrangle.
2	8	11	. With a Samî branch or an Udumbara branch he sprinkles it (with water), going thrice round it, so that his right side is turned towards it, reciting the Santâtîya hymn.
2	8	12	And (so he does again three times) pouring out water without interruption, with the three verses, 'O waters, ye are wholesome' .
2	8	13	. In the interstices between the bamboo staffs he should have the (single) rooms constructed.
2	8	14	Into the pits in which the posts are to stand, he should have an Avakâ, i.e. (the water-plant called) Sîpâla put down; then fire will not befall him: thus it is understood (in the Sruti).
2	8	15	. Having put (that plant) into the pit in which the middle-post is to stand, he should spread (on it) eastward-pointed and northward-pointed Kusa grass and should sprinkle (on that grass) water into which rice and barley have been thrown, with (the words), 'To the steady one, the earth-demon, svâhâ!'
2	8	16	. He then should, when (the middle-post) is being erected, recite over it (the two verses), 'Stand here, fixed in the ground, prosperous, long-lasting (?),standing amid prosperity. May the malevolent ones not attain thee!'To thee (may) the young child (come), to thee the calf . . .; to thee (may) the cup of Parisrut (come); (to thee) may they come with pots of curds.'
2	9	1	(Over) the bamboo staff, when it is put on (the middle-post, he recites the hemistich),
2	9	2	'Rightly ascend the post, O staff, bestowing on us long life henceforward.'
2	9	3	On four stones, on which Dûrvâ grass has been spread, he should establish the water-barrel with (the words), 'Arise on the earth'—
2	9	4	. Or with (the verse), 'The Araṅgara sounds, three times bound with the strap. It praises the welfare; may it drive away ill.'
2	9	5	He then should pour water into it with (the verse), 'Hither may king Varuna come with the plentiful (waters); at this place may he stay contented; bringing welfare, dropping ghee may they lie down together with Mitra.'
2	9	6	. He then 'appeases' it (in the following way).
2	9	7	. He puts gold into water into which rice and barley have been thrown, and (with that water) he sprinkles it three times, going round it with his right side turned towards it, with the Santâtîya hymn.
2	9	8	. And (so he does again three times) pouring outwater without interruption, with the three verses, 'O waters, ye are wholesome' .
2	9	9	. In the middle of the house he should cook a mess of food, sacrifice (therefrom) with the four verses, 'Vâstoshpati, accept us' , verse by verse, should prepare food, should give to the Brâhmanas to eat, and should cause them to say, 'Lucky is the ground! Lucky is the ground!'
2	10	1	. It has been declared how he should enter the house (when returning from a journey).
2	10	2	The house, when he enters it, should be provided with seed-corn.
2	10	3	. He should have his field ploughed under the Nakshatras Uttarâh Proshthapadâs, (Uttarâh) Phâlgunyas, or Rohinî.
2	10	4	In order that the wind may blow to him from the field, he should offer oblations with the hymn, 'Through the lord of the field' , verse by verse, or he should murmur (that hymn).
2	10	5	. He should speak over the cows when they go away, the two verses, 'May refreshing wind blow over the cows' .
2	10	6	. When they come back, (he should recite the following verses,)'May they whose udder with its four holes is fullof honey and ghee, be milk-givers to us; (may they be) many in our stable, rich in ghee.'Come hither to me, giving refreshment, bringing vigour and strength. Giving inexhaustible milk, rest in my stable that I may become the highest one'And, 'They who have raised their body up to the gods'—the rest of the hymn .
2	10	7	. Some recite  the Âgâvîya hymn.
2	10	8	. He should approach their herds, if the cows do not belong to his Guru, with (the words), 'Prospering are ye; excellent are ye, beautiful, dear. May I become dear to you. May you see bliss in me.'End of the Second Adhyâya.
3	1	1	Now (follow) the five sacrifices:
3	1	2	The sacrifice to the Gods, the sacrifice to the Beings, the sacrifice to the Fathers, the sacrifice to Brahman, the sacrifice to men.
3	1	3	Here now, if he makes oblations over the (sacred) fire, this is the sacrifice to the Gods.If he makes Bali offerings, this is the sacrifice to the Beings.If he gives (Pinda offerings) to the Fathers, this is the sacrifice to the Fathers.If he studies (Vedic) texts, this is the sacrifice to Brahman.If he gives to men, this is the sacrifice to men.
3	1	4	These (five kinds of) sacrifices he should perform every day.
3	2	1	. Now the rules how one should recite (the Vedic texts) for one's self.
3	2	2	He should go out of the village to the east or to the north, bathe in water, sip water on a clean spot, clad with the sacrificial cord; he should spread out, his garment being not wet, a great quantity of Darbha grass, the tufts of which are directed towards the east, and should sit down thereon with his face turned to the east, making a lap, putting together his hands in which he holds purifiers (i.e. Kusa blades), so that the right hand lies uppermost.It is understood (in the Sruti), 'This is what Darbha grass is: it is the essence of waters and herbs. He thus makes the Brahman provided with essence.'Looking at the point where heaven and earth touch each other, or shutting his eyes, or in whatever way he may deem himself apt (for reciting the Veda), thus adapting himself he should recite (the sacred texts) for himself.
3	2	3	The Vyâhritis preceded by (the syllable) Om (are pronounced first).
3	2	4	He (then) repeats the Sâvitrî , (firstly) Pâda by Pâda, (then) hemistich by hemistich, thirdly the whole.
3	3	1	. He then should recite for himself (the following texts, viz.) the Rikas, the Yagus, the Sâmans, the Atharvan and Aṅgiras hymns, the Brâhmanas, the Kalpa (Sûtras), the Gâthâs, the (texts in honour of kings and heroes, called) Nârâsamsîs, the Itihâsas and Purânas.
3	3	2	In that he recites the Rikas, he thereby satiates the gods with oblations of milk—in that (he recites) the Yagus, with oblations of ghee—the Sâmans, with oblations of honey—the Atharvan and Aṅgiras hymns, with oblations of Soma—the Brâhmanas, Kalpas, Gâthâs, Nârâsamsîs, Itihâsas and Purânas, with oblations of ambrosia.
3	3	3	In that he recites the Rikas, rivers of milk flow, as a funeral oblation, to his Fathers. In that (he recites) the Yagus, rivers of ghee—the Sâmans, rivers of honey—the Atharvan and Aṅgiras hymns, rivers of Soma—the Brâhmanas, Kalpas, Gâthâs, Nârâsamsîs, Itihâsas and Purânas, rivers of ambrosia.
3	3	4	After he has recited (those texts) as far as he thinks fit, he should finish with the following (verse),'Adoration to Brahman! Adoration be to Agni! Adoration to the Earth! Adoration to the Herbs! Adoration to the Voice! Adoration to the Lord of the Voice! Adoration I bring to great Vishnu!'
3	4	1	. He satiates the deities: 'Pragâpati, Brahman, the Vedas, the gods, the Rishis, all metres, the word Om, the word Vashat, the Vyâhritis, the Sâvitrî, the sacrifices, Heaven and Earth, the air, days and nights, the numbers, the Siddhas, the oceans, the rivers, the mountains, the fields, herbs, trees, Gandharvas and Apsaras, the snakes, the birds, the cows, the Sâdhyas, the Vipras, the Yakshas, the Rakshas, the beings that have these (Rakshas, &c.) at their end.'
3	4	2	. Then the Rishis: 'The (Rishis) of the hundred (Rikas), the (Rishis) of the middle (Mandalas), Gritsamada,[paragraph continues] Visvâmitra, Vâmadeva, Atri, Bharadvâga, Vasishtha, the Pragâthas, the Pavamâna hymns, the (Rishis) of the short hymns, and of the long hymns.'
3	4	3	(Then) with the sacrificial cord suspended over the right shoulder:
3	4	4	. 'Sumantu, Gaimini, Vaisampâyana, Paila, the Sûtras, the Bhâshyas, the Bhârata, the Mahâbhârata, the teachers of law, Gânanti, Bâhavi, Gârgya, Gautama, Sâkalya, Bâbhravya, Mândavya, Mândûkeya, Gârgî Vâkaknavî, Vadavâ Prâtîtheyî, Sulabhâ Maitreyî, Kahola Kaushîtaka, Mahâkaushîtaka, Paiṅgya, Mahâpaiṅgya, Suyagña Sâṅkhâyana, Aitareya, Mahaitareya, the Sâkala (text), the Bâshkala (text), Sugâtavaktra, Audavâhi, Mahaudavâhi, Saugâmi, Saunaka, Âsvalâyana—and whatsoever other teachers there are, may they all satiate themselves.'
3	4	5	. After he has satiated the Fathers man by man, and has returned to his house, what he gives (then), that is the sacrificial fee.
3	4	6	. And it is also understood (in the Sruti), 'May he be standing, walking, sitting, or lying, (the texts belonging to) whatsoever sacrifice he repeats, that sacrifice indeed he has offered.'
3	4	7	It is understood (in the Sruti), 'Regarding this (Svâdhyâya) there are two cases in which the study (of the sacred texts) is forbidden: when he is impure himself, and when the place is.'
3	5	1	Now (follows) the Adhyâyopâkarana (i.e. the ceremony by which the annual course of study is opened);
3	5	2	. When the herbs appear, (when the moon stands in conjunction) with Sravana, in the Srâvana month,
3	5	3	Or on the fifth (Tithi of that month), under (the Nakshatra) Hasta.
3	5	4	. Having sacrificed the two Âgya portions, he should offer Âgya oblations (to the following deities, viz.) Sâvitrî, Brahman, Belief, Insight, Wisdom, Memory, Sadasaspati, Anumati, the metres, and the Rishis.
3	5	5	He then sacrifices grains with curds (with the following texts):
3	5	6	'I praise Agni the Purohita'—this one verse ,
3	5	7	. 'The Kushumbhaka (mungoose?) has said it'—'If thou criest, O bird, announce luck to us Sung by Gamadagni'—'In thy abode the whole world rests'[paragraph continues] —'Come to our sacrifice, O you that are worthy of sacrifice, with care'—'Whosoever, be he ours, be he alien'—'Look on, look about'—'Come here, Agni, the Maruts' friend'—'The oblation, O king, cooked for thee'—each time two verses;
3	5	8	'United is your will' —this one verse;
3	5	9	. 'That blessing and bliss we choose'—this one verse.
3	5	10	. When he intends to study (the Veda together with pupils), he should, while the pupils take hold of him, sacrifice to those deities, and sacrifice to (Agni) Svishtakrit, and partake of the grains with curds; then (follows) the 'cleaning.'
3	5	11	. Sitting down to the west of the fire on Darbha grass, the tufts of which are directed towards the east, he should put Darbha blades into a water-pot, and making a Brahmâñgali (i.e. joining his hands as a sign of veneration for the Brahman), he should murmur (the following texts):
3	5	12	The Vyâhritis preceded by (the syllable) Om (stand first); (these) and the Sâvitrî he should repeat three times and then recite the beginning of the Veda.
3	5	13	In the same way at the Utsarga (i.e. at the ceremony performed at the end of the term of Vedic study).
3	5	14	He should study six months.
3	5	15	. One who has performed the Samâvartana (should live during that time) according to the regulations for Brahmakârins.
3	5	16	. The others according to the rules.
3	5	17	. Some say that he should have intercourse with his wife.
3	5	18	That (is a practice) sacred to Pragâpati.
3	5	19	This (Upâkarana) they call vârshika (i.e. belonging to the rainy season).
3	5	20	. On the middle Ashtakâ they offer food to those deities, and descend into water.
3	5	21	They satiate those same deities (with water oblations),
3	5	22	(And besides) the Âkâryas, the Rishis, and the Fathers.
3	5	23	. This is the Utsargana.
3	6	1	. Instead of the Kâmya ceremonies (i.e. the ceremonies, prescribed in the Srauta-sûtra, by whichspecial wishes are attained, oblations of) boiled (rice) grains, for the attainment of those wishes, (should be made by the Grihya sacrificer).
3	6	2	He attains (thereby) those same wishes.
3	6	3	For a person that is sick, or suffering, or affected with consumption, a mess of boiled (rice) grains in six oblations (should he offered)—
3	6	4	With this (hymn), 'I loosen thee by sacrificial food, that thou mayst live' .
3	6	5	If he has seen a bad dream, he should worship the sun with the two verses, 'To-day, god Savitri' , and with the five verses, 'What bad dreams there are among the cows' ,
3	6	6	Or with (the verse), 'Whosoever, O king, be it a companion or a friend' .
3	6	7	When he has sneezed, yawned, seen a disagreeable sight, smelt a bad smell, when his eye palpitates, and when he hears noises in his ears, he should murmur, 'Well-eyed may I become with my eyes, well-vigoured with my face, well-hearing with my ears. May will and insight dwell in me!'
