Pransa_no	PATALA_no	Section_no	Text_no	Hymn
1	3	10	6	They bring him two ear-rings and a perforated pellet of sandal wood or of Badarî wood, overlaid with gold (at its aperture); these two things he ties to a Darbha blade, holds them over the fire, and pours over them (into the fire) oblations (of ghee) with (the Mantras),'May this gold which brings long life and splendour and increase of wealth, and which gets through (all adversities), enter upon me for the sake of long life, of splendour, and of victory. Svâhâ![paragraph continues] '(This gold) brings high gain, superiority in battles, superiority in assemblies; it conquers treasures. All perfections unitedly dwell together in this gold. Svâhâ!'I have obtained an auspicious name like (the name) of a father of gold. Thus may (the gold) make me shine with golden lustre; (may it make me) beloved among many people; may it make me full of holy lustre. Svâhâ!'Make me beloved among the gods; make me beloved with Brahman (i.e. among the Brâhmanas), beloved among Vaisyas and Sûdras; make me beloved among the kings (i.e. among the Kshatriyas). Svâhâ!'This herb is protecting, overcoming, and powerful. May it make me shine with golden lustre; (may it make me) beloved among many people; may it make me full of holy lustre. Svâhâ!'
1	3	10	7	Having thrice washed (the two ear-rings) in a vessel of water with the same five (Mantras), without the word Svâhâ, (moving them round in the water) from left to right—
1	3	11	1	He puts on the two ear-rings, the right one to his right ear, the left one to his left ear, with (the verse which he repeats for each of the two earrings), 'Virâg and Svarâg, and the aiding powers that dwell in our house, the prosperity that dwells in the face of royalty: therewith unite me.'
1	3	11	2	With (the Mantra), 'With the seasons and the combinations of seasons, for the sake of long life, ofsplendour, with the sap that dwells in the year: therewith we make them touch the jaws'—he clasps the two ear-rings.
1	3	11	3	With (the Mantra), 'This herb is protecting, overcoming, and powerful. May it make me shine with golden lustre; (may it make me) beloved among many people; may it make me full of holy lustre. Thou art not a bond'—he ties the pellet  to his neck.
1	3	11	4	He puts on a wreath with the two (verses),'Beautiful one, elevate thyself to beauty, beautifying my face. Beautify my face and make my fortune increase'—(and),'(The wreath) which Gamadagni has brought to Sraddhâ to please her, that I put on (my head) together with fortune and splendour.'
1	3	11	5	'The salve coming from the Trikakud (mountain), born on the Himavat, therewith I anoint you (i.e. the eyes), and with fortune and splendour. (I put?) into myself the demon of the mountain (?)'—with (this verse) he anoints himself with Traikakuda salve, (or) if he cannot get that, with some other (salve).
1	3	11	6	With (the verse), 'My mind that has fled away'  he looks into a mirror.
1	3	11	7	With (the formula), 'On the impulse of the god,' &c., he takes a staff of reed (which somebody hands him), and with (the formula), 'Thou art the thunderbolt of Indra. O Asvins, protect me!'—he thrice wipes it off, upwards from below.
1	3	11	8	With (the formula), 'Speed! Make speed away from us those who hate us, robbers, creeping things, beasts of prey, Rakshas, Pisâkas. Protect us, O staff, from danger that comes from men; protect us from every danger; from all sides destroy the robbers'—(and with the verse), 'Not naked (i.e. covered with bark) thou art born on all trees, a destroyer of foes. Destroy all hosts of enemies from every side like Maghavan (Indra)'—he swings (the staff) three times from left to right over his head.
1	3	11	9	With (the formula), 'The divine standing-places are you. Do not pinch me'—he steps into the shoes.
1	3	11	10	With (the formula), 'Pragâpati's shelter art thou, the Brahman's covering'—he takes the parasol.
1	3	11	11	With the verse, 'My staff which fell down in the open air to the ground, that I take up again for the sake of long life, of holiness, of holy lustre'—he takes up his staff, if it has fallen from his hand.End of the Third Patala.
1	4	12	1	They bring him a chariot, (or) a horse, or an elephant.
1	4	12	2	'Thou art the (Sâman called) Rathantara; thou art the Vâmadevya; thou art the Brihat;' the (verse), 'The two Aṅkas, the two Nyaṅkas' ; (the verse), 'May this your chariot, O Asvins, not suffer damage, neither in pain nor in joy. May it make its way without damage, dispersing those who infest us;' (and the formula), 'Here is holding, here is keeping asunder; here is enjoyment, here may it enjoy itself:' with (these texts) he ascends the chariot, if he enters (the village) on a chariot.
1	4	12	3	'A horse art thou, a steed art thou'—with these eleven 'horses’ names'  (he mounts) the horse, if (he intends to enter the village) on horseback.
1	4	12	4	With (the formula), 'With Indra's thunderbolt I bestride thee; carry (me); carry the time; carry me forward to bliss. An elephant art thou. The elephant's glory art thou. The elephant's splendour art thou. May I become endowed with the elephant's glory, with the elephant's splendour'—(he mounts) the elephant, if (he intends to proceed to the village) on it.
1	4	12	5	He goes to a place where they will do honour to him.
1	4	12	6	With (the verse), 'May the quarters (of the horizon) stream together with me; may all delight assemble (here). May all wishes that are dear to us, come near unto us; may (our) dear (wishes) stream towards us'—he worships the quarters of the horizon.
1	4	12	7	While approaching the person who is going to do honour to him, he looks at him with (the words), 'Glory art thou; may I become glory with thee.'
1	4	12	8	Then (the host who is going to offer the Argha reception to the Snâtaka), having prepared the dwelling-place (for his reception), says to him, 'The Argha (will be offered)!'
1	4	12	9	(The guest) replies, 'Do so!'
1	4	12	10	They prepare for him (the Madhuparka or 'honey mixture') consisting of three or of five substances.
1	4	12	11	The three substances are, curds, honey, and ghee.
1	4	12	12	The five substances are, curds, honey, ghee, water, and ground grains.
1	4	12	13	Having poured curds into a brass vessel, he pours honey into it, (and then the other substances stated above).
1	4	12	14	Having poured (those substances) into a smaller vessel, and having covered it with a larger (cover than the vessel is), (the host) makes (the guest) accept (the following things) separately, one after the other, viz. a bunch of grass (to sit down on),water for washing the feet, the Argha water, water for sipping, and the honey-mixture (Madhuparka).
1	4	12	15	Going after (the single objects which are brought to the guest, the host) in a faultless, not faltering (?) voice, announces (each of those objects to the guest).
1	4	12	16	The bunch of grass (he announces by three times saying), 'The bunch of grass!'
1	4	12	17	(The guest) sits down thereon facing the east, with (the formula), 'A giver of royal power art thou, a teacher's seat; may I not withdraw from thee.'
1	4	12	18	(The host) then utters to him the announcement, 'The water for washing the feet!'
1	4	12	19	With that (water) a Sûdra or a Sûdra woman washes his feet; the left foot first for a Brâhmana, the right for a person of the two other castes.
1	4	13	1	With (the formula), 'The milk of Virâg art thou. May the milk of Padyâ Virâg (dwell) in me'—(the guest) touches the hands of the person thatwashes his feet, and then he touches himself with (the formula), 'May in me dwell brilliancy, energy, strength, life, renown, splendour, glory, power!'
1	4	13	2	(The host) then makes to him the announcement, 'The Argha water!'
1	4	13	3	(The guest) accepts it with (the formula), 'Thou camest to me with glory. Unite me with brilliancy, splendour, and milk. Make me beloved by all creatures, the lord of cattle.'
1	4	13	4	'To the ocean I send you, the imperishable (waters); go back to your source. May I not suffer loss in my offspring. May my sap not be shed'—this (verse the guest) recites over the remainder (of the Argha water), when it is poured out (by the person who had offered it to him).
1	4	13	5	Then he utters to him the announcement, 'The water for sipping!'
1	4	13	6	With (the formula), 'Thou art the first layer for Ambrosia,' he sips water.
1	4	13	7	Then he utters to him the announcement, 'The honey-mixture!'
1	4	13	8	He accepts that with both hands with the Sâvitra (formula), and places it on the ground with (the formula), 'I place thee on the navel of the earth in the abode of Idâ.' He mixes (the different substances) three times from left to right with his thumb and his fourth finger, with (the formula), 'What is the honied, highest form of honey which consists in the enjoyment of food, by that honied,highest form of honey may I become highest, honied, and an enjoyer of food.' He partakes of it three times with (the formula), 'I eat thee for the sake of brilliancy, of luck, of glory, of power, and of the enjoyment of food,' and gives the remainder to a person who is kindly disposed towards him.
1	4	13	9	Or he may eat the whole (Madhuparka). Then he sips water with (the formula), 'Thou art the covering of Ambrosia.'
1	4	13	10	Then he utters to him the announcement, 'The cow!'
1	4	13	11	That (cow) is either killed or let loose.
1	4	13	12	If he chooses to let it loose, (he murmurs), 'This cow will become a milch cow.'The mother of the Rudras, the daughter of the Vasus, the sister of the Âdityas, the navel of immortality. To the people who understand me, I say, "Do not kill the guiltless cow, which is Aditi."'Let it drink water! Let it eat grass'—(And) gives order (to the people), 'Om! Let it loose.'
1	4	13	13	If it shall be killed, (he says), 'A cow art thou; sin is driven away from thee. Drive away my sin and the sin of N.N.! Kill ye him whoever hates me. He is killed whosoever hates me. Make (the cow) ready!'
1	4	13	14	If (the cow) is let loose, a meal is prepared with other meat, and he announces it (to the guest) in the words, 'It is ready!'
1	4	13	15	He replies, 'It is well prepared; it is the Virâg; it is food. May it not fail! May I obtain it! May it give me strength! It is well prepared!'—and adds, 'Give food to the Brâhmanas!'
1	4	13	16	After those (Brâhmanas) have eaten, (the host) orders blameless (?) food to be brought to him (i.e. to the guest).
1	4	13	17	He accepts that with (the formula), 'May the heaven give it to thee; may the earth accept it. May the earth give it to thee; may breath accept it. May breath eat thee; may breath drink thee.'
1	4	13	18	With (the verse), 'May Indra and Agni bestow vigour on me'  he eats as much as he likes, and gives the remainder to a person who is kindly disposed towards him.
1	4	13	19	If he desires that somebody may not be estranged from him, he should sip water with (the Mantra), 'Whereon the past and the future and all worlds rest, therewith I take hold of thee; I (take. hold) of thee; through the Brahman I take hold of thee for myself, N.N.!'—
1	4	14	1	And should, after that person has eaten, seize his right hand,
1	4	14	2	If he wishes that one of his companions, or a pupil, or a servant should faithfully remain with him and not go away, he should bathe in the morning, should put on clean garments, should showpatience (with that servant, &c.) during the day, should speak (only) with Brâhmanas, and by night he should go to the dwelling-place of that person, should make water into a horn of a living animal, and should three times walk round his dwelling-place, sprinkling (his urine) round it, with (the Mantra), 'From the mountain (I sever?) thee, from thy brother, from thy sister, from all thy relations. parishîdah kleshyati (i.e. kvaishyasi?) sasvat parikupilena samkrâmenâvikkhidâ, ûlena parimîdhoऽsi parimîdhoऽsy ûlena.'
1	4	14	3	He puts down the horn of the living animal in a place which is generally accessible.
1	4	14	4	One whose companions, pupils, or servants use to run away, should rebuke them with (the Mantra), 'May he who calls hither (?), call you hither! He who brings back, has brought you back (?). May the rebuke of Indra always rebuke you. If you, who worship your own deceit, despise me (?), . . . . may Indra bind you with his bond, and may he drive you back again to me.'
1	4	14	5	Then he enters his house, puts a piece of Sidhraka wood on (the fire), and sacrifices with the 'on-drawing verse,' 'Back-bringer, bring them back' .
1	4	14	6	Now (we shall explain) how one should guard his wife.
1	4	14	7	One whose wife has a paramour, should grind big centipedes (?) to powder, and should insert (that powder), while his wife is sleeping, into her secret parts, with the Mantra, 'Indra. . . . from other men than me.'
1	4	14	8	Now (follows the sacrifice for procuring) prosperity in trade.
1	4	14	9	He cuts off (some portion) from (every) article of trade and sacrifices it—
1	4	15	1	With (the verse), 'If we trade, O gods, trying by our wealth to acquire (new) wealth, O gods, may[paragraph continues] Soma thereon bestow splendour, Agni, Indra, Brihaspati, and Îsâna. Svâhâ!'
1	4	15	2	Now (follows) the way for appeasing anger.
1	4	15	3	He addresses the angry person with (the verses), 'The power of wrath that dwells here on thy forehead, destroying thy enemy (?), may the chaste, wise gods take that away.'If thou shootest, as it were, the thought dwelling in thy face, upwards to thy forehead, I loosen the anger of thy heart like the bow-string of an archer.'Day, heaven, and earth: we appease thy anger, as the womb of a she-mule (cannot conceive).'
1	4	15	4	Now (follows) the way for obtaining the victory in disputes.
1	4	15	5	He puts wood on the fire at night-time in an inner apartment, performs the rites down to the Vyâhriti oblations, and sacrifices small grains mixed with A ya, with (the verse), 'Tongueless one, thou who art without a tongue! I drive thee away through my sacrifice, so that I may gain the victory in the dispute, and that N.N. may be defeated by me. Svâhâ!'
1	4	15	6	Then in the presence (of his adversary), turned towards him, he murmurs (the verses), 'I take away the speech from thy mouth, (the speech) that dwells in thy mind, (the speech) from thy heart. Out of every limb I take thy speech. Wheresoever thy speech dwells, thence I take it away.'Rudra with the dark hair-lock! Hero! At every contest strike down this my adversary, as a tree (is struck down) by a thunderbolt.'Be defeated, be conquered, when thou speakest. Sink down under the earth, when thou speakest, struck down by me irresistibly (?) with the hammer of . . . (?). That is true what I speak. Fall down, inferior to me, N.N.!'
1	4	15	7	He touches the assembly-hall (in which the contest is going on), and murmurs, 'The golden-armed, blessed (goddess), whose eyes are not faint, who is decked with ornaments, seated in the midst of the gods, has spoken for my good. Svâhâ!'
1	4	15	8	'For me have the high ones and the low ones, for me has this wide earth, for me have Agni and Indra accomplished my divine aim'—with (this verse) he looks at the assembly, and murmurs (it) turned towards (the assembly).End of the Fourth Patala.
1	5	16	1	When he has first seen the new moon, he sips water, and holding (a pot of) water (in his hands) he worships (the moon) with the four (verses), 'Increase' , 'May thy milk' , 'New and new again (the moon) becomes, being born' , 'That Soma which the Âdityas make swell' .
1	5	16	2	When he has yawned, he murmurs, '(May) will and insight (dwell) in me.'
1	5	16	3	If the skirt (of his garment) is blown upon him (by the wind), he murmurs, 'A skirt art thou. Thou art not a thunderbolt. Adoration be to thee. Do no haft to me.'
1	5	16	4	He should tear off a thread (from that skirt) and should blow it away with his mouth.
1	5	16	5	If a bird has befouled him with its excrements, he murmurs, 'The birds that timidly fly together with the destroyers, shall pour out on me happy, blissful splendour and vigour.'Then let him wipe off that (dirt) with something else than his hand, and let him wash himself with water.
1	5	16	6	'From the sky, from the wide air a drop of water has fallen down on me, bringing luck. With my senses, with my mind I have united myself, protected by the prayer that is brought forth by the righteous ones'—this (verse) he should murmur, if a drop of water unexpectedly falls down on him.
1	5	16	7	'If a fruit has fallen down from the top of a tree, or from the air, it is Vâyu (who has made it fall). Where it has touched our bodies or the garment, (there) may the waters drive away destruction'—this (verse) he should murmur, if a fruit unexpectedly falls down on him.
1	5	16	8	'Adoration to him who dwells at the cross-roads,whose arrow is the wind, to Rudra! Adoration to Rudra who dwells at the cross-roads!'—this (formula) he murmurs when he comes to a cross-road;
1	5	16	9	'Adoration to him who dwells among cattle, whose arrow is the wind, to Rudra! Adoration to Rudra who dwells among cattle!'—thus at a dung-heap;
1	5	16	10	'Adoration to him who dwells among the serpents, whose arrow is the wind, to Rudra! Adoration to Rudra who dwells among the serpents!'—thus at a place that is frequented by serpents.
1	5	16	11	'Adoration to him who dwells in the air, whose arrow is the wind, to Rudra! Adoration to Rudra who dwells in the air!'—this (formula) let him murmur, if overtaken by a tornado.
1	5	16	12	'Adoration to him who dwells in the waters, whose arrow is the wind, to Rudra! Adoration to Rudra who dwells in the waters!'—this (formula) he murmurs when plunging into a river which is full of water.
1	5	16	13	'Adoration to him who dwells there, whose arrow is the wind, to Rudra! Adoration to Rudra who dwells there!'—this (formula) he murmurs when approaching a beautiful place, a sacrificial site, or a big tree.
1	5	16	14	If the sun rises whilst he is sleeping, he shall fast that day and shall stand silent during that day;
1	5	16	15	The same during the night, if the sun sets whilst he sleeps.
1	5	16	16	Let him not touch a sacrificial post. Bytouching it, he would bring upon himself (the guilt of) whatever faults have been committed at that sacrifice. If he touches one (sacrificial post), he should say, 'This is thy wind;' if two (posts), 'These are thy two winds;' if many (posts), 'These are thy winds.'
1	5	16	17	'The voices that are heard after us (?) and around us, the praise that is heard, and the voices of the birds, the deer's running (?) athwart: that we fear (?) from our enemies'—this (verse) he murmurs when setting out on a road.
1	5	16	18	'Like an Udgâtri, O bird, thou singest the Sâman; like a Brahman's son thou recitest thy hymn, when the Soma is pressed.'A blessing on us, O bird; bring us luck and be kind towards us!'—(This Mantra) he murmurs against an inauspicious bird;
1	5	16	19	'If thou raisest thy divine voice, entering upon living beings, drive away our enemies by thy voice. O death, lead them to death!'—(thus) against a solitary jackal.
1	5	16	20	Then he throws before the (jackal, as it were), a fire-brand that burns at both ends, towards that region (in which the jackal's voice is heard), with (the words), 'Fire! Speak to the fire! Death! Speak to the death!' Then he touches water,
1	5	16	21	And worships (the jackal) with the Anuvâka, 'Thou art mighty, thou carriest away' .
1	5	17	1	A she-wolf (he addresses) with (the verse), 'Whether incited by others or whether on its own accord the Bhayedaka (? Bhayodaka, var. lect.) utters this cry, may Indra and Agni, united with Brahman, render it blissful to us in our house.'
1	5	17	2	A bird (he addresses) with (the verse), 'Thou fliest, stretching out thy legs; the left eye . . .; may nothing here suffer harm (through thee);'
1	5	17	3	An owl (piṅgalâ) with (the verse), 'The bird with the golden wings flies to the abode of the gods. Flying round the village from left to right portend us luck by thy cry, O owl!'
1	5	17	4	'May my faculties return into me; may life return, prosperity return; may the divine power return into me; may my goods return to me.'And may these fires that are stationed on the (altars called) Dhishnyâs, be in good order here, each in its right place. Svâhâ!'My self has returned, life has returned to me; breath has returned, design has returned to me. (Agni) Vaisvânara, grown strong with his rays, may he dwell in my mind, the standard of immortality. Svâhâ!'The food which is eaten in the evening, that doesnot satiate in the morning him whom hunger assails. May all that (which we have seen in our dreams), do no harm to us, for it has not been seen by day. To Day svâhâ!'—with these (verses) he sacrifices sesamum seeds mixed with Âgya, if he has seen a bad dream.
1	5	17	5	Now the following expiations for portents are prescribed. A dove sits down on the hearth, or the bees make honey in his house, or a cow (that is not a calf) sucks another cow, or a post puts forth shoots, or an anthill has arisen (in his house): cases like these (require the following expiation):
1	5	17	6	He should bathe in the morning, should put on clean garments, should show patience (with everybody) during the day, and should speak (only) with Brâhmanas. Having put wood on the fire in an inner apartment, and having performed the rites down to the Vyâhriti oblations, he sacrifices with (the verses), 'This, O Varuna,' &c. . Then he serves food to the Brâhmanas and causes them to say, 'An auspicious day! Hail! Good luck!
1	5	18	1	'May Indra and Agni make you go. May the two Asvins protect you. Brihaspati is your herdsman. May Pûshan drive you back again'—this (verse) he recites over the cows when they go away (to their pasture-grounds), and (the verse), 'May Pûshan go after our cows' .
1	5	18	2	With (the verse), 'These cows that have come hither, free from disease and prolific, may they swim (full of wealth) like rivers; may they pour out (wealth), as (rivers discharge their floods) into the ocean'—he looks at the cows, when they are coming back.
1	5	18	3	With (the formula), 'You are a stand at rest; may I (?) become your stand at rest. You are immovable. Do not move from me. May I not move from you, the blessed ones'—(he looks at them) when they are standing still.
1	5	18	4	With (the formula), 'I see you full of sap. Full of sap you shall see me'—(he looks at them) when they are gone into the stable, and with (the formula), 'May I be prosperous through your thousandfold prospering.'
1	5	18	5	Then having put wood on the fire amid the cows, and having performed the rites down to the Vyâhriti (oblations), he makes oblations of milk with (the verses),'Blaze brightly, O Gâtavedas, driving destruction away from me. Bring me cattle and maintenance from all quarters of the heaven. Svâhâ!'May Gâtavedas do no harm to us, to cows and horses, to men and to all that moves. Come hither,[paragraph continues] Agni, fearlessly; make me attain to welfare! Svâhâ!'—And with (the two verses), 'This is the influx of the waters,' and 'Adoration to thee, the rapid one, the shining one' .
1	5	18	6	Then follow oblations with the verses), 'This, O Varuna' .End of the Fifth Patala.
1	6	19	1	After he has returned from the teacher's house, he should support his father and mother.
1	6	19	2	With their permission he should take a wife belonging to the same caste and country, a 'naked' girl, a virgin who should belong to a different Gotra (from her husband's).
1	6	19	3	Whatever he intends to do (for instance, taking a wife), he should do on an auspicious day only, during one of the following five spaces of time, viz. in the morning, the forenoon, at midday, in the afternoon, or in the evening.
1	6	19	4	Having put wood on the fire, and having performed (the preparatory rites) down to the laying of (three) branches round (the fire, the bridegroom) looks at the bride who is led to him, with (the verse), 'Auspicious ornaments does this woman wear. Come up to her and behold her. Having brought lack to her, go away back to your houses.'
1	6	19	5	To the south of the bridegroom the bride sits down.
1	6	19	6	After she has sipped water, she touches him, and he sprinkles (water) round (the fire) as above.
1	6	19	7	After he has performed the rites down to the oblations made with the Vyâhritis, he sacrifices with (the following Mantras),'May Agni come hither, the first of gods. May he release the offspring of this wife from the fetter of death. That may this king Varuna grant, that this wife may not weep over distress (falling to her lot) through her sons. Svâhâ!'May Agni Gârhapatya protect this woman. May he lead her offspring to old age. With fertile womb may she be the mother of living children. May she experience delight in her sons. Svâhâ!'May no noise that comes from thee, arise in the house by night. May the (she-goblins called) the weeping ones take their abode in another (woman)than thee. Mayst thou not be beaten at thy breast by (the she-goblin) Vikesî ("the rough-haired one"). May thy husband live, and mayst thou shine in thy husband's world, beholding thy genial offspring! Svâhâ!'May Heaven protect thy back, Vâyu thy thighs, and the two Asvins thy breast. May Savitri protect thy suckling sons. Until the garment is put on (thy sons?), may Brihaspati guard (them?), and the Visve devâs afterwards. Svâhâ!'Childlessness, the death of sons, evil, and distress, I take (from thee), as a wreath (is taken) from the head, and (like a wreath) I put all evil on (the head of) our foes. Svâhâ!'With this well-disposed prayer which the gods have created, I kill the Pisâkas that dwell in thy womb. The flesh-devouring death-bringers I cast down. May thy sons live to old age. Svâhâ!'
1	6	19	8	After he has sacrificed with (the verses), 'This, O Varuna,' 'For this I entreat thee,' 'Thou Agni,' Thus thou, Agni,' 'Thou, Agni, art quick,' 'Pragâpati'—he makes her tread on a stone, with (the verse), 'Tread on this stone; like a stone be firm. Destroy those who seek to do thee harm; overcome thy enemies.'
1	6	19	9	To the west of the fire he strews two layers of northward-pointed Darbha grass, the one more to the west, the other more to the east. On these both (the bridegroom and the bride) station themselves, the one more to the west, the other more to the east.
1	6	20	1	Facing the east, while she faces the west, or facing the west, while she faces the east, he should seize her hand. If he desires to generate male children, let him seize her thumb; if he desires (to generate) female children, her other fingers; if he desires (to generate) both (male and female children), let him seize the thumb together with the other fingers, (so as to seize the hand) up to the hairs (on the hair-side of the hand).(He should do so with the two Mantras),'Sarasvatî! Promote this (our undertaking), O gracious one, rich in studs, thou whom we sing first of all that is.'I seize thy hand that we may be blessed with offspring, that thou mayst live to old age with me, thy husband. Bhaga, Aryaman, Savitri, Purandhi, the gods have given thee to me that we may rule our house.'
1	6	20	2	He makes her turn round, from left to right, so that she faces the west, and recites over her (the following texts),'With no evil eye, not bringing death to thy husband, bring luck to the cattle, be full of joy andvigour. Give birth to living children, give birth to heroes, be friendly. Bring us luck, to men and animals.'Thus, Pûshan, lead her to us, the highly blessed one, into whom men pour forth their sperm, yâ na ûrû usatî visrayâtai (read, visrayâtai), yasyâm usantah praharema sepam.'Soma has acquired thee first (as his wife); after him the Gandharva has acquired thee. Thy third husband is Agni; the fourth am I, thy human husband.'Soma has given her to the Gandharva; the Gandharva has given her to Agni. Agni gives me cattle and children, and thee besides.'This am I, that art thou; the heaven I, the earth thou; the Sâman I, the Rik thou. Come! Let us join together. Let us unite our sperm that we may generate a male child, a son, for the sake of the increase of wealth, of blessed offspring, of strength.'Bountiful Indra, bless this woman with sons and with a happy lot. Give her ten sons; let her husband be the eleventh.'
1	6	20	3	After he has made her sit down in her proper place , and has sprinkled Âgya into her joined hands, he twice pours fried grain into them, with (the verse), 'This grain I pour (into thy hands): may it bring prosperity to me, and may it unite thee (with me). May this Agni grant us that.'
1	6	20	4	After he has sprinkled (Âgya) over (the grain in her hands), he sacrifices (the grain) with her joined hands (which he seizes), with (the verse), 'This woman, strewing grain into the fire, prays thus, "May my husband live long; may my relations be prosperous. Svâhâ!"'
1	6	20	5	Having made her rise with (the verse which she recites), 'Up! with life' , and having circumambulated the fire (with her) so that their right sides are turned towards it, with (the verse), 'May we find our way with thee through all hostile powers, as through streams of water'—he pours fried grain (into her hands, and sacrifices them), as before.
1	6	20	6	Having circumambulated (the fire) a second time, he pours fried grain (into her hands, and sacrifices them), as before.
1	6	20	7	Having circumambulated (the fire) a third time, he sacrifices to (Agni) Svishtakrit.
1	6	20	8	Here some add as subordinate oblations the Gaya, Abhyâtâna, and Râshtrabhrit (oblations) as above.
1	6	20	9	To the west of the fire he makes her step forward in an easterly or a northerly direction the (seven) 'steps of Vishnu.'
1	6	20	10	He says to her, 'Step forward with the right (foot) and follow with the left. Do not put the left (foot) before the right.'
1	6	21	1	(He makes her step forward, and goes with her himself), with (the Mantras), 'One (step) for sap, may Vishnu go after thee; two (steps) for juice, may Vishnu go after thee; three (steps) for vows, may Vishnu go after thee; four (steps) for comfort, may Vishnu go after thee; five (steps) for cattle, may Vishnu go after thee; six (steps) for the prospering of wealth, may Vishnu go after thee; seven (steps) for the sevenfold Hotriship, may Vishnu go after thee.'
1	6	21	2	After the seventh step he makes her abide (in that position) and murmurs, 'With seven steps we have become friends. May I attain to friendship with thee. May I not be separated from thy friendship. Mayst thou not be separated from my friendship.'
1	6	21	3	He then puts his right foot on her right foot, moves his right hand down gradually over her right shoulder, and touches the place of her heart as above,
1	6	21	4	And the place of her navel with (the formula), 'Thou art the knot of all breath; do not loosen thyself.'
1	6	21	5	After he has made her sit down to the west of the fire, so that she faces the east, he stands to the east (of his bride), facing the west, and besprinkles her with water, with the three verses, 'O waters, ye are wholesome' , with the four verses, 'The gold-coloured, clean, purifying waters' , and with the Anuvâka, 'The purifier, the heavenly one' .
1	6	21	6	Now they pour seeds (of rice, &c.) on (the heads of the bridegroom and bride).End of the Sixth Patala.
1	7	22	1	Then they let her depart (in a vehicle from her father's house), or they let her be taken away.
1	7	22	2	Having put (the fire into a vessel) they carry that (nuptial) fire behind (the newly-married couple).
1	7	22	3	It should be kept constantly.
1	7	22	4	If it goes out, (a new fire) should be kindled by attrition, or it should be fetched from the house of a Srotriya.
1	7	22	5	Besides, if (the fire) goes out, the wife or the husband should fast.
1	7	22	6	When (the bridegroom with his bride) has come to his house, he says to her, 'Cross (the threshold) with thy right foot first; do not stand on the threshold.'
1	7	22	7	In the hall, in its easterly part, he puts down the fire and puts wood on it.
1	7	22	8	To the west of the fire he spreads out a red bull's skin with the neck to the east, with the hair outside.
1	7	22	9	On that (skin) they both sit down facing the east or the north, so that the wife sits behind her husband, with (the verse), 'Here may the cows sit down, here the horses, here the men. Here may also Pûshan with a thousand (sacrificial) gifts sit down.'
1	7	22	10	They sit silently until the stars appear.
1	7	22	11	When the stars have appeared, he goes forth from the house (with his wife) in an easterly or northerly direction, and worships the quarters (of the horizon) with (the hemistich), 'Ye goddesses, ye six wide ones' .
1	7	22	12	(He worships) the stars with (the Pâda), 'May we not be deprived of our offspring;'
1	7	22	13	The moon with (the Pâda), 'May we not get into the power of him who hates us, O king Soma!
1	7	22	14	He worships the seven Rishis (ursa major) with (the verse), 'The seven Rishis who have led to firmness she, Arundhatî, who stands first among the six Krittikâs (pleiads):—may she, the eighth one, who leads the conjunction of the (moon with the) six Krittikâs, the first (among conjunctions) shine upon us!' Then he worships the polar star with (the formula), 'Firm dwelling, firm origin. The firm one art thou, standing on the side of firmness. Thou art the pillar of the stars; thus protect me against my adversary.Adoration be to the Brahman, to the firm, immovable one! Adoration be to the Brahman's son, Pragâpati! Adoration to the Brahman's children,to the thirty-three gods! Adoration to the Brahman's children and grandchildren, to the Aṅgiras!He who knows thee (the polar star) as the firm, immovable Brahman with its children and with its grandchildren, with such a man children and grandchildren will firmly dwell, servants and pupils, garments and woollen blankets, bronze and gold, wives and kings, food, safety, long life, glory, renown, splendour, strength, holy lustre, and the enjoyment of food. May all these things firmly and immovably dwell with me!'
1	7	23	1	(Then follow the Mantras), 'I know thee as the firm Brahman. May I become firm in this world and in this country.'I know thee as the immovable Brahman. May I not be moved away from this world and from this country. May he who hates me, my rival, be moved away from this world and from this country.'I know thee as the unshaken Brahman. May I not be shaken off from this world and from this country. May he who hates me, my rival, be shaken off from this world and from this country.'I know thee as the unfailing Brahman. May I not fall from this world and from this country. May he who hates me, my rival, fall from this world and from this country.'I know thee as the nave of the universe. May I become the nave of this country. I know thee as the centre of the universe. May I become the centre of this country. I know thee as the string that holds the universe. May I become the string that holds this country. I know thee as the pillarof the universe. May I become the pillar of this country. I know thee as the navel of the universe. May I become the navel of this country.'As the navel is the centre of the Prânas, thus I am the navel. May hundred-and-onefold evil befall him who hates us and whom we hate; may more than hundred-and-onefold merit fall to my lot!'
1	7	23	2	Having spoken there with a person that he likes, and having returned to the house, he causes her to sacrifice a mess of cooked food.
1	7	23	3	The wife husks (the rice grains of which that Sthâlîpâka is prepared).
1	7	23	4	She cooks (that Sthâlîpâka), sprinkles (Âgya) on it, takes it from the fire, sacrifices to Agni, and then sacrifices to Agni Svishtakrit.
1	7	23	5	With (the remains of) that (Sthâlîpâka) he entertains a learned Brâhmana whom he reveres.
1	7	23	6	To that (Brâhmana) he makes a present of a bull.
1	7	23	7	From that time he constantly sacrifices (yagate) on the days of the full and of the new moon a mess of cooked food sacred to Agni.
1	7	23	8	In the evening and in the morning he constantly sacrifices (guhoti) with his hand (and not with the Darvî) the two following oblations of rice or of barley: 'To Agni Svâhâ! To Pragâpati Svâhâ!'
1	7	23	9	Some (teachers) state that in the morning theformer (of these oblations) should be directed to Sûrya.
1	7	23	10	Through a period of three nights they should eat no saline food, should sleep on the ground, wear ornaments, and should be chaste.
